Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RICARDO RODRIGUEZ VARGAS," Muchas gracias, señor presidente. Muy buenos días a todas y a todos.",0.32823650481604266,12,7,2,2020
RICARDO RODRIGUEZ VARGAS,"El objetivo de mi intervención es, como ya lo ha comentado el señor presidente, darles a conocer de dónde vendrán los recursos para el premio que se va a realizar el próximo 15 de septiembre.",0.32823650481604266,35,7,2,2020
RICARDO RODRIGUEZ VARGAS,"El Instituto para Devolverle al Pueblo lo Robado administramos cuentas de bienes numerarios, en este caso son numerario asegurado por parte de la Fiscalía General de la República.",0.32823650481604266,28,7,2,2020
RICARDO RODRIGUEZ VARGAS,"En los próximos días vamos a trabajar por instrucción del señor presidente de forma muy intensa para justamente disponer de este fondo, que son cuatro mil millones de pesos, y a dar un procedimiento todavía que falta para ver la cantidad neta de recursos que ya podemos disponer.",0.32823650481604266,48,7,2,2020
RICARDO RODRIGUEZ VARGAS,"Debido a las modificaciones de la ley de la creación del instituto, como ustedes saben, de la transformación del Servicio de Administración y Enajenación de Bienes al ahora Instituto para Devolverle al Pueblo lo Robado nos permite a los bienes asegurados disponer de ellos de una manera oportuna y de forma expedita.",0.32823650481604266,52,7,2,2020
RICARDO RODRIGUEZ VARGAS,"Esa modificación nos permite en este caso disponer de estos recursos, de este bien numerario, por así llamarlo, que son recursos para poder fondear las causas justas, las causas sociales.",0.32823650481604266,30,7,2,2020
RICARDO RODRIGUEZ VARGAS,"Como ustedes saben, la misión o el objetivo del instituto es devolver al pueblo lo que es del pueblo, devolver al pueblo lo robado. En este caso la instrucción muy puntual es: con estos recursos que se tienen de numerario en dólares en estas cuentas aseguradas, pues destinar parte de estos recursos a fondear lo que sería el premio del próximo 15 de septiembre.",0.32823650481604266,64,7,2,2020
RICARDO RODRIGUEZ VARGAS,Y es así como el instituto aportará esta cantidad de recursos de forma transparente y es como lo estamos dando a conocer.,0.32823650481604266,22,7,2,2020
RICARDO RODRIGUEZ VARGAS,"Es cuánto, señor presidente.",0.32823650481604266,4,7,2,2020
RICARDO RODRIGUEZ VARGAS,Muchas gracias.,0.32823650481604266,2,7,2,2020
RICARDO RODRIGUEZ VARGAS," Gracias, señor presidente.",0.32823650481604266,3,7,2,2020
RICARDO RODRIGUEZ VARGAS,"Mire, en este caso es legal, porque lo que está haciendo es la promoción de la venta del avión. La reforma que se está impulsando es para que… Ustedes saben ahorita los bienes son por subasta, por enajenación directa u otro de mecanismos. En este caso nos abre una muy buena posibilidad de que los bienes también sean vía sorteo.",0.32823650481604266,60,7,2,2020
RICARDO RODRIGUEZ VARGAS,"¿Por qué es una muy buena posibilidad?, ¿qué es lo que pasa?",0.32823650481604266,12,7,2,2020
RICARDO RODRIGUEZ VARGAS,"En muchas ocasiones existe como el ‘coyotaje’, por así decirlo, en quienes compran los bienes de decir: ‘Bueno, si no se vende el bien, esperamos a que se venda a un precio menor’.",0.32823650481604266,33,7,2,2020
RICARDO RODRIGUEZ VARGAS,"Esta reforma nos abre esta posibilidad de decir: Ya no hay que rematarlo a un precio menor, por así decirlo, sino ahora mejor se somete a sorteo y ya no se da esa pérdida de valor, porque ese coyotaje que se da para conseguir el precio a un valor por debajo del precio que se da usualmente en una subasta.",0.32823650481604266,60,7,2,2020
RICARDO RODRIGUEZ VARGAS,"Entonces, esta reforma es muy importante para nosotros, porque permite justamente estos bienes que en ocasiones es difícil vender.",0.32823650481604266,19,7,2,2020
RICARDO RODRIGUEZ VARGAS,"Cito un ejemplo, que fue difícil, pero se vendió al final del día. La casa del ciudadano mexicano Zhenli Ye Gon es una casa de cinco millones de dólares, cualquier inmobiliaria, pregunten ustedes y no es fácil vender una casa en 15 días de cinco millones de dólares. En esta ocasión sí se sacó, hubo un apoyo muy noble del empresario Carlos Bremer para apoyar las becas deportivas.",0.32823650481604266,68,7,2,2020
RICARDO RODRIGUEZ VARGAS,"Pero en este tipo de propiedades queda muy ad hoc esta reforma, queda muy ad hoc porque va a permitir vender bienes que no es fácil en el mercado hacerlo vía un sorteo. Esto es lo que se está promoviendo ahorita en el Congreso y que abre una posibilidad, yo diría que va a ser de mucho beneficio para el Estado mexicano el hecho de que ahora ya sea vía sorteo.",0.32823650481604266,71,7,2,2020
RICARDO RODRIGUEZ VARGAS,"En este caso, bueno, la imagen del avión es la promoción justamente de la venta. Y además, creo yo que también hay algo muy importante en los sorteos, los sorteos permiten que cualquier ciudadano pueda hacerse de estos bienes.",0.32823650481604266,39,7,2,2020
RICARDO RODRIGUEZ VARGAS,"En una subasta obviamente hay un grupo de personas, quizás de un ingreso mayor, que son lo que adquieren al final el bien, que contribuyen de forma muy noble y loable hacia los objetivos del Instituto para Devolver al Pueblo lo Robado, pero que también estos sorteos permiten que el ciudadano que quiera participar lo pueda hacer a un precio de un cachito de boleto de 500 pesos, de 200, de 100, de acuerdo a como se dictaminen las reglas por parte de Pronósticos.",0.32823650481604266,84,7,2,2020
RICARDO RODRIGUEZ VARGAS,"Entonces, por una parte, permite que el grueso de la ciudadanía pueda participar y pueda hacerse de estos bienes; y por la otra permite el mayor beneficio para el Estado mexicano.",0.32823650481604266,31,7,2,2020
RICARDO RODRIGUEZ VARGAS,"Acuérdense cuando nosotros vendemos los bienes, lo que la ley nos marca es obtener la mayor utilidad o la mayor ventaja para el Estado mexicano, porque justamente estos recursos son los que se están devolviendo al pueblo, estos recursos son los que el señor presidente nos instruye se van a preparatorias, se van a educación, se va a hospitales, se va a municipios para las causas justas y  es por eso que creo que es una reforma bastante positiva lo que se está, en este caso, sometiendo a aprobación en la Cámara de Diputados y a su vez en el Senado.",0.32823650481604266,101,7,2,2020
