Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ERNESTO PRIETO ORTEGA," Gracias. Con su permiso, señor presidente, muy buenos días. Ministra Olga Sánchez, Julio Scherer, consejero jurídico; compañeras y compañeros periodistas.",0.32823650481604266,20,11,3,2020
ERNESTO PRIETO ORTEGA,"La Lotería Nacional ya presentó el Gran Sorteo Especial número 235 y ya se inició la venta del mismo. Ahí está el boleto, que se compone del 0000000, siete ceros al cinco millones 999 mil 999.",0.32823650481604266,36,11,3,2020
ERNESTO PRIETO ORTEGA,"Al reverso aparecen todas las condiciones, aparece que es una cooperación para equipos médicos y hospitales donde se atiende manera gratuita a la gente pobre. El importe total de los premios será entregado por el Instituto para Devolver al Pueblo lo Robado. Los premios serán pagados en la Ciudad de México por la Lotería Nacional.",0.32823650481604266,55,11,3,2020
ERNESTO PRIETO ORTEGA,"Para este sorteo no se aplica el reintegro en forma general, que son seis millones de números totalmente.",0.32823650481604266,18,11,3,2020
ERNESTO PRIETO ORTEGA,"En la Ciudad de México, martes… El sorteo se va a celebrar el martes 15 de septiembre a las 16:00 horas, la emisión es de seis millones, el costo es de 500 pesos.",0.32823650481604266,33,11,3,2020
ERNESTO PRIETO ORTEGA,"El reparto de premios, 100 premios de 20 millones de pesos cada uno, prescribe al año y para -ya está también- consultar las bases del sorteo en la página de la Lotería Nacional, www.gob.mx/lotenal",0.32823650481604266,34,11,3,2020
ERNESTO PRIETO ORTEGA,Acá están los datos del sorteo:,0.32823650481604266,6,11,3,2020
ERNESTO PRIETO ORTEGA,Martes 15 de septiembre.,0.32823650481604266,4,11,3,2020
ERNESTO PRIETO ORTEGA,"Lugar y hora: 16:00 horas, en el Salón de Sorteos del edificio Principal de la Lotería Nacional.",0.32823650481604266,17,11,3,2020
ERNESTO PRIETO ORTEGA,Emisión: seis millones de cachitos.,0.32823650481604266,5,11,3,2020
ERNESTO PRIETO ORTEGA,"Tiempo de venta a nivel nacional: a partir del 10 de marzo, o sea, el día de ayer empezó.",0.32823650481604266,19,11,3,2020
ERNESTO PRIETO ORTEGA,"Premios: 100 premios, números del siete ceros al cinco millones 999 mil 999.",0.32823650481604266,13,11,3,2020
ERNESTO PRIETO ORTEGA,El costo: de 500 pesos y con un billete la gente puede ganar hasta 20 millones de pesos. En total se repartirán dos mil millones de pesos.,0.32823650481604266,27,11,3,2020
ERNESTO PRIETO ORTEGA,"Estas son las imágenes de los carteles que se elaboraron y que están siendo distribuidos por toda la república mexicana y en la Ciudad de México, son cuatro los carteles que tenemos.",0.32823650481604266,32,11,3,2020
ERNESTO PRIETO ORTEGA,"Y ahora vamos a la información de los organismos de venta liberados a entidades federativas, tenemos 64 ciudades de 64 expendios, son 115 billeteros de la zona metropolitana, son cinco mil 601 hojas, cada hoja compone de 20 cachitos y en total son 112 mil 20 cachitos los que ya se distribuyeron por toda la república mexicana, es en la primera etapa de presentación del billete.",0.32823650481604266,66,11,3,2020
ERNESTO PRIETO ORTEGA,"A continuación, vamos a ver los estados de la república que ya están siendo promotores de la venta. Está Aguascalientes, está Baja California, Tijuana, Ensenada, está Baja California Sur, Ciudad Constitución y La Paz, está Campeche, está la Ciudad de México, está Chiapas con San Cristóbal, Tuxtla, Tapachula.",0.32823650481604266,48,11,3,2020
ERNESTO PRIETO ORTEGA,"Está también el estado de Chihuahua, está Delicias, está Coahuila, Ciudad Acuña, Monclova, Torreón, Saltillo, Durango, Gómez Palacio y la capital Durango, el Estado de México, Toluca; Guanajuato, Celaya, León, Guerrero, Ciudad Altamirano, Hidalgo, Huejutla de Reyes y Tula; el estado de Jalisco, Guadalajara, Michoacán, Morelia, Uruapan, Zitácuaro, Nayarit, Tepic, Nuevo León, Monterrey, Oaxaca, Tuxtepec y Oaxaca de Juárez, Puebla, Tehuacán, Puebla, Querétaro, la capital, está Quintana Roo, Chetumal; San Luis Potosí, Sinaloa, tenemos en Guasave, Los Mochis, Guamúchil, Culiacán, Mazatlán; Sonora, Guaymas, Nogales, Obregón, Tabasco, en Cárdenas y en Villahermosa, Tamaulipas, Matamoros, Victoria, Tampico, Nuevo Laredo; Veracruz, Xalapa, Córdoba, Poza Rica y Veracruz; en Yucatán estamos en Mérida y en Zacatecas estamos en Zacatecas.",0.32823650481604266,115,11,3,2020
ERNESTO PRIETO ORTEGA,"Hay tres estados que no recibieron, que es Morelos, Colima y Tlaxcala. El problema es que… no problema, sino que el próximo día 18 tenemos un sorteo magno y las garantías están al tope de estos tres organismos de estos tres estados, pero una vez que pase el sorteo del 18 de marzo va a incrementarse la distribución.",0.32823650481604266,58,11,3,2020
ERNESTO PRIETO ORTEGA,"Hasta el día de ayer nos informaron que eran muy buenas las ventas, nos informaron los compañeros expendedores y billeteros.",0.32823650481604266,20,11,3,2020
ERNESTO PRIETO ORTEGA,"Y también quiero decirles que el pasado lunes se publicó el decreto donde ya se cambia de nombre. De Pronósticos, como ustedes bien saben, una iniciativa que se presentó en el 2015, 2016 fue la que transformó y cambió a la Lotería Nacional, se publicó el 14 de enero, se aprobó en la Cámara de Diputados, en la Cámara de Senadores, se publica el 14 de enero.",0.32823650481604266,67,11,3,2020
ERNESTO PRIETO ORTEGA,"Posteriormente nos publican las bases para la fusión de la Lotería Nacional y Pronósticos para la Asistencia Pública y el pasado lunes ya se publicó el decreto donde se denomina ahora Pronósticos para la Asistencia Pública, se modifica su decreto y ahora se llama Lotería Nacional. Esto es gracias al decreto que se publicó y que tuvo a bien publicar el señor presidente.",0.32823650481604266,63,11,3,2020
ERNESTO PRIETO ORTEGA,"Entonces, ya en esta nueva etapa de la Lotería Nacional estamos en la fusión, estamos adelante.",0.32823650481604266,16,11,3,2020
ERNESTO PRIETO ORTEGA,"Y también, si me lo permite, señor presidente, quiero informar que la Lotería Nacional salió del bache económico que estaba durante más de 10 años, más de seis mil millones de pesos entregó la Secretaría de Hacienda para sacarla adelante para cumplir con sus compromisos y el año pasado, en el 2019, el año 2018, la Lotería Nacional pidió 540 millones de pesos a Hacienda para cumplir con sus compromisos.",0.32823650481604266,70,11,3,2020
ERNESTO PRIETO ORTEGA,"El año pasado, en el 2019, no se pidió un solo peso y otorgamos más de 560 millones de pesos de IEPS y no pedimos un solo peso a Hacienda, o sea, los números rojos que tenía la Lotería se cambiaron a números negros.",0.32823650481604266,44,11,3,2020
ERNESTO PRIETO ORTEGA,"Y también le quiero informar, señor presidente, que el año pasado, en el 2019, la Lotería Nacional y Pronósticos para la Asistencia Pública hicieron entrega de más de dos mil 900 millones de pesos, tanto a la Secretaría de Hacienda como a la Tesorería de la Federación, y se entregaron más de 560 millones de pesos a los estados por concepto del impuesto sobre juegos y sorteos.",0.32823650481604266,67,11,3,2020
ERNESTO PRIETO ORTEGA,"Entonces, esta es la información que les quería proporcionar y pedirles a todos los que nos están viendo y escuchando que participen en este sorteo especial para poder hacer un buen ejercicio y devolverle al pueblo lo robado.",0.32823650481604266,38,11,3,2020
ERNESTO PRIETO ORTEGA,"Muchas gracias, señor presidente.",0.32823650481604266,4,11,3,2020
ERNESTO PRIETO ORTEGA," Bueno, nosotros tenemos muchas medidas de seguridad que están en el billete plasmados, que es muy difícil, casi imposible que los puedan copiar o hacerlos… copiarlos para poderlos vender. Entonces, tenemos esa seguridad.",0.32823650481604266,33,11,3,2020
ERNESTO PRIETO ORTEGA,"También, todos los números son diferentes y tenemos la confianza de que no creo que nos pase eso, tenemos la seguridad.",0.32823650481604266,21,11,3,2020
ERNESTO PRIETO ORTEGA," Sí, lo primero es que estamos en comunicación permanente con el director general jurídico de la Secretaría de Relaciones Exteriores y comentamos el punto de cómo podíamos hacer llegar a nuestros paisanos estos billetes.",0.32823650481604266,34,11,3,2020
ERNESTO PRIETO ORTEGA,"Están analizando la situación, porque no podemos vender en forma directa nosotros los billetes allá por cuestiones económicas. Como ustedes saben, en la Unión Americana, las Loterías son estatales. Si nosotros irrumpimos para vender allá, vamos a ser señalados y observados. Entonces, se está buscando en el jurídico de Relaciones Exteriores cómo podemos hacerlos llegar.",0.32823650481604266,55,11,3,2020
ERNESTO PRIETO ORTEGA,"Pero una de las formas que estamos pidiendo y le pedimos nosotros a nuestros paisanos que están en Norteamérica, tanto en Estados Unidos como en Canadá y también en Europa o en algunos otros lugares del mundo, que los tramiten a través de sus familiares, de sus amigos, de sus compañeros, para poderlo hacer en lo que encontramos una solución.",0.32823650481604266,60,11,3,2020
ERNESTO PRIETO ORTEGA,"En relación al pago del impuesto sobre juegos y sorteos, lo vamos a absorber nosotros. El premio va a ser íntegro, los 20 millones de pesos para cada ganador, para cada uno de los 100 ganadores va a ser íntegro.",0.32823650481604266,40,11,3,2020
