Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JUAN RAMON DE LA FUENTE RAMIREZ," Buenos días, presidente.",0.32823650481604266,3,17,4,2020
JUAN RAMON DE LA FUENTE RAMIREZ," Gracias, presidente. Igualmente. Buenos días, Marcelo, secretario; buenos días, Hugo, que llego a ver ahí, a un lado; buenos días, compañeras y compañeros de los medios de comunicación; buenos días.",0.32823650481604266,30,17,4,2020
JUAN RAMON DE LA FUENTE RAMIREZ,"Pues, señor presidente, le cuento, a partir de que usted hizo una propuesta durante la reunión que sostuvo con los jefes de Estado y de gobierno de las 20 economías más poderosas del planeta para que fueran tomando las previsiones necesarias por parte de la ONU con el fin de evitar el acaparamiento, la especulación y el encarecimiento de los insumos que se requieren para contender con esta pandemia, los insumos actuales y los que muy pronto vendrán, porque en cuestión de algunos meses, no sabemos exactamente cuántos, hay quien habla de 12, 18 meses quizá, cuando mucho, seguramente aparecerán vacunas y seguramente aparecerán también formas de tratamiento científicamente eficaces, y estas van a ser las soluciones finales a esta pandemia.",0.32823650481604266,121,17,4,2020
JUAN RAMON DE LA FUENTE RAMIREZ,"Mientras no tengamos estos insumos, lo que tenemos que hacer, lo que está haciendo nuestro país, lo que están haciendo muchos otros países es tratando de contender con ella bajando todo lo que se pueda, los costos, sobre todo en materia de vidas humanas, previniendo, en fin, todo lo que el gobierno ha estado haciendo y otros gobiernos también, con modalidades distintas, también valdría la pena decirlo. Pero esos insumos van a estar con nosotros muy pronto, van a ser la solución de la pandemia.",0.32823650481604266,85,17,4,2020
JUAN RAMON DE LA FUENTE RAMIREZ,"Y usted planteó ante el Grupo de los 20 que la ONU se meta para evitar que los insumos que ya tenemos y los que vienen sean motivo de esta parte que me parece que quizá es el lado más desagradable que podemos encontrar de la forma cómo se reacciona ante problemas tan graves como la pandemia: los que quieren lucrar con ella, los que quieren aprovecharse de ella, los que quieren nuevamente que los beneficios lleguen solamente a unos cuantos.",0.32823650481604266,81,17,4,2020
JUAN RAMON DE LA FUENTE RAMIREZ,"Entonces, una vez que usted hizo ese planteamiento a finales de marzo, el canciller Marcelo Ebrard y yo conversamos, y el secretario me decía: ‘Oye, el planteamiento que hizo el presidente fue para que la ONU tuviera un papel más activo en todo esto. ¿Qué posibilidades vez de que avancemos en ese flanco directamente en Naciones Unidas?’",0.32823650481604266,57,17,4,2020
JUAN RAMON DE LA FUENTE RAMIREZ,"La dinámica de trabajo en estos momentos en la ONU, al igual que en muchos otros lugares, es compleja, porque desde hace más de un mes está trabajando sólo virtualmente, pero está trabajando y nos pusimos a darle forma a su propuesta en lo que pudiera ser una resolución para que la Asamblea General de las Naciones Unidas la adoptara.",0.32823650481604266,60,17,4,2020
JUAN RAMON DE LA FUENTE RAMIREZ,"Si me pasan, por favor, la primera lámina para mostrarles cómo fue que iniciamos esta gestión en el contexto de la ONU. Le mandamos a todos los países, a los 193 países, este documento, una nota, la quiero poner en inglés, bueno, porque así se va, en donde decimos claramente que el Gobierno de México, lo que está con amarillo, está proponiendo una resolución para la Asamblea General sustentada en la iniciativa que usted presentó durante la reunión virtual del G20.",0.32823650481604266,81,17,4,2020
JUAN RAMON DE LA FUENTE RAMIREZ,"En la siguiente, por favor. Y explicamos en esta nota conceptual básicamente cuáles son los principales elementos de esta iniciativa que ha presentado México. Subrayo el que me parece más importante, que es la que señala que urge a todos los Estados miembros para que inmediatamente prevengan la especulación y todas aquellas disposiciones que respondan o que limiten el acceso a los productos necesarios para contener con esta pandemia.",0.32823650481604266,69,17,4,2020
JUAN RAMON DE LA FUENTE RAMIREZ,"Si ya vimos que empezó a haber especulación con los cubrebocas, presidente, imagínese cuando salgan las vacunas. Si no tomamos estas previsiones, podemos imaginar lo que va a ocurrir.",0.32823650481604266,29,17,4,2020
