Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
HECTOR VALLE MESTO," Muchísimas gracias, canciller y secretario.",0.32823650481604266,5,30,4,2020
HECTOR VALLE MESTO,"Directores de las instituciones, por supuesto, doctor López-Gatell, subsecretaria y Eduardo.",0.32823650481604266,11,30,4,2020
HECTOR VALLE MESTO,"Realmente estamos trabajando con mucho arrojo, con muchas ganas, con mucha fuerza desde la iniciativa realmente de conjuntar organizaciones como la Fundación Mexicana para la Salud, la academia, hoy representada aquí por la UNAM y por el TecSalud, pero otras más de las que vamos a hablar que se unen y la iniciativa privada y otras asociaciones que se unieron.",0.32823650481604266,60,30,4,2020
HECTOR VALLE MESTO,"Queremos hacer un frente común y, aparte, nos da muchísimo gusto que nos permita este foro para lanzarlo, para realmente que se sume con nosotros la gente a apoyar. Todos tenemos la iniciativa, las ganas de apoyar, aquellos médicos, aquellas enfermeras, la gente que está en el frente de batalla y en los hospitales.",0.32823650481604266,54,30,4,2020
HECTOR VALLE MESTO,"Y hemos lanzado esta iniciativa, conjuntando varias ideas que muchos de nosotros teníamos, las universidades en lo particular, el sector privado, nosotros en la fundación y realmente hacer un grupo conjunto para lanzarlo e ir a apoyar a cada uno de estos médicos, de ese personal de salud y de esos hospitales con un sólo foco, el foco de sacar adelante a los pacientes y que realmente tengamos un periodo lo más corto posible de COVID y que salgamos adelante y nos podamos mover hacia la reactivación económica lo antes que se pueda.",0.32823650481604266,93,30,4,2020
HECTOR VALLE MESTO,"Hemos ya iniciado con algunas cosas, como lo señala el slide, ya trabajamos diferentes donativos, que tienen que ver con espacios, por ejemplo, con habitaciones para algunos médicos en los cuales diferentes grupos hoteleros se han unido, ejemplo de eso es lo hecho por ejemplo por el Grupo Posadas, por citar alguno de ellos.",0.32823650481604266,54,30,4,2020
HECTOR VALLE MESTO,"También se hicieron algunos donativos en términos de alimentos, algo de lo hecho por el Grupo Nestlé, también instalación de bebederos y esto en algunas áreas para apoyar el ejercicio.",0.32823650481604266,30,30,4,2020
HECTOR VALLE MESTO,"Como ustedes saben, iniciamos también y lo hemos reportado los martes, con aquella plataforma que nos permite -que desarrollamos en Funsalud- que nos permite hacer la transferencia de pacientes de aquellas intervenciones que hemos señalado, entre las cuales se encuentran cesáreas y partos, y se han estado transfiriendo esos pacientes para apoyar al sector público, creando espacio en el sector privado.",0.32823650481604266,61,30,4,2020
HECTOR VALLE MESTO,"Y quiero decirle, señor presidente, que del compromiso que tuve aquí el martes, ya mejoramos el número y vamos a estar mejor, ya hay más camas aportadas, entonces deberíamos de aportar y estar cercanos a las tres mil 200 en este día.",0.32823650481604266,42,30,4,2020
HECTOR VALLE MESTO,"Juntos en la iniciativa estamos hablando de transporte, estamos hablando de hospedaje y de dos temas fundamentales: agua potable y también los equipos de protección personal, mismos que ya hemos comenzado a trabajar y que a partir del día de hoy y de mañana se empezarán a donar otros adicionales a diferentes instituciones.",0.32823650481604266,53,30,4,2020
HECTOR VALLE MESTO,"Hemos diseñado un modelo junto con la Facultad de Medicina, junto con el TecSalud, junto con Bancomer y nosotros en la fundación para realmente entender dónde están las necesidades y poder dirigir los recursos hacia las necesidades.",0.32823650481604266,37,30,4,2020
HECTOR VALLE MESTO,"Para ello, les pedimos a los hospitales que estén constantemente actualizando sus datos en las plataformas, que eso nos da la visibilidad de dónde están las necesidades y con eso poder apoyar desde la sociedad civil de mejor manera donde están los requisitos.",0.32823650481604266,43,30,4,2020
HECTOR VALLE MESTO,"Hemos diseñado kits, kits que tienen gorros, pares de guantes, cubrebocas, batas, los cubrebocas desechables, los goggles, las mascarillas y que todo eso nos permite apoyar de mejor manera al personal de salud.",0.32823650481604266,33,30,4,2020
HECTOR VALLE MESTO,"Como ustedes saben, en la Fundación Mexicana para la Salud hemos venido trabajando hace muchos años, muchos años en apoyar al sistema de salud. Cuando nació el tema y la preocupación de COVID nos hicimos a la tarea de apoyar en diferentes áreas.",0.32823650481604266,43,30,4,2020
HECTOR VALLE MESTO,"Primero, pensar en cómo concientizábamos a los pacientes. Trabajamos junto con el Consejo de Salubridad General y con la Secretaría de Salud, y se generaron materiales que han estado disponibles en los consultorios adyacentes a farmacias en una iniciativa que lanzamos junto con la Anadim, también hicimos materiales para los médicos en conjunto con la Secretaría de Salud y eso se han difundido.",0.32823650481604266,63,30,4,2020
HECTOR VALLE MESTO,"Se desarrolló la plataforma y esa plataforma viene trabajando en ese equilibrio de los recursos entre público y privado, y seguiremos haciendo y a la vez estamos estudiando modelos, junto con diferentes grupos, para poder impactar de manera positiva y proponer al gobierno algunas ideas en materia de reactivación económica.",0.32823650481604266,50,30,4,2020
HECTOR VALLE MESTO,"Hemos hecho ya distribución de kits, estamos preparados para hacer una distribución de 340 mil kits, realmente para apoyar y que haya en diferentes estados y llegar a todo el país a las diferentes unidades donde sean requeridos.",0.32823650481604266,38,30,4,2020
HECTOR VALLE MESTO,"Es una iniciativa que, decía, tiene muchos participantes y aquí aparecen todos los que por lo pronto se han sumado. Un grupo bastante interesante, como decíamos, de diferentes universidades aquí representadas, otras que hoy no están aquí, pero ya nos acompañarán, como también el ITAM, grupos de asociaciones de pacientes o grupos como la Sociedad Mexicana de Lucha contra el Cáncer y diferentes empresas y grupos que realmente vienen a apoyando.",0.32823650481604266,71,30,4,2020
HECTOR VALLE MESTO,"La idea es que todos nos sumemos, que todos trabajemos juntos por México, por apoyar el momento que estamos viviendo y por sacar adelante a México.",0.32823650481604266,26,30,4,2020
HECTOR VALLE MESTO,"Para concluir, seguimos pidiéndoles, como decíamos, que se sumen. Tenemos opción de recibir más donativos, la gente que nos quiera apoyar de manera individual, las empresas, los grupos, las asociaciones, que se sumen, realmente se trata de hacer de manera conjunta un gran esfuerzo.",0.32823650481604266,44,30,4,2020
HECTOR VALLE MESTO,"Ahí hay dos maneras de sumar: se puede entrar a la página de la Fundación Mexicana para la Salud, que ahí está la dirección y hacer el donativo, o también con la Fundación BBVA.",0.32823650481604266,34,30,4,2020
HECTOR VALLE MESTO,"Vamos todos juntos, vamos por México, trabajemos por los pacientes, acabemos pronto y entremos pronto en una fase de reactivación económica, que es lo que todos queremos.",0.32823650481604266,27,30,4,2020
HECTOR VALLE MESTO,"Muchísimas gracias. Con su permiso, señor presidente.",0.32823650481604266,7,30,4,2020
HECTOR VALLE MESTO," Sí, muchísimas gracias.",0.32823650481604266,3,30,4,2020
