Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
LUISA MARIA ALCALDE LUJAN," Buenos días a todas, a todos los comunicadores y a las mujeres y hombres que viven de su trabajo que nos escuchan desde sus casas, desde sus domicilios.",0.32823650481604266,28,1,5,2020
LUISA MARIA ALCALDE LUJAN,Hoy celebramos el Día del Trabajo en condiciones totalmente atípicas. En esta ocasión no hay congregaciones en plazas públicas y gran parte de la fuerza laboral del país está en su casa.,0.32823650481604266,32,1,5,2020
LUISA MARIA ALCALDE LUJAN,"Es tiempo de solidaridad y quizá más que nunca es importante reconocer que la lucha de muchos trabajadores y trabajadoras que anteriormente no gozaban de ningún tipo de derecho, hoy, a pesar de las circunstancias, nuestras leyes prevén que no es correcto abandonar a su suerte a miles de personas que entregan parte de su vida a empresas y negocios, aunque también las mismas circunstancias que atravesamos nos muestran cómo una gran parte de la población lidia con los efectos de más de 30 años de una política neoliberal que llevaron a miles, millones de mexicanos a vivir al día sin capacidad de ahorro y sin seguridad social.",0.32823650481604266,108,1,5,2020
LUISA MARIA ALCALDE LUJAN,"En el proyecto de transformación del país que llevamos a cabo, el trabajo dejó de ser un tema relegado, marginal y ha vuelto a la posición central que nunca debió haber dejado, porque cuando hablamos de trabajo hablamos de personas.",0.32823650481604266,40,1,5,2020
LUISA MARIA ALCALDE LUJAN,"El trabajo es el generador de la riqueza, la principal fuente de ingresos de las familias mexicanas, la actividad que nos confiere identidad y mediante la cual desarrollamos una vocación.",0.32823650481604266,30,1,5,2020
LUISA MARIA ALCALDE LUJAN,"Sirva pues este 1º de Mayo como una oportunidad para hacer un recuento de los logros hasta aquí alcanzados, pero también como un recordatorio de lo mucho que tenemos por recorrer hasta lograr que el trabajo sea una actividad que dignifique y remunere adecuadamente a todas y todos los mexicanos.",0.32823650481604266,50,1,5,2020
LUISA MARIA ALCALDE LUJAN,"En 17 meses de esta administración se impulsó una nueva política de salarios mínimos. Este año el salario mínimo pasó de 102 a 123 pesos diarios, mientras que en la zona libre de la frontera norte llegó a los 185 pesos al día; sumado al aumento de 2019, el salario mínimo ha recuperado en dos años 35 por ciento del valor que fue perdido durante tres décadas en que imperó una nociva política salarial.",0.32823650481604266,74,1,5,2020
LUISA MARIA ALCALDE LUJAN,"Estos aumentos han puesto en evidencia que la amenaza de la inflación no era otra cosa más que un mito. Las evaluaciones apuntan a que la nueva política de salarios mínimos no ha presentado efectos negativos en los precios de los productos de consumo, pues la inflación anual fue de 3.2 por ciento en marzo; más aún, según datos del Instituto Mexicano del Seguro Social, el salario promedio aumentó un ocho por ciento en los últimos dos años.",0.32823650481604266,78,1,5,2020
LUISA MARIA ALCALDE LUJAN,"La Reforma Laboral es quizá el cambio más importante en los últimos 100 años para el mundo del trabajo, reforma que fue acompañada con la ratificación del convenio 198 de la Organización Internacional del Trabajo sobre sindicación y negociación colectiva, es pasar de los contratos de protección, de la corrupción sindical, a lograr que los sindicatos, las organizaciones gremiales, tengan autonomía e independencia frente a los patrones y también frente al gobierno, que sean fuertes y que cumplan con su función de defensa de los trabajadores, lograr que los sindicatos pasen de un régimen de simulación a uno de verdadera y legítima representación.",0.32823650481604266,103,1,5,2020
LUISA MARIA ALCALDE LUJAN,"A un año de la Reforma Laboral, más del 85 por ciento de los sindicatos con registros federales han adecuado sus estatutos para introducir el voto personal, libre, directo y secreto para elegir a sus dirigentes, lo cual es de reconocerse; además, para eliminar los contratos de protección, a la fecha más de 71 mil trabajadores han sido consultados respecto a si están de acuerdo o no con el contenido de sus contratos.",0.32823650481604266,73,1,5,2020
LUISA MARIA ALCALDE LUJAN,Igual de relevante significa el hecho de que la democracia y el voto secreto y directo sea también una herramienta para los casi cuatro millones de trabajadores al servicio del Estado.,0.32823650481604266,31,1,5,2020
LUISA MARIA ALCALDE LUJAN,"Asimismo, como parte de la implementación de la reforma, estamos consolidando de la mano de los poderes judiciales la creación de tribunales especializados en materia laboral, juicios cortos orales que den pie a una pronta resolución de conflictos y un auténtico acceso a la justicia. Estos tribunales, de la mano de los centros de conciliación, iniciarán a operar a partir de octubre de este año en 10 entidades federativas.",0.32823650481604266,69,1,5,2020
LUISA MARIA ALCALDE LUJAN,"De igual modo, en el Gobierno de México estamos abocados a erradicar prácticas ilegales de subcontratación que tienen por objeto evadir el cumplimiento de los derechos laborales.",0.32823650481604266,27,1,5,2020
LUISA MARIA ALCALDE LUJAN,"A diferencia de administraciones anteriores, que consintieron e incluso lo promovieron, hemos conformado un grupo de trabajo, como nunca antes, para lograr consolidar una estrategia conjunta con la UIF, el IMSS, el SAT, la procuraduría fiscal y el Infonavit.",0.32823650481604266,39,1,5,2020
LUISA MARIA ALCALDE LUJAN,"En lo que va de la presente administración hemos realizado inspecciones con el objeto de vigilar, detectando a mil 391 empresas que operaban con presuntos esquemas de subcontratación abusiva protegiendo así a miles de trabajadores. Aquí mismo en dos ocasiones hemos informado y exhibido el comportamiento de estos mecanismos.",0.32823650481604266,49,1,5,2020
LUISA MARIA ALCALDE LUJAN,"En diciembre del año pasado, como parte ya de una práctica casi normalizada para cerrar el año, muchas empresas de subcontratación dieron de baja a sus trabajadores de los registros del IMSS, lo mismo sucedió hace apenas unas semanas en plena pandemia.",0.32823650481604266,42,1,5,2020
LUISA MARIA ALCALDE LUJAN,Lo importante es que esta batalla ya inició y seguiremos actuando con contundencia para erradicar estas prácticas ilegales.,0.32823650481604266,18,1,5,2020
LUISA MARIA ALCALDE LUJAN,"Le apostamos a la juventud, nunca se había invertido de manera tan contundente en una nueva generación con ganas de trabajar que carecía de oportunidades. Más de un millón 200 mil jóvenes han recibido capacitación laboral a través del programa Jóvenes Construyendo el Futuro, recibiendo una beca mensual de tres mil 748 pesos y seguro médico. Esta generación se está formando y adquiriendo experiencia, y se encamina para ser una fuerza laboral mejor preparada y, por ende, con mejores posibilidades.",0.32823650481604266,80,1,5,2020
LUISA MARIA ALCALDE LUJAN,"Estos no son datos fríos, detrás de cada cifra hay una historia de vida. Es muy inspirador notar las relaciones y loa lazos que se han forjado entre tutores y aprendices. Los primeros enseñan de sus oficios y su experiencia y los segundos entregan su esfuerzo, su creatividad, fortaleciendo así a las empresas y negocios. Se está generando así, comunidad.",0.32823650481604266,60,1,5,2020
LUISA MARIA ALCALDE LUJAN,"Finalmente, que sirva también este 1º de Mayo para decirles a las mujeres trabajadoras que no están solas, que con la implementación del principio de proporcionalidad por razón de género en la Reforma Laboral estamos impulsando cada vez más que haya mujeres en las directivas sindicales; que tenemos la convicción de que el trabajo digno comienza en el hogar y que, por eso, recientemente el Estado mexicano ratificó el convenio 189 de la OIT y puso en marcha el programa piloto de incorporación de las trabajadoras del hogar a la seguridad social. Comenzamos así a saldar una deuda histórica con un sector cuyos derechos habían sido de los más vulnerados.",0.32823650481604266,110,1,5,2020
