Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
CLAUDIA SHEINBAUM PARDO," Presidente, buenos días. Secretarios, secretarias, gobernadores.",0.32823650481604266,6,13,5,2020
CLAUDIA SHEINBAUM PARDO,El día de ayer fue presentado este programa a los 31 gobernadores y a la jefatura del gobierno por parte de los distintos secretarios del Gobierno de México.,0.32823650481604266,28,13,5,2020
CLAUDIA SHEINBAUM PARDO,"Nos parece muy acertado este esquema de semáforos en donde, de acuerdo con la población, cómo va creciendo la epidemia, cuánto número de hospitalizados hay, si va subiendo o si va bajando cambiará el semáforo para poder desarrollar las distintas actividades sociales, económicas, educativas y regresar a la nueva normalidad; es decir, este virus, mientras no haya vacuna, no haya un medicamento que nos permita reducir la gravedad de las enfermedades para ciertas personas, tenemos que convivir y generar esta nueva normalidad, pero al mismo tiempo no pensar que vamos a estar encerrados toda la vida, tenemos, mientras no haya esta condición, que ir generando las condiciones.",0.32823650481604266,107,13,5,2020
CLAUDIA SHEINBAUM PARDO,"Hasta ahora y gracias a la ciudadanía, en particular en la Ciudad de México, hemos logrado controlar que no se nos sobrepase la hospitalización y al mismo tiempo que no haya más número de decesos.",0.32823650481604266,35,13,5,2020
CLAUDIA SHEINBAUM PARDO,"Somos parte de una zona metropolitana, 22 millones de habitantes, 16 alcaldías, 57 municipios conurbados, somos en este momento la zona que más contagios tiene y que más número de personas están hospitalizadas, para hoy son cerca de cinco mil 500, de los cuales el 20 por ciento está intubado.",0.32823650481604266,50,13,5,2020
CLAUDIA SHEINBAUM PARDO,"Y esta situación en donde no se ha sobrepasado la capacidad hospitalaria es gracias a la ciudadanía, gracias al trabajo que se ha hecho de prevención, de sana distancia, de quedarnos en casa.",0.32823650481604266,33,13,5,2020
CLAUDIA SHEINBAUM PARDO,"Estamos trabajando con el Gobierno de México, con la Secretaría de Salud, las distintas secretarias y también con el gobernador del Estado de México, porque la decisión que tomemos en la ciudad tiene que ser al mismo tiempo en los municipios conurbados.",0.32823650481604266,42,13,5,2020
CLAUDIA SHEINBAUM PARDO,Ustedes saben que somos un continuo urbano y que no tendría sentido que Iztapalapa tuviera una manera de regresar a la normalidad y Nezahualcóyotl tuviera otra cuando sólo nos divide una avenida. Estamos trabajando en este proceso.,0.32823650481604266,37,13,5,2020
CLAUDIA SHEINBAUM PARDO,"Por lo pronto, estamos todavía en una etapa de alto contagio, seguimos con sana distancia, con quedarnos en casa y creo que estaremos a partir de la próxima semana con un trabajo intenso con el Gobierno de México y con el gobierno del Estado de México en condiciones de informales cuál es el esquema que vamos a ir desarrollando en la zona metropolitana para ir entrando poco a poco a esta nueva normalidad.",0.32823650481604266,73,13,5,2020
CLAUDIA SHEINBAUM PARDO,Muchas gracias.,0.32823650481604266,2,13,5,2020
