Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
GRACIELA MARQUEZ COLIN," Gracias, presidente. Con permiso, gracias. Buenos, días a todas, a todos.",0.32823650481604266,11,19,5,2020
GRACIELA MARQUEZ COLIN,"Desde hace casi un mes empezamos a tener contacto con las autoridades de Estados Unidos, porque evidentemente, desde que llegó la enfermedad, las líneas de proveeduría de México hacia Estados Unidos empezaron a perturbarse, pero este fenómeno había ya pasado también desde que la enfermedad pegó en China.",0.32823650481604266,48,19,5,2020
GRACIELA MARQUEZ COLIN,"Entonces veníamos en un proceso en el que estas cadenas se iban rompiendo, en el momento en que China empezó a articularse, Estados Unidos y Canadá les interesaba tener la cadena de proveeduría muy sólida.",0.32823650481604266,35,19,5,2020
GRACIELA MARQUEZ COLIN,¿A qué nos referimos cuando hablamos de la cadena de proveeduría?,0.32823650481604266,11,19,5,2020
GRACIELA MARQUEZ COLIN,"Por ejemplo, los autos. Para que un auto se arme en Norteamérica cruza la frontera mexicana siete veces.",0.32823650481604266,18,19,5,2020
GRACIELA MARQUEZ COLIN,¿Esto qué quiere decir?,0.32823650481604266,4,19,5,2020
GRACIELA MARQUEZ COLIN,"No es que lleguen todas las piezas en un solo momento y se arme en alguna de las plantas en los distintos estados de México, sino que puede ser que un motor o la mitad de un motor o los componentes de un motor para una camioneta se inicie su construcción en Alabama, llega a México se le incorporan otras partes, viaja a Missouri, regresa a Monterrey y así se va haciendo la cadena. Entonces, esa cadena de proveeduría es muy importante.",0.32823650481604266,82,19,5,2020
GRACIELA MARQUEZ COLIN,"México además es uno de los grandes exportadores de autopartes, es decir, producimos todos estos componentes. Y tenemos las armadoras, no solamente tenemos armadoras cuyo origen está en Estados Unidos, sino también tenemos armadoras europeas y asiáticas, pero estas armadoras venden fundamentalmente sus autos en el mercado de Estados Unidos y Canadá.",0.32823650481604266,52,19,5,2020
GRACIELA MARQUEZ COLIN,"México es el primer exportador de tractocamiones del mundo, producimos tractocamiones, camiones de carga para todo el mundo. Entonces, sí era muy importante sincronizar la entrada en vigor, pero había una diferencia muy importante entre Estados Unidos, Canadá, incluso Europa y por supuesto Asia con México.",0.32823650481604266,46,19,5,2020
GRACIELA MARQUEZ COLIN,"La diferencia es que, como aquí se ha señalado, la llegada del COVID-19 fue posterior en México que en los otros países. Entonces, en el Gobierno de México se decidió que se iba a priorizar la salud, y que teníamos que empezar a ser este descongelamiento, esta reapertura hasta que tuviéramos certeza que esto no iba a impactar la salud.",0.32823650481604266,60,19,5,2020
GRACIELA MARQUEZ COLIN,"Les decía, desde hace casi un mes empezamos a explorar qué es lo que se podría abrir, y la primera pregunta que nosotros hicimos, y no solamente en automotriz, sino en eléctrica, en electrónica, en aeroespacial, en otras ramas, y la primera pregunta que hicimos fue ¿y cuándo abre la industria en Estados Unidos?",0.32823650481604266,54,19,5,2020
GRACIELA MARQUEZ COLIN,"Y la respuesta era no sabemos bien, ¿por qué?, porque justamente también en Estados Unidos la enfermedad pegó de manera muy distinta.",0.32823650481604266,22,19,5,2020
