Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JORGE ALCOCER VARELA," Muchas gracias, señor presidente.",0.32823650481604266,4,26,5,2020
JORGE ALCOCER VARELA,Muy buenos días a todas y a todos ustedes.,0.32823650481604266,9,26,5,2020
JORGE ALCOCER VARELA,"A cinco días de que termine la inolvidable, sí, inolvidable Jornada Nacional de Sana Distancia, y que aprovecho para dar las gracias nuevamente a la participación central que ha tenido la población mexicana, gracias a ellos se ha logrado, tenemos hoy, presentamos a ustedes en el Pulso de la Ciudad, como ya anunció el presidente, el seguimiento a tres hechos también muy importantes.",0.32823650481604266,63,26,5,2020
JORGE ALCOCER VARELA,"En principio desde luego, y es muy importante el informe técnico que nos ofrecerá el doctor Hugo López-Gatell; en segundo lugar, sobre los avances de la Condecoración Miguel Hidalgo anunciado hace unos días por el presidente y en las tardes por el maestro Zoé; y finalmente, el seguimiento a ese convenio Juntos por la Salud, suscrito el pasado 13 de abril y del cual tenemos hoy noticias.",0.32823650481604266,67,26,5,2020
JORGE ALCOCER VARELA,Muchas gracias.,0.32823650481604266,2,26,5,2020
JORGE ALCOCER VARELA,Doctor Hugo López-Gatell.,0.32823650481604266,3,26,5,2020
JORGE ALCOCER VARELA," Se presentan, en este año se van a presentar, se presentaron ya más de 52 mil candidatos para poder optar por especialidades médicas.",0.32823650481604266,23,26,5,2020
JORGE ALCOCER VARELA,"Las especialidades médicas suman en términos generales más de 60, 68, de las cuales se abren, de acuerdo a los sitios donde se forman, donde hay posibilidad de darles esa preparación, una preparación que es uno, dos, tres años, dependiendo la complejidad de la ciencia que se está ampliando para la medicina.",0.32823650481604266,52,26,5,2020
JORGE ALCOCER VARELA,"En ese periodo participan varias universidades, pero sumadas y principalmente a través de las más notorias, la UNAM, el TEC y otras universidades, las estatales que también hay que considerar, se aceptan alrededor de 10 mil, una cuarta parte, y eso con esfuerzos, estoy hablando que siempre aceptaban, o sea, se les daba el visto bueno alrededor de nueve mil, pero el Seguro Social, lo resalto, ha hecho esfuerzos para aumentar progresivamente alguna de esas especialidades.",0.32823650481604266,76,26,5,2020
JORGE ALCOCER VARELA,"El enfoque ahora, como ya dijo el señor presidente, va a ser completo. Uno, no rechazarlos, porque todos los que deben de presentar llenan el requisito de ser médicos generales, y en algún momento señalé que el ser médico general ya es una distinción, seis años de estar trabajando y haciendo, inclusive ahora en el COVID, algunas participaciones como ya saben, como recuerdan, que motivaron que aquellos que están trabajando en comunidades tengan mayor puntuación, dos puntos de lo que se requiere para poder sumar a lo del examen, pero ahora también aquellos que tienen participación en COVID, esto es como un estímulo.",0.32823650481604266,103,26,5,2020
JORGE ALCOCER VARELA,"Pero independientemente de esto, no me salí, sino que lo que pasa es que es esencial el enfoque de qué médicos necesitamos. Y señalé hace unos días, hace unas semanas, que nosotros necesitamos médicos generales de calidad, como muchos países, y de especialistas también de calidad como los tenemos en México, pero insuficientes, y de cada una de las especialidades hay diferencias notables.",0.32823650481604266,63,26,5,2020
JORGE ALCOCER VARELA,"Por ejemplo, geriatras, aquellos que atienden a la población de mayor edad, tenemos un 10 por ciento de lo que se necesita y tenemos desde luego la posibilidad de no contar con los especialistas, los centros de especialidad que pueden dar esa preparación.",0.32823650481604266,43,26,5,2020
JORGE ALCOCER VARELA,"Y así podría yo ir enumerando muchos ejemplos, pero me quedo en los más importantes: pediatras, ginecobstetras que son los que se encargan de atender los partos y las enfermedades ligadas  la vida sexual de las mujeres y muchos otros ligados a los que estamos viendo ahora en esta necesidad de enfrentar una emergencia.",0.32823650481604266,54,26,5,2020
JORGE ALCOCER VARELA,"Todos los que están relacionados con urgencias, con terapia intensiva, con anestesia, con estas situaciones de emergencia no los tenemos y en este caso nosotros tenemos que sustentarlo a través de… que lo estamos haciendo ya y en breve lo podemos ya presentar en una forma muy académica, muy de todos los estados y de todas las universidades poder tener las necesidades, un censo de necesidades.",0.32823650481604266,66,26,5,2020
JORGE ALCOCER VARELA,"Yo lo señalé hace también ya más de un año que en términos generales necesitamos, tenemos un déficit de 200 mil profesionistas de la salud médicos y de los cuales la mayoría son médicos generales todavía que se necesita, 123 mil y el restante 76 mil son especialistas. Todo esto se tiene que ir buscando.",0.32823650481604266,55,26,5,2020
JORGE ALCOCER VARELA,"Ya señaló el presidente, tan sólo en esta epidemia, de las cosas positivas que tenemos es que además de notar el desafortunado déficit, nuestro desafortunado déficit de profesionales y, agrego, de enfermeras, que son piezas centrales, pues tenemos el hecho de que se pueden implementar subespecialidades que pueden tener una acción muy positiva, muy integrada a esto para poder responder y así lo hemos hecho contratando entre médicos generales y especialistas más de 45 mil.",0.32823650481604266,75,26,5,2020
JORGE ALCOCER VARELA,Esta es una actividad que realmente lleva a fundamentar lo que es el humanismo en una profesión como es la medicina. Pronto se los anunciaremos.,0.32823650481604266,25,26,5,2020
