Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
MIGUEL BARBOSA HUERTA," Gracias, presidente López Obrador.",0.32823650481604266,4,17,6,2020
MIGUEL BARBOSA HUERTA,"Bienvenidos señores del gabinete, señora secretaria; bienvenidos, señores de la fuente que acompañan al primer mandatario en su gira y que cubren esta, desde luego, ya tradicional conferencia mañanera del Poder Ejecutivo de la nación.",0.32823650481604266,35,17,6,2020
MIGUEL BARBOSA HUERTA,Decirles que en Puebla el tema de seguridad pública es un tema que lo hemos asumido como prioritario a partir de que encabezamos este gobierno en el mes de agosto del 2019.,0.32823650481604266,32,17,6,2020
MIGUEL BARBOSA HUERTA,"La cúspide de la comisión de delitos en nuestro estado se dio entre enero y julio del 2019 y a partir de agosto de 2019 cada mes hemos ido disminuyendo, disminuyendo la comisión de delitos, el índice delictivo; sin embargo, la percepción de inseguridad permanecía muy alta, fue calificada la ciudad de Puebla como la ciudad más insegura en cuanto a percepción por parte de la población.",0.32823650481604266,67,17,6,2020
MIGUEL BARBOSA HUERTA,"Pasó un hecho abominable en el mes de marzo, cuando cuatro jóvenes, tres estudiantes de medicina, dos colombianos, un poblano y un conductor de Uber fueron abominablemente asesinados, cruelmente asesinados y eso se sumaba a una serie de homicidios que ocurrían, sobre todo en la zona conurbada de nuestro estado.",0.32823650481604266,50,17,6,2020
MIGUEL BARBOSA HUERTA,"Pudimos enfrentar esa situación complicada de protestas, por cierto, protestas ejemplares, protestas, todas muy pacíficas, limpias, y lo hicimos con diálogo y encontramos formas de solución que abrieron una ruta de entendimiento y de soluciones compartidas.",0.32823650481604266,36,17,6,2020
MIGUEL BARBOSA HUERTA,"Pero tomamos decisiones en la restructuración de nuestro sistema de seguridad pública y a partir de ese momento establecimos un combate a la delincuencia frontal que se ha traducido de marzo a este momento en más de mil detenidos, en la disolución de más de 62 bandas en todo el estado.",0.32823650481604266,51,17,6,2020
MIGUEL BARBOSA HUERTA,"Y hoy, señor presidente, señores medios de información, señoras, no hay crímenes cruentos en Puebla.",0.32823650481604266,15,17,6,2020
MIGUEL BARBOSA HUERTA,"Sigue habiendo delincuencia, sí. Hoy tenemos una disminución de las 17 figuras delictivas que el sistema de seguridad pública le da seguimiento, porque son delitos de alto impacto, por lo menos en 13 tenemos una baja muy importante, muy importante, cuatro son los que mantienen un relativo crecimiento, que es la extorsión, hay un registro del tema de narcomenudeo, pero eso tiene que ver con el número de carpetas por detenidos que tenemos, cientos, que hace que el registro se vea como aumento.",0.32823650481604266,83,17,6,2020
MIGUEL BARBOSA HUERTA,"El tema de feminicidios, pero quiero decirles que no hay impunidad en puebla. Cada hecho de feminicidio tiene a un feminicida, o en la cárcel o perseguido, no hay impunidad.",0.32823650481604266,30,17,6,2020
MIGUEL BARBOSA HUERTA,"Y tiene que ver con asuntos sí de cultura, sí de una desigualdad estructural, sí, de muchas cosas.",0.32823650481604266,18,17,6,2020
MIGUEL BARBOSA HUERTA,"El tema de la inseguridad es un asunto que le va a ocupar su tiempo a este gobierno y a los gobiernos que sigan, pero lo que tenemos que devolver es la paz y la seguridad para que las gentes vivan, para que las gentes disfruten de su vida, hagan negocios y es lo que estamos haciendo en Puebla.",0.32823650481604266,59,17,6,2020
MIGUEL BARBOSA HUERTA,"Hoy hay una percepción totalmente distinta a la que hubo, totalmente distinta y ahí están las cifras, no lo estoy diciendo yo solamente como números que yo pueda dar, dar razones inexistentes y vamos caminando.",0.32823650481604266,35,17,6,2020
MIGUEL BARBOSA HUERTA,"Tenemos una estrategia para detener a los que se han mencionado -que ya ni siquiera lo son porque el tema de la vida delictiva es muy cambiante- como los grandes capos, los que fueron los capos después ya no lo son, van cambiando, no identificamos un cártel nacional trabajando, dominando en Puebla, pero hay grupos delincuenciales tan violentos como cualquier cártel nacional.",0.32823650481604266,62,17,6,2020
MIGUEL BARBOSA HUERTA,"Sí, todo el tiempo hay que estar combatiendo la inseguridad pública, combatiendo a la delincuencia, hace falta mucho por hacer, mucho por hacer, pero actuando de buena fe, con honestidad, sin corrupción, sin corrupción y con mucha firmeza vamos a ir dando pasos muy firmes y con muchos logros.",0.32823650481604266,49,17,6,2020
MIGUEL BARBOSA HUERTA,"No llego todavía al año de ser gobernador y me siento satisfecho por los logros obtenidos en el plano de la seguridad pública y desde luego en el combate a la corrupción, desde luego que sí. Hoy los liberales combatimos la corrupción, combatimos la pobreza, combatimos la desigualdad, combatimos la inseguridad pública. Hoy somos los liberales, quienes actuamos así.",0.32823650481604266,59,17,6,2020
MIGUEL BARBOSA HUERTA,"Gracias, presidente; gracias a todos por estar en Puebla.",0.32823650481604266,9,17,6,2020
