Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
CLAUDIA SHEINBAUM PARDO," Buenos días, presidente. Muy buenos días.",0.32823650481604266,6,24,6,2020
CLAUDIA SHEINBAUM PARDO,"Es un honor tener aquí al presidente de la República y a todo su Gabinete de Seguridad. Hermosos recuerdos además de cuando el presidente fue jefe de gobierno y lo acompañé como secretaria del Medio Ambiente ya hace algunos años, así que es muy emotivo tenerlo aquí, presidente.",0.32823650481604266,48,24,6,2020
CLAUDIA SHEINBAUM PARDO,"Muy rápidamente vamos a dar dos informes: uno relacionado con el tema de seguridad y el segundo el tema de la reactivación económica de la Ciudad de México vinculado con los microcréditos que está dando el Gobierno de México, tanto a personas que trabajan en la economía formal como personas que trabajan en la economía no formal.",0.32823650481604266,57,24,6,2020
CLAUDIA SHEINBAUM PARDO,"Entonces si ponen, por favor la de seguridad. Está la gráfica de incidencia delictiva en la Ciudad de México. La línea roja es el momento en que entramos al gobierno de la ciudad y posterior, del lado derecho tienen ustedes a partir del 5 de diciembre del 2018 y antes del 5 de diciembre del 2018.",0.32823650481604266,56,24,6,2020
CLAUDIA SHEINBAUM PARDO,"Aquí pueden ver una reducción entre enero del 19 y enero del 20 del 27 por ciento de todos los delitos de alto impacto, casi 28; y en el caso de junio, una reducción un poco mayor. Hay que decir, por ejemplo, en el robo a transeúnte evidentemente la pandemia tiene que ver en la reducción del robo a transeúnte, pero hay muchos otros en donde es el trabajo coordinado que hemos venido haciendo.",0.32823650481604266,74,24,6,2020
CLAUDIA SHEINBAUM PARDO,"En el caso de homicidio doloso, carpetas de investigación, se ve una estabilidad en el año 2018, después un ligero incremento en cuanto llegamos hasta el mes más o menos de mayo y a partir de mayo de 2019 a junio del 2020 ha habido una reducción entre enero del 19 y enero del 20, una reducción del 18.39 por ciento y entre junio del19 y junio del 20 una reducción de casi el 22 por ciento en homicidios doloso, carpetas de investigación.",0.32823650481604266,83,24,6,2020
CLAUDIA SHEINBAUM PARDO,"Y el caso de víctimas, que antes no se contabilizaba, solamente desde que entramos tenemos una reducción entre enero y enero del año pasado y este del 16.7 por ciento, y a junio de 15 por ciento.",0.32823650481604266,37,24,6,2020
CLAUDIA SHEINBAUM PARDO,"En el caso de lesiones dolosas por disparo de arma de fuego hay una reducción muy, muy importante, entre enero del 19 y enero del 20 una reducción del 48.31 por ciento y de junio del 19 a junio del 20 del 31.5 por ciento. Aquí ha jugado un papel muy importante un programa de desarme voluntario que tenemos junto con la Secretaría de la Defensa Nacional, que por cierto inició el día de ayer nuevamente con un programa de sana distancia.",0.32823650481604266,82,24,6,2020
CLAUDIA SHEINBAUM PARDO,"Robo a casa habitación con violencia, también ustedes pueden ver que venía una tendencia hacia arriba hasta más o menos el mes de marzo de 2019 y después una reducción importante, aunque es de los delitos que no hemos logrado todavía disminuir con mayor énfasis como muchos otros, pero sí hay una reducción de junio a junio del 2019 al 2020.",0.32823650481604266,61,24,6,2020
CLAUDIA SHEINBAUM PARDO,"Este es el robo a cuentahabiente, que también tuvimos una tendencia hacia arriba hasta junio del 2019 y a partir de junio a la fecha una reducción muy importante, de enero del 19 al 20 solamente de 1.79 por ciento y de junio a junio de 71.78. Puede parecer que la pandemia tuvo algo que ver, y en parte es cierto, pero también un importante número de detenciones en febrero de este año, trabajadas particularmente junto con los bancos que operan en la Ciudad de México.",0.32823650481604266,86,24,6,2020
CLAUDIA SHEINBAUM PARDO,"Robo a negocio con violencia, también una reducción muy importante.",0.32823650481604266,10,24,6,2020
CLAUDIA SHEINBAUM PARDO,"Robo a bordo de microbús, también un incremento hasta marzo del año pasado y después una reducción muy importante. Aquí ha tenido que ver que también que a cerca ya de una tercera parte de los microbuses hemos instalado cámaras de vigilancia que nos han ayudado mucho a reducir este delito.",0.32823650481604266,51,24,6,2020
