Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,  Buenos días.,0.9384397760356878,2,29,6,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Vamos a informar. Estamos iniciando la semana, esperemos que sea una buena semana. La que pasó fue compleja; sin embargo, aquí estamos y seguimos adelante, ni un paso atrás, ni siquiera para tomar impulso.",0.42814318494569575,34,29,6,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Tenemos que lograr entre todos los mexicanos la trasformación del país y a pesar de los pesares vamos hacia adelante con el apoyo de la gente, con el apoyo de los ciudadanos, con el apoyo de todos, de la inmensa mayoría de los mexicanos.",0.7215761309846523,44,29,6,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"De esto vamos a informar pasado mañana, miércoles, que vamos a cumplir dos años del triunfo democrático, del triunfo que se logró con la participación de millones de mexicanos, vamos a rendir cuentas el miércoles por la tarde, cuidando nada más la sana distancia, no se puede hacer de otra forma. Va a ser aquí, en Palacio, en uno de los patios del Palacio Nacional.",0.18677194388804783,65,29,6,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,El día de hoy vamos a escuchar a Ricardo Sheffield que desde hace… ¿cuánto tiempo?,0.21995182275135775,15,29,6,2020
RICARDO SHEFFIELD PADILLA, Un año y siete meses.,0.541333260777616,5,29,6,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"  Aquí, en…",0.541333260777616,2,29,6,2020
RICARDO SHEFFIELD PADILLA, En la mañanera.,0.9761829870077849,3,29,6,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," En la mañanera, un año y siete meses, todos los lunes en el Quién es Quién en los precios de los combustibles. Entonces, vamos.",0.39125897989170383,24,29,6,2020
RICARDO SHEFFIELD PADILLA," Gracias, señor presidente. Buenos días, buenos días a todas y a todos ustedes.",0.8160685388530843,13,29,6,2020
RICARDO SHEFFIELD PADILLA,"Recordarán que estamos presentando lo regionalizado, lo cual quiere decir que las ocho gasolineras que aparecen son las ocho más caras, las más pasadas de rosca en cada región con el precio. De todas ellas, la que tiene el precio más alto es en Hermosillo, Sonora, Real Fuel para la gasolina regular, un precio al público de 20.75 por litro, un margen de tres pesos 66 centavos; y la más económica, Exxon Mobil en Monclova, Coahuila, 15 pesos con 90 centavos por litro, 36 centavos de margen.",0.1050137093181265,87,29,6,2020
RICARDO SHEFFIELD PADILLA,"Para la gasolina Premium la más alta en Sinaloa, Sinaloa, un precio al público de 21.48 por litro, Saúl Rubio Valenzuela, un margen de un peso 84 centavos; la más económica, franquicia Pemex, combustibles Portes Gil, en Veracruz, Veracruz, 16 pesos con tres centavos por litro, con un margen de 46 centavos.",0.00040183848564174645,52,29,6,2020
