Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ERNESTO PRIETO ORTEGA," Muy buenos días. Con su permiso, señor presidente.",0.32823650481604266,8,13,07,2020
ERNESTO PRIETO ORTEGA,Quiero pasar a informar lo relacionado al sorteo especial número 235 donde estamos rifando el equivalente al avión presidencial.,0.32823650481604266,19,13,07,2020
ERNESTO PRIETO ORTEGA,"Como todos ustedes recuerdan, esta es una cooperación para equipos médicos y hospitales donde se atiende de manera gratuita a la gente pobres, ese es el objetivo principal de esta rifa.",0.32823650481604266,31,13,07,2020
ERNESTO PRIETO ORTEGA,Los datos:,0.32823650481604266,2,13,07,2020
ERNESTO PRIETO ORTEGA,Es el próximo martes 15 de septiembre.,0.32823650481604266,7,13,07,2020
ERNESTO PRIETO ORTEGA,Lugar y hora: 16:00 horas en el Salón de Sorteos del edificio principal de la Lotería Nacional.,0.32823650481604266,17,13,07,2020
ERNESTO PRIETO ORTEGA,Emisión: seis millones de cachitos con la imagen del Gran Sorteo Especial 235 Equivalente al Valor del Avión Presidencial.,0.32823650481604266,19,13,07,2020
ERNESTO PRIETO ORTEGA,"Tiempos de venta: empezamos a partir del 10 de marzo, pero nos pasó lo de la pandemia y duramos más de 100 días sin poder vender. Ya se reactivó la venta en aproximadamente 66 expendedoras a nivel estado y 40 aquí en la zona metropolitana, entonces ya estamos vendiendo los vendedores de cachitos, los vendedores, los billeteros ya están trabajando en toda la zona metropolitana.",0.32823650481604266,65,13,07,2020
ERNESTO PRIETO ORTEGA,"Premios: son 100 premios de 20 millones de pesos cada uno; total, dos mil millones de pesos.",0.32823650481604266,17,13,07,2020
ERNESTO PRIETO ORTEGA,Los números: es del siete ceros al cinco millones 999 mil 999.,0.32823650481604266,12,13,07,2020
ERNESTO PRIETO ORTEGA,El costo de cada cachito es de 500 pesos.,0.32823650481604266,9,13,07,2020
ERNESTO PRIETO ORTEGA,"Aquí está, por ejemplo, la siguiente toma donde ya estamos nosotros haciendo las pruebas con los niños y niñas gritones para poder celebrar este 15 de septiembre este gran sorteo.",0.32823650481604266,30,13,07,2020
ERNESTO PRIETO ORTEGA,"Ingresos: el Gran Sorteo Especial número 235, el total de ingresos, o sea, las ventas al día del 10 de julio es de 677.5 millones de pesos, que es equivalente al 22.58 por ciento del total disponible, o sea, hemos vendido un millón 355 mil cachitos.",0.32823650481604266,46,13,07,2020
ERNESTO PRIETO ORTEGA,"Para este Gran Sorteo Especial el billete está distribuido a agencias expendedoras y billeteros al 10 de julio, total 14 mil 688 hojas, que es el equivalente a 293 mil 760 cachitos y equivalente en pesos a 146 millones 880 mil pesos.",0.32823650481604266,42,13,07,2020
ERNESTO PRIETO ORTEGA,"Es cuanto, señor presidente.",0.32823650481604266,4,13,07,2020
