Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
MARCELO EBRARD CASAUBON," Con su permiso, señor presidente. Colegas, señoras, señores de los medios de comunicación, redes.",0.500183160728402,14,14,07,2020
MARCELO EBRARD CASAUBON,"Bueno, informarles respecto a la protección y atención a mexicanas y mexicanos en el exterior y las tareas a cargo de esta secretaría en relación a la pandemia del COVID-19.",0.500183160728402,30,14,07,2020
MARCELO EBRARD CASAUBON,"En primer lugar, informarles que el día de hoy recibiremos un vuelo proveniente de Emiratos Árabes Unidos con 39 personas, mexicanas, mexicanos.",0.500183160728402,22,14,07,2020
MARCELO EBRARD CASAUBON,"Y también se va a recibir por parte del gobierno de ese país una donación para el Instituto de Seguridad Social de Trabajadores al Servicio del Estado, el Issste, que son batas, cubrebocas, inmunoglobulina, guantes, cobertores y caretas protectoras, que mucho agradecemos. Ahí estaremos en la noche en el aeropuerto para recibir este vuelo.",0.500183160728402,54,14,07,2020
MARCELO EBRARD CASAUBON,"Ya está disponible -también informarles- la plataforma de transparencia de donaciones internacionales que ha recibido nuestro país por conducto de la cancillería para combatir la pandemia del COVID-19. La página es transparencia.sre.gob.mx, es una plataforma donde ustedes ya pueden consultar todas las donaciones que hemos recibido y qué destino han tenido, como la de hoy, que, como dije, va al Issste.",0.500183160728402,61,14,07,2020
MARCELO EBRARD CASAUBON,"Es sobre adquisición de insumos y equipo médico dese exterior, la función de la secretaría es facilitar eso. Nosotros no adquirimos, son diferentes instituciones, pero nuestra tarea es acercarlos y garantizar que lleguen a su destino.",0.500183160728402,36,14,07,2020
MARCELO EBRARD CASAUBON,"Hasta el día de hoy se han recibido 25 vuelos desde China, ocho vuelos desde Estados Unidos y el vuelo que recibiremos hoy en la noche de Emirato Árabes.",0.500183160728402,29,14,07,2020
MARCELO EBRARD CASAUBON,"El total de insumos desde los puentes aéreos con Estados Unidos y China es el siguiente, ahí tienen ustedes el cuadro:",0.500183160728402,21,14,07,2020
MARCELO EBRARD CASAUBON,"Cubrebocas, 16 millones 493 mil 200; guantes de exploración, un millón 228 mil; mascarillas, un millón 499 mil 800; caretas protectoras, 547 mil 500, los goggles, 426 mil 040; ventiladores, cuatro mil 454; pruebas PCR, 300 mil; kits de transporte de pruebas, 40 mil; trajes de protección 27 mil 200; metros cúbicos de tela especializada para fabricar cubrebocas, nueve metros cúbicos; termómetros infrarrojos, dos mil; y batas quirúrgicas, 46 mil 600.",0.500183160728402,71,14,07,2020
MARCELO EBRARD CASAUBON,"Respecto a acciones consulares, las más destacadas tienen que ver con pruebas gratuitas que se están llevando a cabo en Houston. En Houston ahora tenemos un rebrote significativo, por lo que vamos a tener que reducir la actividad directa al consulado, probablemente en otras ciudades de Estados Unidos también, en Florida, Texas y probablemente California. Pero bueno, estos son los trabajos hasta el día de ayer.",0.500183160728402,66,14,07,2020
MARCELO EBRARD CASAUBON,"Una panorámica del programa Ventillas de la Salud, que se organizó junto con la Secretaría de Salud. Al día 10 de julio se han atendido de manera remota un millón 728 mil 514 personas, compatriotas nuestros en Estados Unidos, la población que se ha beneficiado directamente para alguna atención médica son 384 mil 39 y los aliados que participan siete mil 972 entre organizaciones e instituciones.",0.500183160728402,66,14,07,2020
MARCELO EBRARD CASAUBON,Esta es la entrega de apoyos para alimentación.,0.500183160728402,8,14,07,2020
MARCELO EBRARD CASAUBON,"Aquí están los consulados que funcionan con sana distancia y siguiendo las regulaciones en los Estados Unidos. Cerrados solamente tenemos, como dije, Houston, Austin y Portland al día de hoy, todos los demás están funcionando.",0.500183160728402,35,14,07,2020
MARCELO EBRARD CASAUBON,"Como ustedes saben, el fin de semana, y queremos agradecer muy especialmente a la Fuerza Aérea Mexicana que nos hizo favor de apoyarnos para este traslado, pues ha sido muy lamentable para familias mexicanas en Estados Unidos la pérdida de familiares y nos pidieron un apoyo. Por instrucciones del presidente de la República, se hizo este traslado de 245 urnas con cenizas de personas, de connacionales fallecidas por COVID-19 en Estados Unidos, especialmente o principalmente en Nueva York, esperamos otro vuelo similar más adelante.",0.500183160728402,84,14,07,2020
MARCELO EBRARD CASAUBON,Y esto sería lo que tendría yo que informar el día de hoy. Muchas gracias.,0.500183160728402,15,14,07,2020
MARCELO EBRARD CASAUBON," Es una selección en la que participan muchas instituciones y la verdad es que tener esos cuatro pues son los que se consideraron más avanzados o más acabados, porque no podemos presentar en la CEPI proyectos que no reúnan ciertas características.",0.500183160728402,41,14,07,2020
MARCELO EBRARD CASAUBON,"Entonces, son cuatro de muchas instituciones: está la UNAM, está el Cinvestav, está una empresa que se llama Birmex, varios laboratorios, está la Universidad Autónoma de Querétaro, está la Universidad Autónoma de Baja California y el Tecnológico de Monterrey.",0.500183160728402,39,14,07,2020
MARCELO EBRARD CASAUBON," Bueno, hay requisitos que tienes que llenar, cada uno de los equipos presentó su descripción. Lo que nosotros hicimos, nuestra función es simplemente que esté completo el proyecto, es decir, que tenga todas las características que pide la CEPI y estamos a dos semanas más o menos de saber qué resuelve.",0.500183160728402,51,14,07,2020
MARCELO EBRARD CASAUBON,"Lo que estamos buscando es participar en el financiamiento internacional de desarrollo de… Esto es para la vacuna, no son tratamientos, sino para la vacuna, los cuatro que se presentaron.",0.500183160728402,30,14,07,2020
MARCELO EBRARD CASAUBON," Muy brevemente. El convenio fue renovado, sí está vigente, el convenio con los hospitales privados, es parte de una iniciativa…",0.500183160728402,20,14,07,2020
MARCELO EBRARD CASAUBON," Sí, que se denominó o se denomina Juntos por la Salud.",0.500183160728402,11,14,07,2020
