Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días.,0.9384397760356878,2,14,07,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"El día de hoy, martes 14 de mayo, vamos a… de julio, me pusieron ‘mayo’, bueno, de julio, martes 14 de julio, vamos a informar, como todos los martes, acerca de la situación en el país.",0.6834698773949431,36,14,07,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Como es sabido, todos los martes informamos de la situación de salud, en especial lo que está sucediendo y lo que se lleva a cabo para enfrentar la pandemia del COVID-19. En esta ocasión va a informar el secretario de Salud, el doctor Jorge Alcocer, que va a introducir, como lo hace siempre la exposición colectiva.",0.16361414413007427,56,14,07,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Va a intervenir el doctor Hugo López-Gatell, va a intervenir la directora de Conacyt, María Elena Álvarez, y el secretario de Relaciones Exteriores por lo que tiene que ver con paisanos que están siendo apoyados, auxiliados y también desgraciadamente paisanos que han fallecido en el extranjero, en Estados Unidos más que en otros países. Entonces, vamos a dedicar el día de hoy al informe de salud.",0.0029114487230742243,66,14,07,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Tenemos una muy buena noticia para el pueblo de México, el que ya se logró producir un ventilador con tecnología mexicana, un ventilador hecho en México, lo cual va a significar ser autosuficientes en este equipo que es básico, fundamental. No teníamos estos equipos.",0.5574825749752205,44,14,07,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Gracias a la solidaridad internacional se pudieron conseguir en los momentos más difíciles y ya se tiene un equipo de estas características hecho en México. Un trabajo de los investigadores, de los científicos del Conacyt en colaboración con otros investigadores del país y también de empresas nacionales y de empresas extranjeras que están ayudando, que se están sumando, que han hecho posible que se tenga ya este equipo para que no falte en los hospitales, pero eso lo va a explicar a detalle la directora del Conacyt.",0.027183636721520396,87,14,07,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Empezamos con el doctor Jorge Alcocer.,0.22565375637505664,6,14,07,2020
JORGE ALCOCER VARELA," Muchas gracias, señor presidente. Es un gusto estar nuevamente con ustedes. Muy buenos días.",0.7551659970481157,14,14,07,2020
JORGE ALCOCER VARELA,"Como ya dijo el presidente, hoy queremos comunicarles en este día del Pulso de la Salud una muy buena noticia. Gracias al esfuerzo de coordinación, de consenso y de un intenso trabajo entre el Conacyt y sus centros públicos de investigación, junto con instancias del gobierno federal, el sector universitario y el empresarial, se ha logrado construir dos tipos de ventiladores de alta especialidad accesibles a todas y todos, en respuesta a las necesidades más urgentes en este escenario de la pandemia. Todo ello reduciendo gastos y aumentando eficiencia, de este modo fortalecemos nuestra independencia tecnológica y ganamos en soberanía nacional.",0.530088835703208,101,14,07,2020
JORGE ALCOCER VARELA,"Los nombres de los recién nacidos aquí presentes están a la altura de la hazaña tecnológica: Gätsi, ‘suspiro’ en otomí, y Ehécatl 4T o Dios del Viento en náhuatl. La doctora Elena Álvarez-Buylla, directora de Conacyt nos informará de este gran logro.",0.038009660958429475,42,14,07,2020
JORGE ALCOCER VARELA,"Previo a ello tendremos la tradición, sí, la tradición, o sea, la comunicación de noticias del COVID-19 en su entorno nacional en voz de nuestro apreciado Hugo López-Gatell Ramírez, a quien le cedo la palabra.",0.5216674759761013,35,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ," Con su permiso, presidente. Secretario, canciller, directora, muy buenos días; muy buenos días tengan todas y todos ustedes.",0.5362573974475,18,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Seré breve presentando la síntesis del informe técnico que presentamos ayer por la anoche. Siguiendo la instrucción del señor presidente, presentamos detalles de los 32 estados para que la población tenga una panorámica de cómo está ocurriendo la epidemia de COVID-19 en el país.",0.2159221214267304,44,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,Retomo algunos de los conceptos básicos para recordar estos elementos que hemos estado marcando a lo largo de esta epidemia.,0.7679677317253203,20,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Primero, es recordar que esta es una epidemia que afecta a todo el mundo, afecta a toda la humanidad, a toda la especie humana y todos los países del mundo tenemos la epidemia.",0.3106556715065781,33,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Segundo, es que en México tenemos una epidemia que empezó el 28 de febrero con el registro del primer caso y terminará probablemente en octubre el primer ciclo de la epidemia. Hemos dicho una y otra vez, preparémonos para una epidemia larga porque en ese sentido es muy probable que se extienda hasta octubre.",0.21826657111581074,54,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Tercero, es posible que en octubre enfrentemos en el mundo entero, de manera específica en el hemisferio norte, la temporada de influenza. Esta es seguro que va a ocurrir, pero lo que es probable es que el COVID-19 o la COVID-19 pudieran incorporarse también a un nuevo ciclo de transmisión entre octubre y marzo de 2021. Esto no está garantizado que ocurra así, pero es una predicción que crecientemente consideran factible las agencias de salud públicas del mundo.",0.4435344345210354,78,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Lo otro que es importante es que en la comunidad en la que usted vive se presenta COVID a una intensidad y una duración diferente de la que se presenta en otras partes del país. Esto es la información nacional que presentamos aquí, es el resumen de lo que ocurre en el país, pero no hay una sola curva epidémica, un solo ciclo epidémico, sino que van ocurriendo a distinto tiempo.",0.4566514017538707,71,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Pero afortunadamente el conjunto de las curvas epidémicas del país, si las vemos estado por estado, tenemos el punto en donde empiezan a coincidir aquellas que ya van en reducción con aquellas que apenas empiezan y unas que están en la parte intermedia.",0.5032937206627357,43,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Concretamente en la Ciudad de México y en la zona conurbada del Valle de México, los municipios del Estado de México, vemos ya un descenso que ya se ha ampliado por más de tres semanas. Esto es una noticia muy positiva porque es la zona de la mayor intensidad epidémica. Si en la zona de mayor intensidad epidémica empieza a descender la epidemia, desde luego el conjunto de la epidemia en el país también empieza a descender.",0.7701903486655534,77,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"El segundo caso de esta situación es el estado de Sinaloa donde también hay ya un descenso progresivo y sostenido, no de tan larga duración, pero ya sostenido.",0.7069917300580505,28,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,Veamos entonces lo que está ocurriendo a nivel del país. En esta gráfica sintetizamos la información numérica y sobre todo de manera visual usted puede ver la tendencia que tiene la epidemia.,0.33245519686220043,32,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,Estimamos que se han registrado 341 mil 149 casos. Hemos explicado que los casos estimados es la suma de aquellas personas enfermas en quienes ya se ha demostrado la infección por el virus que causa COVID más la mitad de las personas que están esperando el resultado de la prueba.,0.016552147889717157,50,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,¿Por qué decimos la mitad?,0.4484711131734454,5,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Porque semanalmente y para cada estado estimamos qué porcentaje de personas que tienen los síntomas COVID y se les hace la prueba van a resultar positivos y son aproximadamente la mitad, con variaciones entre los distintos estados.",0.3359215514308051,37,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Desafortunadamente han fallecido 37 mil 409 personas, que es en su mayoría personas que han fallecido directamente por las consecuencias del daño que este virus produce y las complicaciones derivadas; ocho de cada 10 personas se recuperan espontáneamente, pero dos de cada 10 pueden presentar una enfermedad importante, una enfermedad suficientemente grave como para amenazar que tengan un desenlace fatal, estas personas son en su mayoría mayores de 60 años de vida, tienen enfermedades crónicas y por eso insistimos, hay que apresurarse a acudir a los hospitales si se tienen estas situaciones.",0.003231878226648782,92,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Vean ustedes, finalmente, en la gráfica la curva verde. La línea verde representa la tendencia semanal de la epidemia y podemos ver que desde la semana 25, en este momento estamos en la semana 29, es decir, en los últimos 15 días habiendo quitado las primeras semanas del mes de julio, todo junio, tuvimos ya esa fase de estabilización.",0.7682605344350915,59,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"La siguiente, por favor.",0.15447348707466632,4,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Esto se puede ver con mayor detalle cuando representamos además que, de todos los casos, todas las personas que se han registrado y confirmado tenemos que el 14 por ciento han enfermado en los últimos 15 días.",0.03215274213821144,37,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,Y es importante distinguir la suma de casos que se van presentando acumulados desde el inicio de la epidemia de aquellos que han enfermado en los últimos 15 días.,0.16944049428554464,29,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,¿Por qué razón?,0.20840012954407608,3,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Porque solamente las personas que enfermaron en los últimos 15 días son las personas que tienen enfermedad activa, representan el impulso de la epidemia. Los demás, quienes enfermaron en febrero, en marzo, en abril, en mayo algunos lamentablemente perdieron la vida, pero quienes no ya no tienen la enfermedad y, de hecho, son parte de las personas que se recuperaron y potencialmente pudieran ser inmunes, resistentes, no volverse a infectar y contribuir a que paren los contagios.",0.004958860116969214,77,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"La mortalidad también tiene una reducción. Vean ustedes, es la línea azul oscuro que está hasta abajo.",0.38450566081906196,17,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Y recordar, también lo hemos dicho repetidamente, tanto en este foro de la mañana como en el informe técnico de la noche, la vigilancia epidemiológica registra una parte de la información para tomar decisiones en tiempo real distinto a la estadística vital que registra por otro tipo de mecanismos.",0.20776471935066604,49,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Y estamos ya en avanzada fase en los procesos de trabajo tanto con el gobierno de la Ciudad de México como con el Inegi, Renapo, el Instituto de Salud Pública, la Organización Mundial de la Salud, para estimar el exceso de mortalidad que esta epidemia pudo haber traído a México. Y es un ejercicio semejante que se hace con una metodología estándar en los demás países del mundo, en todo el mundo ha habido un exceso de mortalidad derivado de esta epidemia y próximamente presentaremos esos resultados.",0.01579290338477236,87,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,Sigamos con las penúltimas diapositivas. Tenemos la velocidad de crecimiento de la epidemia. A algunas personas les ha inquietado dos ideas que parecieran encontradas:,0.35868773977949653,24,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Una, ¿por qué decimos que la epidemia se ha hecho más lenta, que está en una fase de control, cuando vemos que hay más casos día con día?",0.3352612707942538,28,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"No debe sorprender que existan estas dos ideas, las dos son correctas, las dos son ciertas, las dos tienen evidencia documental muy clara.",0.5014237457285367,23,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Por un lado, desde luego que existen más casos cada día, porque todavía estamos en una fase de crecimiento de la epidemia; sin embargo, la epidemia crece más lentamente, eso es la aceleración de la epidemia. Entonces todavía los casos de hoy son menos que los casos de mañana, pero el cambio entre hoy y mañana es cada vez menor. En este momento es 1.4 por ciento, como se puede ver en la diapositiva, tanto para los casos que se confirman como -en la siguiente diapositiva- para las personas que fallecen.",0.10038310969299237,91,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Esto empezó en 26 y 30 por ciento respectivamente, y de esa proporción ya ha llegado a 1.4 por ciento y sigue bajando. Llegará un momento en que sea cero, pero ahí no se acaba la epidemia, ahí lo que empieza es a haber el descenso de la epidemia y después será menos uno, menos dos, menos tres, que quiere decir que los casos del día siguiente son en número menores que los del número anterior.",0.40433298634385234,76,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Veamos ahora la ocupación hospitalaria y con esto terminamos. Hemos hecho un esfuerzo muy grande por suplir las limitaciones, las deficiencias de un sistema de salud que desde hace 30 o 40 años nunca creció a la velocidad que tenía que crecer para cubrir las necesidades de una población, que desde luego siempre aumenta en tamaño, particularmente en las zonas fuera de las grandes ciudades es donde existe y ha existido la mayor carencia de servicios de salud.",0.5271383837502722,78,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Entonces, hicimos una reconversión hospitalaria. Gruesamente, un tercio de los hospitales del país en el sector público han sido reorientados específicamente para la atención de COVID y en general los síndromes respiratorios agudos graves. Teníamos 645 hospitales en la tercera semana de abril, tenemos en este momento más de 915 hospitales destinados a COVID.",0.18305521502483124,54,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"En este momento hemos logrado que no se sobreocupen y que podamos tener en cada entidad federativa una reserva de camas de hospitalización que permitan que las personas se atiendan y que los esfuerzos por protegerles, recuperar su salud y salvar la vida estén oportunamente trabajando.",0.5267284595014597,46,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Desafortunadamente, la epidemia, por supuesto, que es una enfermedad letal, como lo es en todo el mundo, y esto es muy desafortunado, todas y cada una de las personas que pierden la vida es un hecho lamentable, pero lo importante es que se hagan todos los esfuerzos y que la capacidad del Estado esté disponible para darle oportunidad a todas las personas a recibir el manejo médico adecuado.",0.14128644659932793,68,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Cuarenta y cinco por ciento de los hospitales dedicados a COVID están en ocupación -de las camas más correctamente, no los hospitales, sino las camas- y podemos ver en orden de izquierda a derecha las entidades federativas que en este momento tienen la mayor intensidad o proporción de ocupación.",0.3226673968956547,49,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Empezamos con Nuevo León, ya no es Tabasco, Tabasco lo era hasta anteayer, pero los esfuerzos adicionales que hemos hecho por expandir la capacidad hospitalaria en Tabasco han dado resultados.",0.051748809147756196,30,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"En su momento, si Nuevo León solicita el apoyo, también estaremos en apoyo para Nuevo León, como lo hemos estado para cualquier entidad federativa que se acerca al límite de ocupación necesario.",0.2603183048841684,32,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Y terminamos con la última, que es las personas críticamente enfermas. Necesitan un apoyo especial que hoy será comentado con esta excelente noticia sobre el desarrollo científico y tecnológico de México, y ese es el tipo de máquinas que se utilizan para salvar la vida de las personas críticamente enfermas; 39 por ciento de las camas que han sido habilitadas para este propósito están ocupadas, el resto es 61 por ciento y están libres y lo vemos en orden decreciente de las entidades federativas de izquierda a derecha, nuevamente empezando con Nuevo León, sigue Tabasco y luego otras entidades.",0.23922637706861305,99,14,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Esto es todo, presidente.",0.6057504899615687,4,14,07,2020
MARIA ELENA ALVAREZ-BUYLLA ROCES," Con su permiso, señor presidente. Secretario de Salud, secretario de Relaciones Exteriores, querido Hugo López-Gatell, director general del Cidesi.",0.24235754946951338,19,14,07,2020
MARIA ELENA ALVAREZ-BUYLLA ROCES,"Ante los muchos retos de esta enfermedad, de la COVID-19, el presidente de la República nos indicó al Conacyt enfocar esfuerzos prioritarios para poder desarrollar este tipo de equipos de alta especialidad que son claves y estratégicos y que hasta este nuevo régimen México dependía del extranjero, como lo hace en muchos otros aspectos de tecnología estratégica.",0.13558767685565817,57,14,07,2020
MARIA ELENA ALVAREZ-BUYLLA ROCES,"Para lograr esto hicimos una coordinación de sectores del gobierno mexicano muy importantes, también de empresas, del sector académico y el reto es justamente invertir esta relación entre gasto y eficiencia.",0.6522149624609633,31,14,07,2020
MARIA ELENA ALVAREZ-BUYLLA ROCES,"En los regímenes pasados aumentaba el gasto, pero bajaba la eficiencia. En este nuevo régimen de la Cuarta Transformación, a pesar de que no aumenta el gasto, la eficiencia en innovación, el cambio tecnológico de vanguardia está aumentando.",0.03686547849133666,38,14,07,2020
MARIA ELENA ALVAREZ-BUYLLA ROCES,"Articulamos todas las capacidades del Conacyt y también sus centros públicos de investigación, de manera sobresaliente el Cidesi. Le agradezco muchísimo al director general de este centro, el doctor José Pineda, quien nos acompaña aquí amablemente, y también a otros centros públicos de investigación del Conacyt, el Cimav, Comimsa, el CIO, que han participado de manera muy activa para lograr el tener este equipo de alta especialidad, varias instancias del gobierno federal y de manera sobresaliente empresas que estuvieron dispuestas a colaborar ante esta epidemia sin fines de lucro como Dydetec, Safran, Prettl y una universidad pública estatal, la Universidad de Guadalajara.",0.14134227289757942,102,14,07,2020
MARIA ELENA ALVAREZ-BUYLLA ROCES,"Se hizo un comité técnico para asegurar alta especialidad, bioseguridad, etcétera.",0.14448689223016475,11,14,07,2020
MARIA ELENA ALVAREZ-BUYLLA ROCES,"Estos son todos los pasos. Como ustedes ven, hay una cantidad de pasos muy importantes para lograr equipo de alta especialidad tan complejos como estos garantizando la seguridad biomédica, que es imprescindible en el desarrollo de estos equipos. Esto implicó grandes grupos de especialistas, de científicos.",0.8045693549081107,46,14,07,2020
MARIA ELENA ALVAREZ-BUYLLA ROCES,"Son dos ventiladores, son dos modelos. Uno, 100 por ciento del Estado mexicano, con una patente, la primera en este tipo de equipo, de patente estatal, el Ehécatl 4T; el otro, en colaboración con la empresa Dydetec, Gätsi, también un equipo de alta especialidad. Ambos comparten un alto grado de seguridad biomédica, de calidad, de sensores de control, ventilación controlada por presión y volumen, fácil limpieza.",0.32234812779222066,66,14,07,2020
MARIA ELENA ALVAREZ-BUYLLA ROCES,"Uno está basado en un principio isomórfico con el pulmón, basado en el uso de una bolsa ambú, físicamente muy similar a un pulmón; el otro es un ventilador. Ambos son invasivos, ventiladores mecánicos invasivos de mezcla de gases.",0.8047646382569622,39,14,07,2020
MARIA ELENA ALVAREZ-BUYLLA ROCES,"Estos son los costos de inversión. Como ustedes verán, con un costo muchísimo más barato del que hubiera implicado comprar mil ventiladores, que son los que se están ya fabricando masivamente, son 500 y 500 de cada uno de ellos. Hubiera costado mucho más el adquirirlos en el extranjero, inclusive en alguna de las empresas nacionales.",0.18665251727847093,56,14,07,2020
MARIA ELENA ALVAREZ-BUYLLA ROCES,Y esta es la secuencia de maduración tecnológica. Lo más sobresaliente de esto es que logramos en cinco meses lo que generalmente dura o tarda entre tres y cinco años para desarrollarse.,0.9633720491181187,32,14,07,2020
MARIA ELENA ALVAREZ-BUYLLA ROCES,"En resumidas cuentas, la soberanía científica y la independencia tecnológica es la forma de responder de este Gobierno de México, de la Cuarta Transformación, a los retos. En particular, estamos viviendo el nacimiento de una empresa nacional, de una industria nacional para salvar vidas.",0.5258977116565211,44,14,07,2020
MARIA ELENA ALVAREZ-BUYLLA ROCES,Quisiera presentarles un video que detalla y resume para ustedes todo este proceso de innovación tecnológica.,0.4676012813837131,16,14,07,2020
PREGUNTA," En diciembre de 2019 China alertó al mundo sobre la presencia de un nuevo virus en la ciudad de Wuhan. La nueva enfermedad COVID-19 se esparció rápidamente y en marzo de 2020 la Organización Mundial de la Salud declaró la pandemia, y con ello la puesta a prueba de los gobiernos y sus sistemas de salud.",0.19480625599322185,56,14,07,2020
PREGUNTA,"De acuerdo con el doctor Hugo López-Gatell, subsecretario de Prevención y Promoción de la Salud, frente a esta alarmante situación, el Gobierno de México inició los preparativos desde los primeros días de enero.",0.01676343018666564,33,14,07,2020
PREGUNTA,El binomio fundamental para enfrentar la contingencia sanitaria se definió desde el principio: el gobierno y el pueblo de México.,0.5377943640094612,20,14,07,2020
PREGUNTA,"La confianza del pueblo en su gobierno y la puesta en marcha de una acertada estrategia basada en evidencia científica se convirtieron en una auténtica epopeya que logró, al enfrentar la pandemia, que en México la infraestructura sanitaria no fuera desbordada, un objetivo sustancial que por desgracia no pudieron cumplir algunos de los países más ricos de la Tierra.",0.28644836608624835,59,14,07,2020
PREGUNTA,"El primer paso fue fortalecer el resquebrajado sistema de salud. Se incrementaron rápidamente el número de hospitales y de camas hospitalarias, las unidades de cuidados intensivos pasaron de tres mil 552 en enero a 10 mil 360 al 10 de julio de 2020, el personal de salud se incrementó en 47 mil 39 personas.",0.0376641590042263,54,14,07,2020
PREGUNTA,"Desde el primer momento y en coordinación con las autoridades de Salud, las acciones del Conacyt formaron parte del torrente de iniciativas para enfrentar la pandemia.",0.027524249665472997,26,14,07,2020
PREGUNTA,"El presidente Andrés Manuel López Obrador dio la instrucción precisa al Conacyt de priorizar la fabricación de ventiladores en México. Con ese fin, hemos coordinado saberes y esfuerzos en ciencia, tecnología e innovación, de integrantes de los centros públicos de investigación, de instituciones de educación superior y de empresas privadas con ética social y vocación solidaria.",0.16145189559183853,56,14,07,2020
PREGUNTA,"En medio de la pandemia y las dificultades que impuso la escasez de suministros, emprendimos el proceso de diseño, elaboración de prototipos, difícil obtención de partes y componentes, así como pruebas diversas con altos estándares de seguridad biomédica y calidad de ingeniería.",0.5518783057917774,42,14,07,2020
PREGUNTA,"Es un proceso que, en condiciones normales, se lleva de tres a cinco años y pudimos concluirlo en tanto sólo cinco meses.",0.39150385362352624,22,14,07,2020
PREGUNTA,"Es el nacimiento de una industria nacional para salvar vidas, una hazaña de la voluntad del conocimiento y de la cooperación. Tendrían que ser ventiladores mecánicos invasivos, cien por ciento mexicanos, económicos. Ahora podemos producir ventiladores de alta calidad a precios menores que los del mercado.",0.7822414897804153,46,14,07,2020
PREGUNTA,"Esta primera remesa no hubiera sido posible sin la participación del equipo del Conacyt, de las instancias de salud y otras del gobierno federal, de instituciones de educación superior y de empresas sin fines de lucro. A todas y todos expresamos reconocimiento.",0.014003096786193953,42,14,07,2020
PREGUNTA,"De manera especial, nuestro reconocimiento a la Fuerza Aérea Mexicana, que nos apoyó decididamente con el transporte de piezas.",0.8491804530259043,19,14,07,2020
