Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
LUIS CRESENCIO SANDOVAL GONZALEZ," Con permiso, señor presidente. Buenos días.",0.32823650481604266,6,15,07,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"Por favor, si pueden poner la lámina. Aquí vemos en esta lámina que el estado tiene sus 46 municipios y nosotros identificamos a 10 de ellos en los que se tiene casi cuatro millones de habitantes, el 66.82 por ciento, y donde también más adelante vamos a ver que coinciden con los municipios en donde se tiene una presencia delincuencial importante.",0.32823650481604266,61,15,07,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"La incidencia delictiva en el estado. Ustedes pueden observar aquí un narcomenudeo, violación, robo de vehículos, secuestro, robo a casa habitación, robo a transportistas, extorsiones van hacia la baja de conformidad al Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública.",0.32823650481604266,40,15,07,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"También, si tomamos en cuenta la totalidad de delitos están a la baja, tiene el 11 lugar ahorita el estado, pero en homicidios dolosos es el único delito que se registra con un incremento, teniendo el cuarto lugar el estado.",0.32823650481604266,40,15,07,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"Vamos a ver rápidamente las gráficas de estos delitos. Narcomenudeo, aquí vemos el comportamiento, la tendencia, aquí los últimos dos meses está la reducción, una reducción importante que es el resultado del trabajo de las fuerzas de seguridad.",0.32823650481604266,38,15,07,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"Homicidios dolosos también, aunque tiene una tendencia acumulada hacia la alza, aquí hay una estabilización pero, como ya lo cité, es el único delito que tiene el estado con un registro hacia la alza.",0.32823650481604266,34,15,07,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"Robo a casa habitación también se ve una reducción. Aunque en el 2019 hubo un incremento importante, en el 2020 está la tendencia hacia la baja, también resultado de las fuerzas encargadas del orden.",0.32823650481604266,34,15,07,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"El siguiente delito, la violación. También es un delito que se ha ido teniendo altas y bajas, pero se mantiene de alguna manera con una tendencia, aunque ligera, pero hacia la baja.",0.32823650481604266,32,15,07,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"El robo de transportistas también un delito que va buscando o se ve la tendencia hacia la baja, inclusive en este mes de mayo y en marzo pasado no se registró ningún incidente de esta naturaleza.",0.32823650481604266,36,15,07,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"Robo de vehículos también se mantiene constante, también con una ligera tendencia hacia la baja.",0.32823650481604266,15,15,07,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"Extorsiones, aquí la tendencia la podemos observar tomando en cuenta lo acumulado en años anteriores que va al alza, pero si vemos los números, son sumamente reducidos. Aquí nada más en febrero tuvo cuatro eventos, en abril no hubo y ahorita en mayo solamente son dos.",0.32823650481604266,46,15,07,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"Los secuestros, de igual manera, un delito que tiene poca presencia aquí en el estado, en el último mes tenemos solamente uno, en marzo no hubo.",0.32823650481604266,26,15,07,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"Y tomando en cuenta la totalidad de delitos de alto impacto, aquí podemos observar también una tendencia hacia la baja, estos dos últimos meses ha habido una tendencia importante hacia la baja, resultado del trabajo en conjunto que se hace.",0.32823650481604266,40,15,07,2020
LUIS CRESENCIO SANDOVAL GONZALEZ,"Tomando en consideración los homicidios dolosos por entidad federativa desde que inicia la presente administración y hasta el mes de mayo ubicamos al estado como el primer lugar en homicidios dolosos con cuatro mil 422 de ellos; y considerando estos homicidios dolosos por cada 100 mil habitantes, el estado ocupa el quinto lugar con 69.54.",0.32823650481604266,55,15,07,2020
