Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ALEJANDRO MURAT HINOJOSA," Gracias, señor presidente. Sea usted bienvenido a esta, que es su tierra, que es su casa, y siempre es motivo de alegría que usted nos visite.",0.32823650481604266,26,24,07,2020
ALEJANDRO MURAT HINOJOSA,Quiero empezar con un video para que conozcan rápidamente los avances que ha tenido Oaxaca en la mesa de seguridad de manera coordinada con el gobierno federal y los gobiernos municipales en el combate a la delincuencia organizada.,0.32823650481604266,38,24,07,2020
ALEJANDRO MURAT HINOJOSA," Gracias, señor presidente.",0.32823650481604266,3,24,07,2020
ALEJANDRO MURAT HINOJOSA,Recalcarle a los medios de comunicación tres indicadores fundamentales:,0.32823650481604266,9,24,07,2020
ALEJANDRO MURAT HINOJOSA,"Primero, en todos los indicadores que evalúa el secretariado, comparativamente con el año pasado, hay una disminución, en total es el 14 por ciento.",0.32823650481604266,24,24,07,2020
ALEJANDRO MURAT HINOJOSA,"En la cuenca, que era la región de más alto índice delictivo en conjunto con el gobierno de Veracruz, a través del operativo Oaxaca-Veracruz redujimos en el estado de Oaxaca el 30 por ciento en la parte de los delitos de alto impacto.",0.32823650481604266,43,24,07,2020
ALEJANDRO MURAT HINOJOSA,"Y solamente concluir, señor presidente, si me permite, hacer una reflexión rápida. La coordinación funciona, el federalismo funciona y hay que señalar que el día de hoy, 24 de julio, marca un parteaguas para la historia de Oaxaca, el antes y el después, porque esta gira, señor presidente, de supervisión marca tres proyectos estructurales que cambiarán para siempre el rostro de Oaxaca y del sureste: el proyecto interoceánico y las dos autopistas.",0.32823650481604266,72,24,07,2020
ALEJANDRO MURAT HINOJOSA,"Por eso, hay que hacer una pausa y reflexionar sobre las bondades del federalismo y su pacto fiscal.",0.32823650481604266,18,24,07,2020
ALEJANDRO MURAT HINOJOSA,"Habría que recordar por qué en los 70 llegó el gas al norte del país, en específico a Nuevo León, cómo en el 94 se firmó el Tratado de Libre Comercio y permitió arrancar unas rachas de crecimiento más importantes de crecimiento sostenido en el norte del país, después se creó el fideicomiso del bajío en el 90, llegó el gas, la industria automotriz, la agroindustria y la industria aeronáutica.",0.32823650481604266,70,24,07,2020
ALEJANDRO MURAT HINOJOSA,"Por eso hoy en Oaxaca reconocemos, señor presidente, su compromiso con el sureste y que se empiece a subsanar con su mano esa deuda histórica que se tenía con Oaxaca y el sureste mexicano. Por eso, desde Oaxaca convocamos a la unidad en donde se piense en las futuras generaciones y no en las futuras elecciones.",0.32823650481604266,56,24,07,2020
ALEJANDRO MURAT HINOJOSA,"Aquí cerramos filas con usted, señor presidente, porque la patria la construimos todas y todos, y no queremos que nadie se quede atrás. Debe de haber crecimiento, sí, pero con igualdad, así como lo vemos hoy en todas estas obras en donde hay proyectos estructurales, pero también proyectos de beneficio municipal y social, como las carreteras a las cabeceras municipales.",0.32823650481604266,60,24,07,2020
ALEJANDRO MURAT HINOJOSA,"Queremos crear, construir y crecer de la mano del gobierno federal, estatal y municipal.",0.32823650481604266,14,24,07,2020
ALEJANDRO MURAT HINOJOSA,"Sea usted bienvenido, señor presidente, a Oaxaca. Esta es su tierra, esta es su casa.",0.32823650481604266,15,24,07,2020
ALEJANDRO MURAT HINOJOSA,Muchas gracias.,0.32823650481604266,2,24,07,2020
ALEJANDRO MURAT HINOJOSA, Cincuenta y uno.,0.32823650481604266,3,24,07,2020
