Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
HUGO LOPEZ-GATELL RAMIREZ," Con su permiso, presidente. Buen día.",0.32823650481604266,6,28,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Secretario, canciller, coordinador general, colegas de la Fundación Teletón, Fernando, buenos días.",0.32823650481604266,12,28,07,2020
HUGO LOPEZ-GATELL RAMIREZ,Muy buenos días tengan todas y todos ustedes.,0.32823650481604266,8,28,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Vamos a enfocarnos al informe técnico con la actualización más reciente que presentamos ayer por la tarde y, como solemos hacer aquí en el Pulso de la Salud, vamos a identificar algunos de los temas de mayor importancia sobre lo que está ocurriendo con la epidemia.",0.32823650481604266,46,28,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Y también vamos a comentar sobre uno de los elementos que ya está destacando el secretario de Salud, que es el tema de la mortalidad, qué la explica, por qué ha ocurrido y cuáles son los elementos de acción que se necesitan emprender para, más allá de COVID, tener un abordaje importante de estas causas, causa-raíz.",0.32823650481604266,56,28,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Aquí tenemos la síntesis en una gráfica en forma visual que destacábamos en los días recientes. En esta gráfica se muestran los casos confirmados en color ocre, los casos sospechosos en color amarillo. Recordar que estos casos sospechosos son personas que tienen la enfermedad, que tienen los síntomas de la enfermedad, se les ha tomado una muestra para diagnóstico por laboratorio y durante algunos días se está en espera de ese resultado de laboratorio.",0.32823650481604266,74,28,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Y, finalmente, en el color morado aquellas personas que, teniendo la enfermedad, fueron notificadas, identificadas, se les tomó la muestra, pero el resultado de laboratorio dio negativo y son aproximadamente la mitad de quienes se detectan con enfermedad.",0.32823650481604266,38,28,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"Una de las señales importantes a destacar en esta diapositiva es que por dos semanas consecutivas, la semana 28 y la 29, se ha tenido una disminución de la cantidad de casos que se registran al día. Esto ya es una tendencia razonablemente consistente, tenemos 20 entidades federativas que todavía tienen incremento en el número diario de casos, pero hay 12 que ya tienen una disminución progresiva y las hemos ido comentando.",0.32823650481604266,72,28,07,2020
HUGO LOPEZ-GATELL RAMIREZ,Hemos acumulado 44 mil 22 personas que lamentablemente han perdido la vida y se han registrado 395 mil personas que se han confirmado.,0.32823650481604266,23,28,07,2020
HUGO LOPEZ-GATELL RAMIREZ,"En la siguiente diapositiva vemos la estimación. Recordamos que la estimación es un mecanismo para anticiparnos al acontecer epidémico. Dado que las personas que presentan la enfermedad sabemos qué porcentaje semana por semana y estado por estado van a ser probablemente confirmados, por eso podemos saber que tenemos 435 mil 862 personas que se estima tienen la enfermedad COVID de las personas que se vigilan por el sistema de vigilancia; pero como se puede ver también en la curva de hasta arriba, la línea de color azul claro, ya dos semanas consecutivas los casos estimados también muestran reducción.",0.32823650481604266,98,28,07,2020
