Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
OLGA SANCHEZ CORDERO," Gracias, presidente, muchas gracias. Muy buenos días a todas, a todos ustedes.",0.32823650481604266,12,29,07,2020
OLGA SANCHEZ CORDERO,"Atendiendo a las indicaciones del presidente Andrés Manuel López Obrador, esta mañana estamos aquí para presentarles algunas de las acciones que estamos realizando de forma sistemática con la finalidad de fortalecer la Estrategia Nacional de Protección Integral para las Mujeres, las Niñas y las Adolescentes que viven violencias.",0.32823650481604266,48,29,07,2020
OLGA SANCHEZ CORDERO,"Como he reiterado desde mi llegada a este cargo al cual el señor presidente de México me invitó y me siento muy honrada, mi compromiso como mujer y como secretaria de Gobernación es reforzar los trabajos para prevenir, atender, sancionar y, a la postre, erradicar las violencias contra las mujeres, y hablo de violencias en plural.",0.32823650481604266,56,29,07,2020
OLGA SANCHEZ CORDERO,"Porque entendemos a la Cuarta Transformación como reparadora de los daños causados por 30 años de políticas neoliberales, reflejados, por ejemplo, en la advertencia que hace el Inegi al afirmar que las violencias contra las mujeres de todas las edades ponen en riesgo las expectativas de desarrollo y bienestar del país.",0.32823650481604266,51,29,07,2020
OLGA SANCHEZ CORDERO,"Por eso, nuestras acciones y programas prioritarios están enfocados a la construcción de una sociedad que nos permita fortalecer nuestros vínculos comunitarios para vivir sin miedo, sin violencias, para concebirnos como una comunidad en donde prevalece la memoria, la justicia, los valores colectivos, como es el respeto a la diversidad, a la igualdad, al bienestar, a la educación laica y no sexista, a la interculturalidad, a la dignidad, en síntesis, como ha dicho nuestro presidente, a la búsqueda de la felicidad.",0.32823650481604266,81,29,07,2020
OLGA SANCHEZ CORDERO,"En este sentido desde principios del 2019 convoqué a la formación de un grupo impulsor de la Estrategia Nacional de Protección Integral para las Mujeres. Este año, ante la situación de salud que enfrentamos, el grupo se amplió considerablemente y es ahora un grupo intersecretarial para implementar dicha estrategia, por sus siglas lo hemos denominado GIEV, Grupo Intersecretarial para Impulsar la Estrategia.",0.32823650481604266,62,29,07,2020
OLGA SANCHEZ CORDERO,"A petición de este grupo, el Consejo de Salubridad General incluyó, como ustedes bien saben, como actividades esenciales desde el primer momento, aquellas que brindan servicios de protección integral para las mujeres que viven violencia, se publicó el 21 de marzo del año en curso.",0.32823650481604266,45,29,07,2020
OLGA SANCHEZ CORDERO,"El GIEV está conformado por servidoras y servidores públicos que trabajan sin pausa, con la conciencia y el sentido de urgencia para que el Estado mexicano garantice los derechos de todas las personas, sobre todo de aquellos grupos vulnerados por la pobreza, la injusticia y la discriminación.",0.32823650481604266,47,29,07,2020
OLGA SANCHEZ CORDERO,"La información que les traemos es fruto de la construcción colectiva constante de nosotras, de nosotros, de las mujeres de organizaciones civiles también y colectivas, que buscan justicia y un México más equitativo, capaz de generar bienestar y felicidad para todas y para todos.",0.32823650481604266,44,29,07,2020
OLGA SANCHEZ CORDERO,"El COVID-19 nos ha presentado desafíos y hallazgos importantes, con ellos hemos trabajado para mantener la exigencia de mejora continua de los servicios, acciones y programas para las niñas, las adolescentes, las jóvenes y las adultas mayores que enfrentan violencias por el hecho de ser mujeres.",0.32823650481604266,46,29,07,2020
OLGA SANCHEZ CORDERO,"Uno de los hallazgos de este trabajo coordinado es la confirmación de que la mayoría de las instancias de las mujeres en los municipios y en las entidades federativas, asumiendo sus responsabilidades y atribuciones, trabajan desde todos estos ámbitos para proteger los derechos de todas.",0.32823650481604266,45,29,07,2020
OLGA SANCHEZ CORDERO,"Algunas han implementado programas innovadores y exitosos, y quiero de verdad hacer este reconocimiento a estas instancias municipales y estatales de mujeres que atienden estas violencias de una sociedad desigual en la que ha prevalecido el abuso, la simulación y la deshonestidad, han sido innovadores y han sido exitosos para proteger y atender a estas poblaciones que han sido vulneradas por las violencias.",0.32823650481604266,63,29,07,2020
OLGA SANCHEZ CORDERO,"Desde el Instituto Nacional de Desarrollo Social, el Indesol, instancia de la Secretaría de Bienestar, hemos reforzado los servicios de protección y seguridad y atención sicosocial a la salud y una atención jurídica también. Está en la dispositiva cuatro, por favor.",0.32823650481604266,41,29,07,2020
