Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
MARCELO EBRARD CASAUBON," Buenos días. Con su permiso, señor presidente. Señores secretarios, señor director general del Instituto Mexicano del Seguro Social, amigas, amigos.",0.32823650481604266,20,11,08,2020
MARCELO EBRARD CASAUBON,Presentar el reporte de cuáles son los avances en las tareas a cargo de la Secretaría de Relaciones Exteriores relativas al COVID-19.,0.32823650481604266,22,11,08,2020
MARCELO EBRARD CASAUBON,Son dos las encomiendas primordiales en este momento que nos ha dado el señor presidente de la República:,0.32823650481604266,18,11,08,2020
MARCELO EBRARD CASAUBON,"La primera es facilitar participar en los esfuerzos internacionales, sean éstos de gobiernos, empresas o instancias multilaterales con el propósito de asegurar que México pueda tener acceso en tiempo y forma a tratamientos y, especialmente, a la posible vacuna, o ansiada vacuna, como bien decía el doctor Alcocer, que nos permita hacer frente al COVID-19.",0.32823650481604266,55,11,08,2020
MARCELO EBRARD CASAUBON,"Y la segunda, que es la protección de las y los mexicanos en el exterior.",0.32823650481604266,15,11,08,2020
MARCELO EBRARD CASAUBON,"Respecto al tema de la vacuna, les puedo informar el día de hoy buenas noticias, que tenemos entendimiento con tres empresas distintas, una de Estados Unidos y dos de China. Se llama ‘entendimiento’ porque es un memorándum de entendimiento.",0.32823650481604266,39,11,08,2020
MARCELO EBRARD CASAUBON,¿Qué va a suceder con esos memorándums de entendimiento?,0.32823650481604266,9,11,08,2020
MARCELO EBRARD CASAUBON,"El objetivo es que en México se lleven a cabo lo que se denomina la fase 3 del protocolo clínico de cada una de estas vacunas o posibles vacunas. Esto se lleva a cabo conforme a las normas de la Secretaría de Salud y de Cofepris, y nuestra tarea es buscar que se den estos entendimientos y que México entonces se puedan llevar a cabo en su caso estos ensayos clínicos y se garantice el acceso a la vacuna correspondiente.",0.32823650481604266,80,11,08,2020
MARCELO EBRARD CASAUBON,"Es el caso de Janssen Pharmaceutica, como ya dije de Estados Unidos; es el caso de CanSino Biologics, China; y es el caso de Walvax Biotechnology, también de China. Con eso tendríamos entre septiembre y enero cuatro protocolos clínicos fase 3 en México.",0.32823650481604266,43,11,08,2020
MARCELO EBRARD CASAUBON,"Desde luego que les informo que estamos trabajando, también por indicaciones de la Secretaría de Salud, con 15 diferentes empresas y ya una vez que se lleguen a estos entendimientos, la Secretaría de Salud y Cofepris, de acuerdo a sus facultades determinarán cómo se va a aplicar, en qué momento, con qué pruebas, etcétera.",0.32823650481604266,54,11,08,2020
MARCELO EBRARD CASAUBON,"Nuestra tarea es ubicar, dialogar, sean gobiernos, sean empresas, sean organismos multilaterales y que México esté incluido, que México tenga acceso a tiempo, esa es la tarea.",0.32823650481604266,27,11,08,2020
MARCELO EBRARD CASAUBON,"Entonces, llevamos… Estos tres son muy buenas noticias porque son tres protocolos fase 3 de proyectos muy avanzados, que es lo que le preocupa al presidente López Obrador que lo tengamos a tiempo.",0.32823650481604266,33,11,08,2020
