Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA," Buenos días a todas y a todos. Lizbeth Álvarez, del Diario Basta y Grupo Cantón.",0.32823650481604266,15,13,08,2020
PREGUNTA,"Pues varias preguntas. La primera: ¿la vacuna nos pondrá a salvo de este tipo de brotes y pandemias en el futuro?, ¿qué tipo de tecnología se está utilizando?, ¿qué problemas se podrían encontrar en el camino quizá por ser una vacuna que se está haciendo en tiempo récord?, ¿quiénes serán las primeras personas en tener acceso a ella? Ese sería mi primer cuestionamiento.",0.32823650481604266,63,13,08,2020
PREGUNTA," Subsecretario, la segunda pregunta.",0.32823650481604266,4,13,08,2020
PREGUNTA,"En una entrevista que le hicimos en exclusiva Grupo Cantón y Diario Basta, usted mencionaba que era difícil que se desarrollara una vacuna durante el primer ciclo de la pandemia y mencionaba que llegaría en al menos dos años. Saber su opinión ahora.",0.32823650481604266,43,13,08,2020
PREGUNTA," Gracias, presidente. Buenos días.",0.32823650481604266,4,13,08,2020
PREGUNTA,Yo tengo varias preguntas también sobre el tema de la vacuna.,0.32823650481604266,11,13,08,2020
PREGUNTA,"La primera es si aparte de la Cofrepis alguna otra autoridad, no sé, internacional, va a aprobar esta vacuna o la fase 3 de la vacuna.",0.32823650481604266,26,13,08,2020
PREGUNTA,"Dos, ¿qué criterio se va a seguir para distribuir la vacuna a los países en América Latina? y si va a participar la ONU a raíz de la resolución que impulsó el Gobierno de México.",0.32823650481604266,35,13,08,2020
PREGUNTA,"Tres, si además de AstraZeneca hay alguna otra empresa extranjera que quiera producir vacuna aquí en México.",0.32823650481604266,17,13,08,2020
PREGUNTA,Y en ese sentido preguntarle al canciller si ha habido avances en la Operación Warp Speed con el vicepresidente de Estados Unidos.,0.32823650481604266,22,13,08,2020
PREGUNTA, Los médicos.,0.32823650481604266,2,13,08,2020
PREGUNTA, También tenía la duda de cómo se va a hacer la distribución a los países de América Latina.,0.32823650481604266,18,13,08,2020
PREGUNTA, Sobre otras empresas y la operación Ward Speed.,0.32823650481604266,8,13,08,2020
PREGUNTA, Gracias.,0.32823650481604266,1,13,08,2020
PREGUNTA,"Presidente, si me permite sobre otro tema, nada más rapidísimo, preguntarle…",0.32823650481604266,11,13,08,2020
PREGUNTA, Su opinión sobre el golpe al líder sindical de Libertad.,0.32823650481604266,10,13,08,2020
PREGUNTA," Gracias, presidente. Marco Antonio Olvera, del diario digital Bajo Palabra y del Canal de YouTube, Marco Olvera Oficial.",0.32823650481604266,18,13,08,2020
PREGUNTA,"Señor canciller, secretario de Salud, Hugo López-Gatell, subsecretario y señores aquí presentes.",0.32823650481604266,12,13,08,2020
PREGUNTA,"Presidente, con este anuncio sin duda el comportamiento de la economía mexicana y el de la sociedad en general va a cambiar. Aunque no tengamos la vacuna en la mano, obviamente debemos seguirnos cuidando con las instrucciones médicas que ya ha dado la Secretaría de Salud.",0.32823650481604266,46,13,08,2020
PREGUNTA,Quisiera que me diera el corte de caja de su gobierno de los pros y los contras que nos dejó el COVID-19.,0.32823650481604266,22,13,08,2020
PREGUNTA,"Inglaterra está viviendo una de las peores crisis económicas después de que se vivió el COVID-19, en México hemos aprendido que debemos de cuidarnos, que debemos alimentarnos y no solamente comer, también se han perdido cientos de empleos y lo más drástico es que cientos de mexicanos o miles de mexicanos perdieron la batalla contra el COVID-19.",0.32823650481604266,57,13,08,2020
PREGUNTA,"Yo quisiera que me diera un corte de caja de su gobierno después de este anuncio porque, reitero, sin temor a equivocarme, que el comportamiento de la economía mexicana y de la sociedad en general va a cambiar sin duda.",0.32823650481604266,40,13,08,2020
PREGUNTA," Y una pregunta para el señor canciller, si me lo permite.",0.32823650481604266,11,13,08,2020
PREGUNTA,"Siempre estaré poniendo los temas de los migrantes aquí en la mañanera. ¿Qué va a pasar con los migrantes que están en los Estados Unidos y en otras partes del mundo?, sobre todo en Estados Unidos, hay 35 millones de migrantes.",0.32823650481604266,41,13,08,2020
PREGUNTA,"¿Cómo se les va a distribuir la vacuna o cuál será el trabajo bilateral con el gobierno de los Estados Unidos para que llegue esa vacuna a los migrantes? porque, como usted sabe y muchos sabemos, muchos de ellos no tienen acceso a los servicios médicos.",0.32823650481604266,46,13,08,2020
PREGUNTA," Buenos días, señor presidente. Verenice Téllez, del diario nacional UnomásUno.",0.32823650481604266,10,13,08,2020
PREGUNTA,"Mi pregunta es: ¿cuál es la intervención o la participación que tiene la Fundación Slim en el tema de la vacuna?, ya que se ha mencionado que es sin fines de lucro y, bueno, pues se entiende que va a amortiguar el costo de la vacuna en este sentido.",0.32823650481604266,49,13,08,2020
PREGUNTA,"Y también si considera que a través de esta iniciativa mexicana que se ha dado con estas empresas, se va a evitar la especulación de otros países que ya también han anunciado que tienen vacuna.",0.32823650481604266,35,13,08,2020
PREGUNTA, Esto reduce los costos.,0.32823650481604266,4,13,08,2020
PREGUNTA," Muy buenos días, señor presidente. Miguel Arzate, del Sistema Público de Radiodifusión, el SPR Canal 14.",0.32823650481604266,16,13,08,2020
PREGUNTA,"Aprovechando la presencia del canciller, ya nos ha expresado que México está participando en otros protocolos con otros países para obtener una vacuna. Si nos pudiera platicar cómo van estos otros tres protocolos en los que México está participando.",0.32823650481604266,39,13,08,2020
PREGUNTA,"Otra pregunta sería: siendo positivo, pensando en que la vacuna de la que se está hablando el día de hoy llegara a las fases clínicas a finales de este año y el primer trimestre del próximo año se tenga ya tal vez el primer lote con esta vacuna, ¿cómo sería la distribución en México?, ¿quiénes tendrían prioridad?, ¿hospitales públicos?, ¿qué regiones?, ¿qué farmacias tendrían acceso a esta vacuna?",0.32823650481604266,68,13,08,2020
PREGUNTA,"Esas preguntas en primer momento, señor presidente, por favor.",0.32823650481604266,9,13,08,2020
PREGUNTA," La distribución, ¿cómo sería?",0.32823650481604266,4,13,08,2020
PREGUNTA," Doctor y una última. Ha levantado mucha expectativa el anuncio que se hizo el martes pasado respecto que el presidente de Rusia, Vladimir Putin, anunció que ya tenía el registro de la primera vacuna en el mundo.",0.32823650481604266,37,13,08,2020
PREGUNTA,"La pregunta sería si México ha tenido contacto con el gobierno ruso respecto a este anuncio, si México está interesado en esta vacuna.",0.32823650481604266,23,13,08,2020
PREGUNTA,"Y conocer también su opinión, doctor López-Gatell. Nos acaba de decir hace un momento que no existe ninguna vacuna e incluso algunos medios que publican información médica serios han puesto en duda las pruebas clínicas sobre esta vacuna.",0.32823650481604266,38,13,08,2020
PREGUNTA,"¿Qué nos puede comentar al respecto de esta vacuna rusa?, y si México tiene contacto con el gobierno ruso para traer esta vacuna o utilizarla aquí en México.",0.32823650481604266,28,13,08,2020
PREGUNTA," Gracias, buenos días. Buenos días, presidente; buenos días a todos.",0.32823650481604266,10,13,08,2020
PREGUNTA,"A mí me gustaría que me quedará un poco más claro. ¿Cuánto en promedio va a costar cada vacuna? Entiendo la parte de gratuita y de acceso universal. ¿Cuánto costará cada vacuna, cada dosis?",0.32823650481604266,34,13,08,2020
PREGUNTA,"Y hasta este momento los costos económicos que ha implicado este proyecto y si en fase 2, fase 3, este proyecto de vacuna se ha aplicado a mexicanos. Entiendo que la representante de AstraZeneca mencionó algunos países, algunas nacionalidades, pero no escuché a los mexicanos. Me gustaría saber si se va a aplicar, por favor.",0.32823650481604266,55,13,08,2020
PREGUNTA, El rango.,0.32823650481604266,2,13,08,2020
PREGUNTA, Si se va a probar en mexicanos.,0.32823650481604266,7,13,08,2020
PREGUNTA," Y ya nada más, rápidamente para el canciller, además de México y Argentina ¿qué otros países han manifestado su intención justamente de participar en este proyecto?",0.32823650481604266,26,13,08,2020
PREGUNTA, ¿De América Latina quiénes han manifestado esa intención?,0.32823650481604266,8,13,08,2020
PREGUNTA, Qué amable.,0.32823650481604266,2,13,08,2020
PREGUNTA," Y, presidente, yo sé que no me va a contestar de otro tema, pero se la dejo para mañana.",0.32823650481604266,19,13,08,2020
