Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días.,0.32823650481604266,2,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"El día de hoy vamos a informar sobre la nueva vacuna, la posibilidad de tener esta vacuna para enfrentar el COVID-19. Es una muy buena noticia para el pueblo de México. Se les va a dar a conocer que ya existe este proyecto para tener la vacuna contra el COVID, contra la pandemia, lo que significa tranquilidad y salud.",0.32823650481604266,59,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Es realmente algo excepcional que nos va a ayudar mucho a que se mantenga la esperanza, a que se acabe la incertidumbre, que ya tengamos en el horizonte la posibilidad de una vida mejor, sana, en lo que corresponde a esta pandemia, que tanta tristeza, tanta desgracia, tanto dolor ha traído en México y en el mundo.",0.32823650481604266,57,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Los pormenores, los detalles sobre cómo se va a tener esta vacuna los van a explicar aquí Marcelo Ebrard, secretario de Relaciones Exteriores, que estuvo muy pendiente del desarrollo de todas las investigaciones que se están haciendo para tener esta vacuna, desde luego, con el respaldo médico, científico, del doctor Jorge Alcocer, del doctor Hugo López-Gatell; y hemos contado también, y esto es muy importante, con el apoyo de la fundación que preside Carlos Slim, ya van a explicarles por qué una fundación participa.",0.32823650481604266,84,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"También agradecer al laboratorio y la Universidad de Oxford, que han confiado en México. Es la suma de voluntades, es la investigación que se llevó a cabo, que está en proceso, de una empresa especializada con un centro de investigación serio, la Fundación Slim y, en el caso de América latina, los gobiernos de Argentina y de México.",0.32823650481604266,58,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero bueno, vamos a que Marcelo Ebrard conduzca, nos dé la palabra a quienes van a intervenir, que dé la palabra a quienes van a exponer y al final las preguntas de ustedes.",0.32823650481604266,33,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, Marcelo.",0.32823650481604266,2,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Bueno, si les parece, abrimos sobre el tema.",0.32823650481604266,8,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Bueno, yo creo que vamos a pedirle a Hugo que él responda.",0.32823650481604266,12,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Yo sólo quiero decir que esta es una muy buena noticia, pero todavía nos va a llevar algún tiempo. Se están acortando los procesos, se está haciendo en poco tiempo y de manera muy profesional, está garantizada la calidad, pero se está pensando tener ya resultados finales en noviembre, como aquí se mencionó, y empezar la fabricación para disponer de la vacuna a partir del primer trimestre del año próximo.",0.32823650481604266,70,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Hablo de estos tiempos porque todavía desgraciadamente vamos a seguir padeciendo de la pandemia y necesitamos seguirnos cuidando. Esto es muy importante.,0.32823650481604266,22,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Claro, no es lo mismo cuidarnos y cuidarnos sin una esperanza de tener una vacuna, a ahora que nos tenemos que seguir cuidando y va a haber posteriormente una vacuna.",0.32823650481604266,30,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"También, cuando nos vacunemos, todos vamos a seguir cuidándonos. Ya hemos aprendido la importancia de la higiene personal y sobre todo de la importancia que tiene la alimentación sana, el no comer productos chatarra, el no subir de peso, el cuidarnos de enfermedades como la hipertensión, la diabetes, la obesidad, todo esto que es parte ya de la Nueva Normalidad la nueva realidad, todo lo que tenemos que recoger como enseñanza de esta etapa de sufrimiento, de padecimiento, recoger estas lecciones. Entonces pensar en eso, que ya falta poco, pero no dejar de cuidarnos.",0.32823650481604266,94,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y a ver, que Hugo nos explique más.",0.32823650481604266,8,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Tenemos este acuerdo. Desde la visita que hicimos a Washington, el encuentro con el presidente Trump, se platicó con Carlos Slim sobre esta posibilidad. Él me comentó, me pidió mi punto de vista y dije que nosotros apoyábamos esta iniciativa como se estaba haciendo ya en otros casos.",0.32823650481604266,48,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"México está inscrito en varios procesos de investigación para tener la vacuna, fuimos precursores. Desde que nos reunimos con los jefes de Estado del G-20, México propuso que tenía que procurarse medicamentos para todos los pueblos sin especulación financiera, sin acaparamiento, poniendo por delante la salud pública.",0.32823650481604266,47,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Luego, como ya aquí se dijo, México presentó un acuerdo, un punto de acuerdo en Naciones Unidas. Se aprobó, por unanimidad prácticamente, en ese sentido, que no se especulara y que Naciones Unidas interviniera para que todos los pueblos del mundo tuvieran acceso a medicamentos y a la vacuna. Por eso estamos a la vanguardia de este proceso.",0.32823650481604266,58,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Hace como cuatro días me informó Marcelo Ebrard que ya estaba muy cercana la posibilidad de este acuerdo y que nos consultaba la Fundación Slim sobre nuestro punto de vista, porque hay una aportación -no me corresponde a mí mencionar de qué monto- de la fundación, porque no puede intervenir gobiernos, dado de que no tiene fines de lucro todo el proceso de descubrimiento de esta vacuna; entonces, que iban a participar la Fundación Slim, lo que implicaba destinar fondos, pero que querían primero conocer nuestro punto de vista como gobierno.",0.32823650481604266,91,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ya sabíamos nosotros que esta vacuna en proceso era de las más avanzadas, de las que estaban destacando más en el mundo, esto dicho por los científicos, por los técnicos, el reporte diario que se le ha dado a este caso; de modo que a través de Marcelo Ebrard le informamos al ingeniero Slim que nosotros estábamos de acuerdo, esto fue hace cuatro días.",0.32823650481604266,64,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y ayer ya se da a conocer en Argentina. Me buscó el presidente de Argentina, Alberto Fernández, para informarme que ya ellos habían firmado el acuerdo y que les daba mucho gusto porque intervenía México y la Fundación Slim; o sea, yo me enteré de este acuerdo alrededor de las 4:00 de la tarde de ayer.",0.32823650481604266,56,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"No pude hablar a esa hora con él, tenía yo otras ocupaciones y hablamos exactamente a las 7:00 de la noche, y ya después me puse de acuerdo con Marcelo, hubo una comunicación por escrito con el ingeniero Slim y ya se acordó informar al pueblo el día de hoy.",0.32823650481604266,50,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"La vacuna, una vez que esté autorizada… Cofepris tiene que dar la autorización, desde luego Cofepris ha estado atento y está convencido de que es la mejor opción, hasta ahora es la vacuna que tiene más posibilidades de éxito.",0.32823650481604266,39,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"No tendría Cofepris ningún problema para la autorización. Si hace falta una autorización de un organismo mundial, pues también. Es realmente algo muy serio, tanto por el centro de investigaciones, la Universidad de Oxford como por los laboratorios.",0.32823650481604266,38,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y desde el principio se habló de que no había fines de lucro. El costo tiene que ver con los insumos, con la elaboración, pero no es una empresa que vaya a lucrar con la vacuna, por eso el costo es mínimo.",0.32823650481604266,42,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Yo hablé aquí hace unos días de que nosotros teníamos una reserva de recursos para adquirir la vacuna y hablé de tres montos, hablé de 100 mil millones, de 50 mil millones y de 25 mil millones de pesos. Bueno, este acuerdo va a significar una cantidad menor a los 25 mil millones, esto para que tengan derecho a la vacuna todos los mexicanos, todos.",0.32823650481604266,65,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Se dice universal, pero a veces no se entiende qué significa el término, el concepto universal; entonces, cuando se dice universal es para todos y nosotros tenemos que cumplir lo que establece el artículo 4º de la Constitución, el derecho del pueblo a la salud y es atención médica, medicamentos y vacunas gratuitas para que esto quede completamente claro.",0.32823650481604266,59,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"En otras partes, en otros países puede ser que se decida cobrar o seleccionar a quién se vacuna y a quién no; nosotros, para que no haya ninguna duda y también para darle garantías a todo nuestro pueblo, van a tener todos los mexicanos acceso a la vacuna.",0.32823650481604266,48,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y no debe de haber preocupación por la gente pobre, tiene garantizada la vacuna la gente más humilde, la gente más pobre, y no se va a quedar al final, ya sabemos que, por el bien de todos, primero los pobres y los enfermos, los adultos mayores.",0.32823650481604266,47,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Los médicos y las enfermeras, pero todos, todos. Eso es lo que puedo yo contestarte.",0.32823650481604266,15,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Esto ustedes pueden…,0.32823650481604266,3,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Pero ya no hay otro tema ahora, hoy es vacuna.",0.32823650481604266,10,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," No, no, no. Vacuna, vacuna, vacuna. Va a haber bateo el día de hoy. El tema.",0.32823650481604266,16,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Así, ve, mira, con disculpa, pero es que es muy importante, vamos a lo de la vacuna.",0.32823650481604266,17,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sí, esto viene a reforzar nuestro plan de reactivación de la economía para la recuperación de los empleos, de toda la actividad productiva del país y del bienestar del pueblo, porque hemos estado cuidando las dos cosas:",0.32823650481604266,37,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"La salud pública, que es lo fundamental, la protección a la vida de las personas, eso es lo más importante de todo.",0.32823650481604266,22,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y al mismo tiempo que no se nos afectara tanto la economía, que no se nos derrumbara tanto la economía, porque la pandemia precipitó la crisis económica mundial, todos los países están afectados económicamente.",0.32823650481604266,34,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Nosotros, así como decidimos aplicar una estrategia para para proteger nuestra economía, para cuidar empleos, para evitar el empobrecimiento de la gente, el que no faltaran los alimentos, el que no se desatara la carestía, el que no se padeciera de hambre y que lo más pronto posible nos levantáramos, bueno, con esto ya sabemos que hay salida, hay una luz que indica que vamos saliendo del túnel en que nos encontrábamos.",0.32823650481604266,72,13,08,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y la estrategia que hemos seguido ha dado resultado, es mexicana, que esa sí la podemos ya patentar, consistió básicamente en atender a los de abajo frente a la crisis, rescatar a los de abajo, contrario a lo que se hacía, de inyectar fondos arriba en la cúpula, en lo alto de la pirámide poblacional buscando que permearan los recursos y llegara a los de abajo; nosotros ahora lo hicimos de otra manera, impulsando básicamente el consumo, que no le faltaran ingresos a la gente.",0.32823650481604266,85,13,08,2020
