Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
FRANCISCO DOMINGUEZ SERVIEN," Licenciado Andrés Manuel López Obrador, presidente de los Estados Unidos Mexicanos; doctor Alfonso Durazo Montaño, secretario de Seguridad Ciudadana y Protección Ciudadana; general Luis Cresencio Sandoval González, general secretario de la Defensa Nacional; almirante José Rafael Ojeda Durán, secretario de Marina; comisario general Luis Rodríguez Bucio, comandante de la Guardia Nacional; maestro Luis Bernardo Nava Guerrero, presidente municipal de Querétaro; a todos los integrantes del gabinete federal y del gabinete de seguridad estatal.",0.32823650481604266,73,19,08,2020
FRANCISCO DOMINGUEZ SERVIEN,"Doy, a todas y a todos, la bienvenida a esta conferencia. Es, como siempre para su servidor, así como a toda la sociedad queretana, grato darle la bienvenida a nuestro estado al señor presidente de la República, licenciado Andrés Manuel López Obrador.",0.32823650481604266,42,19,08,2020
FRANCISCO DOMINGUEZ SERVIEN,"Le manifiesto mi respeto y mi gratitud por la atención que ha dado en todo momento a la necesidad de las queretanas y los queretanos; esa ha sido la constante de su gobierno, y no solamente en el tema de seguridad, que lo hemos platicado ampliamente. Le digo al señor presidente que cuenta conmigo para estar de forma presencial o virtual, como decíamos, en esta coordinación en el estado, mi presencia, que empezamos este día lunes con este grupo de coordinación.",0.32823650481604266,81,19,08,2020
FRANCISCO DOMINGUEZ SERVIEN,"También decirles, como ya lo informó el presidente, que somos uno de los estados mejor evaluados de todo el país, el 25 estado dentro de los siete estados mejor evaluados en todos los temas de seguridad, donde un homicidio, el 80 por ciento tiene resolución y, si se trata de feminicidios, el 100 por ciento, y en todos los rubros vamos a la baja.",0.32823650481604266,64,19,08,2020
FRANCISCO DOMINGUEZ SERVIEN,"Nos ha distinguido siempre, señor presidente, con su apertura; también con su empatía y, por ello, quiero aprovechar esta ocasión para abordar ante usted, señor presidente, y ante los medios de comunicación y de frente a todas las personas, un tema, si me lo permite, señor presidente, que para mí es personal y central.",0.32823650481604266,54,19,08,2020
FRANCISCO DOMINGUEZ SERVIEN,"En mi vida siempre he dado la cara y hoy no será la excepción. Los gobernantes tenemos la obligación de enfrentar los hechos. Más, cuando se trata de calumnias, de infamias, de ataques centrados en cuestiones políticas.",0.32823650481604266,37,19,08,2020
FRANCISCO DOMINGUEZ SERVIEN,"El señor Emilio Lozoya ha pretendido involucrarme con una bajeza inaudita en actos de corrupción, ha aportado sólo sus dichos que valen lo que su prestigio: nada.",0.32823650481604266,27,19,08,2020
FRANCISCO DOMINGUEZ SERVIEN,"De manera perversa se filtró un video en donde aparece una persona en la que deposité mi confianza y que me acompañó por años. Lo removí de su cargo y di parte a las instancias correspondientes para que él, a su vez, apele a su derecho que le convenga. Por mi parte, no tengo nada que temer, nada de qué avergonzarme y nada que ocultar.",0.32823650481604266,65,19,08,2020
FRANCISCO DOMINGUEZ SERVIEN,Los dichos del señor Lozoya son una infamia por varias razones:,0.32823650481604266,11,19,08,2020
FRANCISCO DOMINGUEZ SERVIEN,"Primero, nadie puede comprar lo que ya tiene. Desde que fui diputado federal, con respeto apoyé la Reforma Energética en el 2008, que fue propuesta por el Partido Acción Nacional; la seguí apoyando como senador de la República, de hecho, la presenté yo personalmente a nombre de mi partido. Siempre he tenido convicción de que la reforma era benéfica para el país; por tanto, como legislador mi trabajo fue dar al país el mejor marco legal, no su implementación, y menos un legislador, su operación.",0.32823650481604266,85,19,08,2020
FRANCISCO DOMINGUEZ SERVIEN,"No había necesidad de darme dinero para obtener un voto que ya se tenía por convicción personal; además, lo reitero, lo he dicho siempre en mi vida política, su servidor no vive de la política.",0.32823650481604266,35,19,08,2020
FRANCISCO DOMINGUEZ SERVIEN,"Segundo, nadie paga para que le peguen. Si fuera cierta la calumnia, no habría presentado en ese momento 807 reservas y modificaciones a la reforma de aquel gobierno; no hubiera quitado su servidor el control del Consejo de Administración de Pemex ni quitado cinco asientos que tenía en ese momento el sindicato petrolero. Les recuerdo que el Consejo de Administración de Pemex aprueba contratos, obras, proveedores. Sacar al sindicato no sólo incomodó a aquel gobierno, sino que detonó amenazas contra mi vida.",0.32823650481604266,82,19,08,2020
FRANCISCO DOMINGUEZ SERVIEN,"Si fuera cierta la calumnia, no habría propuesto la creación de un fondo petrolero con recursos etiquetados para asegurar la transparencia y evitar el saqueo que después se dio.",0.32823650481604266,29,19,08,2020
FRANCISCO DOMINGUEZ SERVIEN,"Tercero, no se puede creer en las palabras de un delincuente confeso. Y hoy doy la cara aquí y ante la autoridad. No busco la protección a cambio de inventar falsedades.",0.32823650481604266,31,19,08,2020
FRANCISCO DOMINGUEZ SERVIEN,"Cuarto, hay una intención política, no es cuestión legal. Atacan a un gobernador de oposición bien calificado. Mienten porque Querétaro no tiene una, una sola observación de la Auditoría Superior de la Federación ni de la Secretaría de la Función Pública federal, ni una, y es el manejo del dinero público de todos los queretanos.",0.32823650481604266,55,19,08,2020
FRANCISCO DOMINGUEZ SERVIEN,"Tenemos los queretanos, el gobierno en su responsabilidad, prácticamente deuda cero; hay empleo, buenos salarios, somos ejemplo de crecimiento, calidad, de grandeza, somos gente de trabajo, de esfuerzo y de palabra. Por eso nos atacan y, además, en menos de 10 meses habrá elección.",0.32823650481604266,44,19,08,2020
FRANCISCO DOMINGUEZ SERVIEN,"Doy la cara y defenderé mi nombre. Seguiré trabajando sin pausas, sin distracciones, enfocado en los resultados, a lo que demandan las queretanas y los queretanos.",0.32823650481604266,26,19,08,2020
FRANCISCO DOMINGUEZ SERVIEN,Este será el único posicionamiento público que daré a este respecto.,0.32823650481604266,11,19,08,2020
FRANCISCO DOMINGUEZ SERVIEN,"Nuevamente, señor presidente, en lo personal estoy muy contento con su presencia, de todo su Gabinete de Seguridad. Y Querétaro sigue sintiéndose fuerte cuando está usted aquí o desde Palacio Nacional en la Ciudad de México. Muchas gracias por su presencia. Muchas gracias.",0.32823650481604266,43,19,08,2020
FRANCISCO DOMINGUEZ SERVIEN," Va a ser el único posicionamiento, creo que fui muy claro.",0.32823650481604266,11,19,08,2020
