Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ERNESTO PRIETO ORTEGA," Con su permiso, señor presidente. Muy buenos días.",0.32823650481604266,8,14,09,2020
ERNESTO PRIETO ORTEGA,Compañeras y compañeros de la prensa:,0.32823650481604266,6,14,09,2020
ERNESTO PRIETO ORTEGA,El día de mañana se va a celebrar el Gran Sorteo Especial Número 235 que son el equivalente al valor del avión presidencial.,0.32823650481604266,23,14,09,2020
ERNESTO PRIETO ORTEGA,"Son 100 premios de 20 millones de pesos cada uno y, como ustedes bien saben, es una cooperación para equipos médicos y hospitales donde se atiende de manera gratuita a la gente pobre.",0.32823650481604266,33,14,09,2020
ERNESTO PRIETO ORTEGA,"El siguiente son los ingresos que se han generado al día 11 de septiembre, dos mil 89.5 millones de pesos.",0.32823650481604266,20,14,09,2020
ERNESTO PRIETO ORTEGA,"Se han vendido cuatro millones 179 mil cachitos, equivalentes al 69.65 del total disponible.",0.32823650481604266,14,14,09,2020
ERNESTO PRIETO ORTEGA,"En caso de resultar premiado un cachito no vendido, el premio se le entregará al Insabi.",0.32823650481604266,16,14,09,2020
ERNESTO PRIETO ORTEGA,"El martes 15 de septiembre a las 2:00 de la tarde se cierra la venta de cachitos en el edificio El Moro, de Lotenal, en presencia de autoridades federales y del notario público que dará constancia del acto.",0.32823650481604266,38,14,09,2020
ERNESTO PRIETO ORTEGA,¿Cómo cobrar el premio del Gran Sorteo Especial?,0.32823650481604266,8,14,09,2020
ERNESTO PRIETO ORTEGA,"Serán pagados en las oficinas de la Lotería Nacional, Plaza de la Reforma Número 1, colonia Tabacalera, alcaldía Cuauhtémoc, Ciudad de México, código postal 06030.",0.32823650481604266,25,14,09,2020
ERNESTO PRIETO ORTEGA,"Los requisitos que van a tener que presentar los ganadores y las ganadoras es identificación oficial del INE, pasaporte, cédula profesional, comprobante de domicilio, CURP, RFC, cuenta bancaria y el billete premiado.",0.32823650481604266,32,14,09,2020
ERNESTO PRIETO ORTEGA,"Es cuanto, señor presidente.",0.32823650481604266,4,14,09,2020
ERNESTO PRIETO ORTEGA," El día de ayer se llevó a cabo la devolución de los expendios foráneos y de los locales, pero muchos de esos expendios se quedaron con billetes ya a su cargo para venderlos y nosotros, también los billeteros de la Ciudad de México, tienen billetes para estar vendiendo el día de hoy y también el día de mañana.",0.32823650481604266,58,14,09,2020
ERNESTO PRIETO ORTEGA,"Nosotros vamos a estar atendiendo a todos esos billeteros y a todas esas expendedoras que quieran comprar, por eso vamos a cerrar hasta las 2:00 de la tarde, señor presidente el día de mañana, pero es para atender la demanda de los billeteros y atender de los expendedores.",0.32823650481604266,48,14,09,2020
ERNESTO PRIETO ORTEGA, Siete ceros.,0.32823650481604266,2,14,09,2020
