Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
HUGO LOPEZ-GATELL RAMIREZ," Gracias, presidente. Muy buenos días. Canciller, muy buenos días; buenos días tengan todas y todos ustedes.",0.32823650481604266,16,22,09,2020
HUGO LOPEZ-GATELL RAMIREZ,"Como ya señala el presidente, vamos a compartir el informe técnico que presentamos en las tardes y más o menos cada dos semanas presentamos un informe más detallado en donde se puede visualizar las curvas epidémicas de casos nuevos y también de hospitalización que ocurren en cada una de las entidades federativas.",0.32823650481604266,52,22,09,2020
HUGO LOPEZ-GATELL RAMIREZ,"Veremos, como destaca el presidente, una perspectiva que es alentadora en el sentido de que México en esta epidemia larga que ha tenido, que contemplamos desde el inicio se comportaría de esa manera, empezando en febrero con nuestro primer caso el 28 de febrero y durante todos estos meses, hasta llegar a un punto máximo que ocurrió en la última semana de julio y posteriormente un descenso, y ahorita ya llevamos siete semanas consecutivas, estamos durante la octava semana consecutiva en la que vemos ya un descenso sostenido.",0.32823650481604266,88,22,09,2020
HUGO LOPEZ-GATELL RAMIREZ,"Además, veremos que en 27 de las 32 entidades federativas hay una reducción en el número diario de casos o el número semanal de casos que se ha mantenido en al menos dos a tres semanas; en algunas incluso, 14 semanas ya de reducción, que se encuentran en una avanzada fase de control.",0.32823650481604266,53,22,09,2020
HUGO LOPEZ-GATELL RAMIREZ,"Y siempre es importante reiterar cuáles han sido los mecanismos para lograr este proceso de control de la epidemia y se han basado fundamentalmente en la participación ciudadana en la medida en que las personas, en forma mayoritaria, han atendido el llamado de mantenerse en sana distancia, lo hicieron durante la Jornada Nacional de Sana Distancia que se mantuvo desde el 23 de marzo y hasta el 30 de mayo y, posteriormente, ha continuado el proceso de sana distancia, pero guiado por un semáforo de riesgo que permite estimar en cada una de las entidades federativas cuál es la intensidad epidémica.",0.32823650481604266,101,22,09,2020
HUGO LOPEZ-GATELL RAMIREZ,"Las autoridades sanitarias estatales, es decir, los gobiernos de los estados han sido quienes directamente han sido responsables de seguir un lineamiento general dispuesto por la autoridad sanitaria nacional y aplicar decisiones administrativas que han permitido reducir la movilidad en el espacio público o cancelar temporalmente eventos sociales, tanto económicos como recreativos, culturales y, demás, y esto ha permitido reducir la intensidad epidémica.",0.32823650481604266,63,22,09,2020
HUGO LOPEZ-GATELL RAMIREZ,"Vamos a ver la primera diapositiva, por favor. Este proceso de la Nueva Normalidad cumple ya 114 días, 114 días en donde, guiados por este semáforo semanal que permite identificar la intensidad epidémica, las autoridades sanitarias han ido abriendo los distintos espacios públicos en una forma ordenada, en una forma controlada para evitar precisamente el fenómeno de rebrote.",0.32823650481604266,58,22,09,2020
HUGO LOPEZ-GATELL RAMIREZ,"Y aquí hacemos este señalamiento que hicimos recientemente en detalle el domingo próximo pasado, cuando presentamos la situación que viven múltiples, posiblemente la mayoría de los países europeos occidentales, que es una situación de rebrote. Rebrote quiere decir que regresa la intensidad epidémica, es decir, el número de contagios aumenta progresivamente cada día, esta situación vive Europa Occidental y es algo que fue contemplado desde el verano en todos estos países.",0.32823650481604266,71,22,09,2020
HUGO LOPEZ-GATELL RAMIREZ,"Nadie está exento de un rebrote, todos los países pueden enfrentar una condición de rebrote en la medida en que se abre nuevamente las actividades públicas, que las personas interactúan unas con otras y, por supuesto, puede haber contagios.",0.32823650481604266,39,22,09,2020
HUGO LOPEZ-GATELL RAMIREZ,"Sin embargo, es inevitable abrir las actividades. Ningún país podría mantenerse en completa restricción de movilidad, esto causaría colapso de sus economías y un colapso de las sociedades y, por lo tanto, llega un punto en que es importante desconfinar, abrir las actividades.",0.32823650481604266,43,22,09,2020
HUGO LOPEZ-GATELL RAMIREZ,¿Cuál puede ser la consecuencia?,0.32823650481604266,5,22,09,2020
HUGO LOPEZ-GATELL RAMIREZ,"Efectivamente, que haya un rebrote, pero hay que siempre estar constantemente visualizando que se requiere balancear el cuidado de la epidemia, es decir, el control de la epidemia, la reducción de los contagios, pero también el cuidado de la economía y el bienestar, y todos los días hay que hacer un equilibrio de estas dos intenciones. La siguiente, por favor.",0.32823650481604266,60,22,09,2020
HUGO LOPEZ-GATELL RAMIREZ,"En esta curva epidémica que resume la situación nacional vemos en estas líneas, en estas barras o columnas que son las líneas de colores que en cada una de las semanas que han transcurrido desde la semana 10, que es la primera semana de marzo, y hasta la semana 37, que es hace dos semanas, en este momento estamos en la semana 39 del año, hemos tenido la cantidad de casos que se muestran en la altura de estas columnas.",0.32823650481604266,80,22,09,2020
HUGO LOPEZ-GATELL RAMIREZ,"Lo que vemos también en la línea naranja que está arriba de la gráfica es un indicador muy importante que es: cuál es el porcentaje de personas que, teniendo síntomas de COVID -fiebre, tos, dolor de cabeza, dolor de garganta, dolor muscular y otras alteraciones- se les han tomado muestras para exámenes de laboratorio y cuántos han salido positivos.",0.32823650481604266,59,22,09,2020
HUGO LOPEZ-GATELL RAMIREZ,"En la semana 29 que está en el punto máximo de altura de estas columnas, vemos que llegamos hasta el 57 por ciento, es decir, casi cada seis… seis de cada 10 personas resultaron positivas al virus al SARS-CoV-2 causante de COVID, pero a partir de esa semana 29 se ha ido disminuyendo este porcentaje y hoy tenemos menos de cuatro de cada 10 que resultan positivas.",0.32823650481604266,67,22,09,2020
HUGO LOPEZ-GATELL RAMIREZ,¿Por qué es tan importante este parámetro?,0.32823650481604266,7,22,09,2020
HUGO LOPEZ-GATELL RAMIREZ,"Porque este indicador muestra la actividad de la epidemia, es decir, la circulación entre personas del virus causante de COVID. Es un indicador aceptado universalmente de reducción o de existencia de la epidemia.",0.32823650481604266,33,22,09,2020
HUGO LOPEZ-GATELL RAMIREZ,"En esta gráfica, que presentaremos con mayor detalle, lo que vemos es en general la curva epidémica. La curva epidémica es la representación visual de la cantidad de casos que se presentan cada día; entre más sube la curva, es una montaña, entre más alta es esta gráfica quiere decir mayor intensidad epidémica. Y lo mismo, se ve que a partir de la semana 29, la semana 29 fue la última semana de julio, se empieza a ver una reducción, es decir, un descenso en la cantidad de casos que se presentan cada semana.",0.32823650481604266,94,22,09,2020
HUGO LOPEZ-GATELL RAMIREZ,"Estamos ya, como digo, en la octava semana en donde ocurre esto y abrimos esta semana con una reducción de menos 23 por ciento, se redujo 23 por ciento. Es posible que esta reducción cambie un poco a lo largo de la semana, posiblemente para el próximo sábado no sean 23 por ciento, quizás sean 12 o 15 por ciento, pero se mantenga esta reducción que ha sido progresiva.",0.32823650481604266,69,22,09,2020
HUGO LOPEZ-GATELL RAMIREZ,"Y, finalmente, la ocupación hospitalaria. Es un indicador importante porque el segundo objetivo general del control de la epidemia fue el asegurar que nadie, nadie se quedara sin atención médica cuando así lo requiriera.",0.32823650481604266,34,22,09,2020
HUGO LOPEZ-GATELL RAMIREZ,"COVID-19 es una enfermedad que en ocho de cada 10 personas no necesitan hospitalización, las personas se recuperan por acción de su sistema inmune, pero dos de cada 10 pueden necesitar hospitalización y de no lograrse esta hospitalización en un tiempo razonablemente corto las personas podrían fallecer tan sólo porque no tuvieron la atención médica.",0.32823650481604266,55,22,09,2020
