Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
MARCELO EBRARD CASAUBON," Señor presidente, con su permiso. Compañeros, secretario de la Defensa, de la Marina, señor secretario de Salud, secretaria de Seguridad y Protección Ciudadana, y consejero jurídico, señoras y señores.",0.0,29,13,01,2021
MARCELO EBRARD CASAUBON,"Bueno, brevemente diría los siguiente: vamos nosotros a invocar el Tratado Libre Comercio, ahora al T-MEC o UMSCA en el capítulo laboral. Capítulo laboral es el capítulo 23 del tratado y establece, cosa que cuidamos en la negociación o se cuidó en la negociación por el equipo mexicano, dos artículos en especial:",0.0,52,13,01,2021
MARCELO EBRARD CASAUBON,"El artículo 23.3 derechos laborales, ¿qué dice?: ‘Cada parte -México y Estados Unidos- asegurará que los trabajadores migrantes estén protegidos conforme a sus leyes laborales sean o no nacionales de la parte’. Esto fue algo que México insistió mucho y así quedó establecido.",0.0,43,13,01,2021
MARCELO EBRARD CASAUBON,Repito: ‘Cada parte asegurará que los trabajadores migrantes estén protegidos conforme a sus leyes laborales sean o no nacionales de la parte’.,0.0,22,13,01,2021
MARCELO EBRARD CASAUBON,"El artículo 23.8, trabajadores migrantes. ‘Las partes reconocen la vulnerabilidad de los trabajadores migrantes con respecto a las protecciones laborales’.",0.0,20,13,01,2021
MARCELO EBRARD CASAUBON,"Por consiguiente, al implementar el artículo que acabo de referir asegurará que los trabajadores migrantes estén protegidos conforme a sus leyes laborales, sean o no, como ya dije, nacionales de la parte correspondiente.",0.0,33,13,01,2021
MARCELO EBRARD CASAUBON,¿Esto qué significa?,0.0,3,13,01,2021
MARCELO EBRARD CASAUBON,"Bueno, ¿es un derecho laboral la vacuna? No, pero sí es un derecho establecido que el trabajador no debe estar expuesto al contagio; entonces, en aplicándose la vacuna, es una responsabilidad de cada uno de los dos países garantizar que todos los trabajadores, independientemente de su condición migratoria, reciban la vacuna.",0.0,51,13,01,2021
MARCELO EBRARD CASAUBON,"Por consiguiente, consideramos que cualquier exclusión a trabajadores mexicanas o mexicanos es una violación al Tratado de Libre Comercio del apartado de derechos laborales y por consiguiente estaríamos aplicando las disposiciones que también se acordaron entre ambos países para que México pudiera iniciar los procedimientos correspondientes.",0.0,46,13,01,2021
MARCELO EBRARD CASAUBON,"Vamos a estar vigilando porque es una obligación del gobierno de Estados Unidos, pactado en un tratado internacional vigente.",0.0,19,13,01,2021
MARCELO EBRARD CASAUBON,"Los derechos laborales yo sé que les interesan mucho a los sindicatos en Estados Unidos respecto a lo que hacemos en México, en cumplimiento de la legislación mexicana, incluso Trumka, uno de los principales líderes sindicales lo acaba de decir, que están preparados para a partir del día 21 de enero en su caso instaurar paneles si México no cumple con la legislación laboral de nuestro país.",0.0,67,13,01,2021
MARCELO EBRARD CASAUBON,"Bueno, yo les diría que con la misma energía, fuerza e insistencia también le pediremos su solidaridad al movimiento obrero allá, pero en particular a las nuevas autoridades en Estados Unidos para que se cumpla al 100 por ciento con este precepto, es lo que va a ser México. Se debe garantizar, porque es una obligación, del gobierno de los Estados Unidos.",0.0,62,13,01,2021
