Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días.,0.0,2,06,01,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Hoy vamos a informar sobre un programa de atención especial que se echó a andar para proteger a nuestros paisanos migrantes con motivo de fin de año. Los migrantes paisanos, que vienen a ver a sus familiares y que son hostigados, se les extorsiona, se les trata mal al regresar al país. Entonces, además del programa dedicado a protegerlos, se decidió establecer una oficina en Palacio Nacional, dependiendo de la Presidencia, para atenderlos, apoyarlos en sus gestiones, en sus denuncias y por eso queremos informar, aunque todavía no concluye el periodo que se definió de atención a nuestros paisanos, pues vamos a informar de lo que se ha hecho, de las llamadas que se han recibido, de los asuntos que se han atendido, cómo se les ha apoyado.",0.0,128,06,01,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y también vamos a dar a conocer, terminando este informe, cómo se han comportado las remesas, porque el año pasado fue un año excepcional en cuanto a envíos de recursos de nuestros paisanos migrantes a sus familiares en México, fue un récord, lo que nunca había sucedido y en los momentos más difíciles. Los paisanos migrantes actuaron como héroes, como heroínas, el equivalente a los médicos y las enfermeras que están salvando vidas; ellos, en el terreno de lo económico.",0.0,80,06,01,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Porque estamos ya en una cifra récord. De acuerdo a los datos, hasta noviembre -pero la estimación que tenemos para diciembre, lo mismo- vamos a rebasar los 40 mil millones de dólares de remesas. Es un incremento de un año a otro, de un año normal a un año con pandemia del 11 por ciento.",0.0,55,06,01,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, vamos a informar sobre esto para que se conozca el gran apoyo que han significado estos envíos en la circunstancia en que está nuestro país. Entonces, empezamos con Emiliano, que nos informe sobre el programa de atención.",0.0,38,06,01,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"CARLOS EMILIANO CALDERÓN MERCADO, COORDINADOR DE ESTRATEGIA DIGITAL NACIONAL, PRESIDENCIA DE LA REPÚBLICA: Qué tal. Buenos días, presidente; buenos días a todos.",0.0,22,06,01,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Daremos un breve informe de lo que ha hecho la oficina de Presidencia con respecto a este plan de seguimiento al tema de paisanos. Desde que nos instruyó el presidente, a partir del 14 de diciembre creamos una oficina aquí, temporal, para dar seguimiento a todo el tema de problemáticas que tienen nuestros paisanos al ingresar al país. Esta oficina, como recordarán, o más bien, como el presidente instruyó, tiene que ver con, para empezar, a agradecer y brindar atención especial a todos nuestros paisanos.",0.0,85,06,01,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pues bueno, se estableció la oficina, se ofrece atención coordinada entre instituciones. Lo que hicimos al principio es buscar todas las instituciones y centros de llamadas telefónicas que existen en diferentes programas que tienen que ver con el ingreso de nuestros paisanos al país y nos coordinamos con esas oficinas que atienden ya de por sí estos temas.",0.0,58,06,01,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, también, aparte de coordinar a las oficinas, realizamos llamadas telefónicas a todos los contactos que estas oficinas nos dan, donde nosotros preguntamos qué tipo de servicio les dieron y si fue resuelta la problemática por la cual llamaron.",0.0,39,06,01,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, en caso de no haber sido resuelta, nosotros gestionamos y presionamos a las instituciones que tienen que resolverla para poder dar un resultado favorable a todas las peticiones que hay.",0.0,31,06,01,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, nos encontramos que hay centros de llamadas telefónicas en el Instituto Nacional de Migración, Banjercito, SAT e implementamos el 911 también, para que por ahí puedan entrar llamadas referentes a este tema.",0.0,33,06,01,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,El total de llamadas que hemos tenido a partir del 14 de diciembre a la fecha son cuatro mil 986. Ahorita les explicaré por qué es que entran estas llamadas y a dónde es que entran.,0.0,36,06,01,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Este es el histórico de llamadas que hemos tenido de todas las dependencias. Empezamos con, como se podrán dar cuenta, 703, que es cuando nuestros paisanos empiezan a ingresar al país y va en decrecimiento, los días festivos bajó bastante y después empieza a crecer, pero ya no tanto como en los días cuando nos instruyó el presidente montar la oficina.",0.0,61,06,01,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, los temas de las llamadas tienen que ver, la mayoría, con la importación temporal de vehículos. Ese es un tema que genera muchas llamadas, muchas preguntas. Obviamente, también hay muchas llamadas para preguntar sobre documentación necesaria en general para poder entrar al país.",0.0,44,06,01,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Hay un problema que identificamos que tiene que ver con falta de información y la falta de información genera también… da pie a que exista corrupción. Entonces, la oficina lo que ha hecho es impulsar que exista más información, más difusión de los derechos y las garantías que tienen nuestros paisanos al entrar porque, si no hay información, esto da pie a que puedan extorsionarlos.",0.0,65,06,01,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Por ejemplo, hay muchas llamadas que tienen que ver con servicios consulares, esos también Relaciones Exteriores las atendió de forma eficiente, pero, como podrán ver, la mayor parte tiene que ver con importación. Hay algo que también es importante, que es el tema de la franquicia fiscal y mercancías cuando ingresan al país, y hay un trabajo que ya se está haciendo.",0.0,62,06,01,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"La oficina de la Presidencia lo que hace es buscar la problemática que existe e intentar solucionarla con las diferentes dependencias; entonces, se tiene conversaciones ya con SAT, obviamente con Aduanas para ver si existe una forma más ágil para que los paisanos puedan entrar al país.",0.0,47,06,01,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Siguiente, por favor. Perdón, ¿te puedes regresar una?",0.0,8,06,01,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Hay un tema importante que es las llamadas a Banjercito. Sólo tienen que ver con importación temporal de vehículos porque es la instancia que recibe los pagos; entonces, también hablamos con ellos y ya tenemos algunas propuestas y seguimiento para ver cómo se pueden agilizar estos trámites para que los paisanos se sientan en su casa, esa es la finalidad y el objetivo que tiene esta oficina y deben de tener todas las instancias, que nuestros paisanos lleguen a su casa, que se sientan contentos porque en realidad tenemos una responsabilidad moral y, obviamente, legal para atenderlos como se merecen y no con malos tratos, corrupción.",0.0,106,06,01,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, en las llamadas que hemos tenido desde la oficina de Presidencia hemos dado seguimiento al comportamiento que han tenido las dependencias al recibir y al operar las llamadas. La mayor parte ha sido excelente y buen trato, ya vimos ahí que hay mínimas, pero hay malos tratos y pésimos tratos.",0.0,51,06,01,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Esto, en general, ¿qué es?, lentitud en el trámite, lentitud y obviamente hay algunos funcionarios que no se comportan de forma amable; entonces, la oficina habla con la dependencia y les dice, les informa que está habiendo determinado trato o lentitud en los trámites.",0.0,44,06,01,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Este es el seguimiento histórico que hemos hecho desde el día 17 de llamadas desde la oficina de la Presidencia a los paisanos que han sido atendidos a su vez por las demás dependencias. Por ejemplo, el día de ayer llamamos con éxito a 68 paisanos, dimos seguimiento.",0.0,48,06,01,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Hay un tema muy importante, que es que no existe una cultura para denunciar, el régimen pasado y lo que heredamos era más bien… generó en la población una cultura de no denunciar ante las autoridades lo que está pasando. Entonces, en algunas ocasiones nos ha sido difícil poder sacarles la verdad porque tienen hasta cierto punto miedo de denunciar.",0.0,60,06,01,2021
