Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA," Muy buenos días, señor presidente. Gracias por darme la palabra. Saludo a todos los que están acompañándolos y a mis compañeros de la prensa.",0.0,24,13,10,2021
PREGUNTA,"La primera pregunta, presidente es con relación a la reforma eléctrica que usted está presentando.",0.0,15,13,10,2021
PREGUNTA,"Como hemos visto, hay un nado sincronizado en contra de la reforma eléctrica. Nosotros en A Barlovento Informa estamos comprometidos con esta propuesta que está haciendo usted y le queremos preguntar sobre toda esta infodemia que se genera en torno a la probable violación que se dé con tratados internacionales, entre ellos el Tratado de Libre Comercio, el tratado de comercio México-Estados Unidos-Canadá, que se podría ver afectado.",0.0,68,13,10,2021
PREGUNTA,"Esto, sabemos que usted ha dicho y ha explicado que no es verdad; sin embargo, como hay muchísima información, sobre todo de Acción Nacional en torno a esto, nos gustaría que usted lo aclarara en esta mañanera.",0.0,37,13,10,2021
PREGUNTA,"Gracias y, si me permite, una segunda pregunta.",0.0,8,13,10,2021
PREGUNTA, Con Salinas.,0.0,2,13,10,2021
PREGUNTA, Y su socio.,0.0,3,13,10,2021
PREGUNTA, Junto con José María Córdoba Montoya.,0.0,6,13,10,2021
PREGUNTA, Patronal.,0.0,1,13,10,2021
PREGUNTA," Presidente, nada más una sugerencia antes de ir a la siguiente pregunta, que tiene que ver con un tema que a usted le interesa mucho y que es eje de la Cuarta Transformación, que es la corrupción.",0.0,37,13,10,2021
PREGUNTA,"Me permito sugerirle, sin el afán de promover a nadie, sino solamente de contribuir a que haya más foros a favor de esta reforma eléctrica, que desde luego tiene una prioridad nacional y que es de seguridad nacional, a personajes tales como Josefina, la doctora Josefina Morales, de la Universidad Nacional Autónoma de México, que ha estudiado el tema energético desde hace muchísimos años; a Aníbal García, el compañero Ángel Guerra, Alonso Arrioja, todos especialistas, incluyendo a la periodista de investigación Jesusa Cervantes, de Proceso, que es la que devela todos estos contratos de Salinas de Gortari con Claudio X. y con Córdoba Montoya. Me parece que abrir foros sería importante, dada la infodemia que hay sobre el tema. Esa es una simple sugerencia.",0.0,124,13,10,2021
PREGUNTA," Presidente, la última pregunta, si me permite, le digo que tiene relación con un tema central de la Cuarta Transformación, que es la corrupción.",0.0,24,13,10,2021
PREGUNTA,"Usted sabe perfectamente que la corrupción les cuesta a los países entre un cinco y un 10 por ciento del Producto Interno Bruto, lo cual es altísimo, pero en realidad la gente, los ciudadanos, pues pocos lo sabemos.",0.0,38,13,10,2021
PREGUNTA,Y A Barlovento Informa ha hecho una investigación en España con relación a la embajada.,0.0,15,13,10,2021
PREGUNTA,"Y, bueno, pues a finales del gobierno de Enrique Peña Nieto, Luis Videgaray privatizó un espacio con inmunidad diplomática y le dio el cargo a Ximena Caraza, cuñada de Claudio X. González. Está como directora de la casa de este instituto de la cultura allá en Madrid, y esta señora también ha dirigido en España dos instituciones que usted desapareció: el Consejo de Promoción Turística de México y ProMéxico.",0.0,69,13,10,2021
PREGUNTA,"Durante todo el periodo neoliberal ha sido funcionaria de la embajada y la prensa registra innumerables casos de corrupción que la acusan; además, tiene un sueldo de 570 mil pesos que cobra como directora y un bono por 50 mil como consejera de Realia.",0.0,44,13,10,2021
PREGUNTA,"La pregunta es: ¿por qué no se ha incorporado esta institución a la embajada y opera como una embajada paralela allá en España?, ¿por qué sigue este elefante de corrupción, presidente?",0.0,31,13,10,2021
PREGUNTA,Gracias.,0.0,1,13,10,2021
PREGUNTA," (Inaudible) fue remodelada por un privado, que fue Díez Morodo, y se les concesionó.",0.0,14,13,10,2021
PREGUNTA,"Ahí hay un restaurante, le quiero decir, donde opera el hermano de Enroque Ochoa, que fue, por cierto, director de la Comisión Federal de Electricidad y hay por ahí otros socios que tienen que ver con el caso Lozoya.",0.0,39,13,10,2021
PREGUNTA,"Entonces, bueno, los ciudadanos mexicanos que viven en España se preguntan por qué hay esta situación en La Casa de México en España.",0.0,23,13,10,2021
