Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JOSE RAFAEL OJEDA DURAN," Con su permiso, señor presidente.",0.0,5,29,10,2021
JOSE RAFAEL OJEDA DURAN,"Vamos a dar la situación de seguridad pública en el estado de Campeche. Campeche es un estado que tiene 13 municipios y alrededor de un millón de habitantes. Aquí podemos ver los municipios más importantes, como es Campeche, Carmen, Champotón, Escárcega, Calkiní, Candelaria, Hopelchén y otros municipios.",0.0,47,29,10,2021
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a la incidencia delictiva del 22 de octubre del 2020 al 22 de octubre del 21, se realizaron 259 sesiones, de las cuales 118 fueron atendidas de manera presencial por el gobierno del estado y 116 por representantes, y 25 fueron inasistencias, lo que representa un porcentaje del 90.3, me estoy refiriendo al gobierno pasado, hasta el día de hoy la señora gobernadora ha asistido a todas las reuniones de la mañana para atender el sistema a la cuestión de la seguridad en el estado.",0.0,90,29,10,2021
JOSE RAFAEL OJEDA DURAN,"La incidencia delictiva la vamos ir viendo uno por uno de estos, de todos estos casos que están aquí.",0.0,19,29,10,2021
JOSE RAFAEL OJEDA DURAN,El robo a transportista ocupa un lugar número 22 en lo que va en el contexto nacional. En los últimos tres meses no -se puede mostrar aquí en la gráfica- no se ha presentado un incidente de este tipo.,0.0,39,29,10,2021
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a extorsión ocupa el lugar número 22 y, como se observa también aquí en la gráfica, desde el inicio de la presente administración se tiene una tendencia a la baja.",0.0,35,29,10,2021
JOSE RAFAEL OJEDA DURAN,"Feminicidio, ocupa el lugar número 22. En efecto, se han presentado casos aquí en el estado variando entre uno y dos casos en un periodo más o menos de un mes, pero es una tendencia a la baja, pero sobre todo es una gran preocupación de la señora gobernadora que ya está implementando medidas al respecto.",0.0,56,29,10,2021
JOSE RAFAEL OJEDA DURAN,"El homicidio doloso ocupa el lugar número 25 y, de acuerdo a los datos de la gráfica, estos delitos presentan una tendencia a la alza. También aquí la señora gobernadora está tomando las medidas necesarias para revertir esta situación.",0.0,39,29,10,2021
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a trata de personas, ocupa el lugar número 25 y prácticamente ha sido nulo este delito, se han presentado tres casos desde el inicio de la presente administración.",0.0,33,29,10,2021
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a violación, ocupa el lugar número 25. El flagelo de este delito se ha mantenido en el estado, por lo que se está trabajando también para disminuir este delito.",0.0,34,29,10,2021
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a robo de transeúntes, ocupa el lugar número 26 y, de acuerdo con los datos de la gráfica, este delito presenta una tendencia a la baja en el último mes un solo caso se ha presentado.",0.0,41,29,10,2021
JOSE RAFAEL OJEDA DURAN,"Narcomenudeo, ocupa el lugar número 26. En el último mes se presentó una disminución significativa de 19 casos en el mes de agosto a dos en el mes de septiembre.",0.0,30,29,10,2021
JOSE RAFAEL OJEDA DURAN,"Robo a negocio, ocupa el lugar número 28. Aunque la incidencia en el estado es muy… está por debajo de la media nacional, de delito de una tendencia a la alta también aquí.",0.0,33,29,10,2021
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a robo de transporte, ocupa el lugar número 27. Desde mediados del año anterior no se han presentado casos en el estado con respecto a este delito.",0.0,32,29,10,2021
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a homicidio doloso por entidad federativa, ocupa el lugar número 29 de 32. Y en lo que se refiere a homicidio doloso por cada 100 mil habitantes ocupa el lugar número 25 de 32. Los municipios con mayor incidencia, tenemos a Campeche, Carmen, Escárcega, Champotón y Candelaria. Aquí podemos ver la numeraria de todos estos delitos.",0.0,61,29,10,2021
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a fuerzas de seguridad aquí, en el estado, tiene un total de mil 858 elementos operativos: policías municipales, 617; policías estatales mil, 157. Y estos son los mandos coordinados, las delegaciones del C5 y policías de tránsito y policía cibernética, con un total como les dije anteriormente.",0.0,52,29,10,2021
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a las fuerzas federales que están aquí en el estado, la Secretaría de Marina cuenta con dos mil 371 elementos; la Secretaría de la Defensa mil 313 y la Guardia Nacional 922, y los operativos, en total son seis mil 156 y los que están operando cinco mil 700. La Guardia Nacional tiene una coordinadora estatal y dos coordinadoras regionales.",0.0,65,29,10,2021
JOSE RAFAEL OJEDA DURAN,"Respecto a la Guardia Nacional, se va a construir un cuartel aquí en Ciudad del Carmen, Campeche, y el otro va a ser en Calakmul, está proyectando entre el 22 y el 23.",0.0,33,29,10,2021
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a aseguramientos aquí en el estado, bueno, podemos ver la numeraria de cómo están todos, con respecto a marihuana, a todo lo que es drogas, lo que se ha decomisado, lo que está aquí, vehículos, armas cortas, todo lo que es armas y moneda nacional y dólares.",0.0,52,29,10,2021
JOSE RAFAEL OJEDA DURAN,"Y los resultados por el alertamiento aéreo, también las personas detenidas, también todo lo que se ha decomisado a través de alertamientos aéreos.",0.0,23,29,10,2021
JOSE RAFAEL OJEDA DURAN,"En el robo de hidrocarburo, pues aquí es muy poca la incidencia, tenemos 29 vehículos detenidos, 390 mil 996 litros asegurados y 42 personas detenidas por este flagelo. Y todo se da prácticamente en el municipio de Carmen, aquí nada más podemos ver que hay una toma clandestina que se ha detectado.",0.0,52,29,10,2021
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a la operación Refuerzo en la Sonda de Campeche, aquí lo que podemos ver son los resultados que se han obtenido del 19 al 21: eventos atendidos, 42; inspecciones que se han hecho a embarcaciones a vehículos y personas, 18 mil 165; embarcaciones conducidas a puerto, 57; los aseguramientos de buques, embarcaciones, vehículos y combustible y las personas detenidas, 16.",0.0,65,29,10,2021
JOSE RAFAEL OJEDA DURAN,"Aquí podemos ver, porque se habla mucho de que hay muchos robos en la sonda de Campeche, sobre todo en las plataformas, esto es lo que se ha venido haciendo, en el 19 era el número que existían y cómo ha ido disminuyendo, de manera que en este año tenemos 14 eventos, 25 en el 20 y en el 19, 39. A partir de más o menos a mediados del 2020 se inició otro tipo de operativo y ha venido a la baja todo este tipo de problemas que se dan en la sonda de Campeche.",0.0,96,29,10,2021
