Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
HUGO LOPEZ-GATELL RAMIREZ," Con su permiso. Secretarios, muy buenos días; muy buenos días tengan todas y todos ustedes.",0.0,15,23,11,2021
HUGO LOPEZ-GATELL RAMIREZ,"Vamos a compartir la información de actualización del curso de la pandemia de COVID-19 y el progreso del programa de vacunación con COVID, contra COVID.",0.0,25,23,11,2021
HUGO LOPEZ-GATELL RAMIREZ,"Si vemos en la primera imagen, la ya muy conocida curva epidémica de agregación semanal que tiene corte hasta la semana 46 y lo que vemos es que en esta semana tenemos una reducción nuevamente más cuantiosa que la semana pasada, que fue de menos ocho, ahora abrimos nuevamente con menos 17.",0.0,52,23,11,2021
HUGO LOPEZ-GATELL RAMIREZ,"Esta trayectoria es esperable, cuando ya se tiene intensidad epidémica menor empieza a haber fluctuaciones y así es como se ha presentado. Estaremos informando en todo momento los cambios que van ocurriendo de acuerdo al monitoreo diario.",0.0,37,23,11,2021
HUGO LOPEZ-GATELL RAMIREZ,"Nótese que todavía una proporción muy baja, 0.4 por ciento, son los casos estimados que están activos, todo lo demás es la suma histórica que se identifica de los casos, pero realmente activos son menos de 20 mil, son 17 mil 764, de acuerdo al monitoreo que sigue la misma metodología a lo largo de toda la epidemia.",0.0,58,23,11,2021
HUGO LOPEZ-GATELL RAMIREZ,"Lo mismo vemos en el indicador de la ocupación hospitalaria, se siguen desocupando las unidades COVID, tenemos una ocupación mínima ya en algunas entidades federativas y los indicadores van reduciendo consistentemente, es casi 90 por ciento la reducción de la ocupación hospitalaria si lo comparamos con el punto máximo de la segunda curva epidémica.",0.0,54,23,11,2021
HUGO LOPEZ-GATELL RAMIREZ,"Y noten también, como lo hemos dicho en otras ocasiones, el gran contraste entre los casos que son de importancia clínica, que son relevantes porque llegaron a hospitalización, en la tercera ola fueron considerablemente menos que en la segunda ola a pesar de que la ocurrencia de casos sea mayor.",0.0,50,23,11,2021
HUGO LOPEZ-GATELL RAMIREZ,"A veces esto se pierde de vista, pero lo importante es que, en poblaciones con alta cobertura de vacunación, aun cuando pudiera haber cantidades de casos más grandes, que no las previas, la cantidad de casos que son realmente importantes es menor, porque la vacuna protege precisamente contra eso, contra la hospitalización y desde luego contra las defunciones.",0.0,58,23,11,2021
HUGO LOPEZ-GATELL RAMIREZ,"En defunciones también es muy importante que en algunas entidades federativas ya empezó a ocurrir que pasan algunos días sin que se presente una sola defunción por COVID, lo cual es sumamente alentador y habla también del beneficio de la vacunación y la reducción sostenida de la epidemia.",0.0,48,23,11,2021
HUGO LOPEZ-GATELL RAMIREZ,"Lo que vemos en esta otra gráfica es el monitoreo que hacemos de las escuelas, de la población escolar y la presentamos a ustedes periódicamente para que vean qué ha ocurrido.",0.0,31,23,11,2021
HUGO LOPEZ-GATELL RAMIREZ,"Se abrieron las escuelas el 30 de agosto y en ningún momento se ha presentado un repunte de COVID en la población escolar, concretamente monitoreamos a la población de cinco a 17 años y, como se puede ver en la gráfica, en la zona sombreada en azul claro, hay una reducción progresiva, sostenida de los casos en esta población, y se ha mantenido muy fijo el porcentaje de casos que ocurren en estas edades, es de 10 por ciento, y esto nos habla de un mínimo impacto, si es que hay alguno, de la apertura de las escuelas sobre los contagios.",0.0,101,23,11,2021
HUGO LOPEZ-GATELL RAMIREZ,"Lo vemos también en el monitoreo específico que hacemos de los recintos escolares. Tenemos un sistema de información para el alertamiento inmediato compartido con la Secretaría de Educación Pública, y vemos 0.07 por ciento de las escuelas que hasta el momento han abierto, que son casi 67 por ciento de las escuelas, sólo 0.07 por ciento han tenido alguna clase de afectación, algún salón que presenta algún caso de enfermedad o más de un salón en toda la escuela.",0.0,79,23,11,2021
HUGO LOPEZ-GATELL RAMIREZ,"Y es de destacar que la gran mayoría, la enorme mayoría de los casos que se han presentado, son casos leves, lo cual ya habíamos también constatado a lo largo de la epidemia en México y en el mundo que en la población menor de edad el COVID se presenta como una enfermedad afortunadamente leve en su enorme mayoría.",0.0,59,23,11,2021
