Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JORGE ALCOCER VARELA," Muchas gracias, señor presidente.",0.0,4,23,11,2021
JORGE ALCOCER VARELA,Los saludo a todos ustedes con afecto.,0.0,7,23,11,2021
JORGE ALCOCER VARELA,"Hoy les actualizamos los medicamentos -la primera imagen, por favor- adquiridos por el sector salud para nuestra población. Como ustedes saben, de acuerdo a la demanda del sector Salud, que consta de mil 840 claves, al día de ayer -la siguiente imagen, por favor- se han liberado 787 millones 367 mil 123 piezas a las 14 instituciones que se anotan en la tabla.",0.0,63,23,11,2021
JORGE ALCOCER VARELA,En la siguiente podemos ver lo de la distribución. Me voy a detener un poco más en esto. Y en esta lámina se presentan los 72 millones 78 mil 562 piezas entregadas en los almacenes estatales al 22 de noviembre y de las que han sido comprobadas por los estados sólo 33 millones 496 mil 635 piezas.,0.0,57,23,11,2021
JORGE ALCOCER VARELA,"Es, por lo tanto, necesario seguir revisando esta situación pues, como señalé ya desde hace dos semanas, el retraso en tiempo de entrega a las farmacias hospitalarias y centros de salud impacta directamente en el seguimiento y en su administración.",0.0,40,23,11,2021
JORGE ALCOCER VARELA,"En la siguiente imagen pueden ver las acciones que ha tomado como ejemplo el Insabi en cuanto al seguimiento, que es una de sus preocupaciones y acciones más directas, el seguimiento y ubicación de las piezas en tránsito. De acuerdo a los operadores logísticos, de los 420 millones -que estaban en la tabla, arriba- del Insabi, 215 mil 665 piezas, el inventario actual es de 12 millones 24 mil 99 piezas.",0.0,71,23,11,2021
JORGE ALCOCER VARELA,"En la siguiente, gracias a la participación muy clara de Sedena, de Marina, de la Guardia Nacional y de Segalmex se está agilizando la entrega de 40 millones 281 mil 628 medicamentos para las entidades del 15 al 28 del mes en curso.",0.0,43,23,11,2021
JORGE ALCOCER VARELA,En la siguiente podemos ver algunas de las acciones que se realizan por el Insabi y los gobiernos estatales que se considera importante:,0.0,23,23,11,2021
JORGE ALCOCER VARELA,Comunicación directa con los propios secretarios de Salud para gestionar la recepción de los insumos.,0.0,15,23,11,2021
JORGE ALCOCER VARELA,"Movilización de medicamentos oncológicos, por lo importante y relevante de estos, de red seca a través de la Sedena.",0.0,19,23,11,2021
JORGE ALCOCER VARELA,La homologación de documentación a partir del documento.,0.0,8,23,11,2021
JORGE ALCOCER VARELA,Requisitos y condiciones técnicas para la recepción de medicamentos y material de curación del Insabi.,0.0,15,23,11,2021
JORGE ALCOCER VARELA,"Acompañamiento de los transportes de los operadores logísticos por las Fuerzas Armadas: Sedena, Semar y Guardia Nacional.",0.0,17,23,11,2021
JORGE ALCOCER VARELA,"Y en la siguiente tabla también apunto que se gestionan en forma personal por las Fuerzas Armadas en los lugares de entrega para maniobras de descarga, visitas de supervisión y acompañamiento a los almacenes de los operadores logísticos para verificar las tareas de carga y maniobra, en forma especial la penalización de proveedores y operadores logísticos que incumplen con los periodos de entrega. En fin, el seguimiento permanente a los almacenes estatales para verificar su capacidad de vaciamiento y la dispersión al interior de la entidad.",0.0,86,23,11,2021
JORGE ALCOCER VARELA,"En las dos últimas imágenes pueden ustedes ver algunas evidencias de la entrega de medicamentos a los estados, aquí señalado, y en la siguiente también las maniobras de logística que están acompañando desde hace una semana este compromiso.",0.0,38,23,11,2021
JORGE ALCOCER VARELA,Muchas gracias.,0.0,2,23,11,2021
JORGE ALCOCER VARELA," Sí, muchas gracias, presidente.",0.0,4,23,11,2021
JORGE ALCOCER VARELA,"En forma muy breve, lo que acaba de señalar es cierto, es una situación que se debe corregir, transformar, y de hecho ya se empezó con un nombramiento de una persona nueva en relación a esto y en lo que se está trabajando es precisamente en la unión de la SEP con la secretaría y todas las especialidades, y es una situación que se va a favorecer ahora que vamos a tener más especialistas, que es lo que estamos planteando.",0.0,80,23,11,2021
JORGE ALCOCER VARELA,"En breve los podré informar yo cuáles son los pasos que se están siguiendo, con mucho gusto.",0.0,17,23,11,2021
JORGE ALCOCER VARELA," No, no. Se necesita tener esa constancia, esa certificación y esa entidad, como parte de la secretaría que nos lleve a organizar bien estas especialidades, porque también ahí hay que meter mucho la herramienta de transformación porque se están abusando en muchas de esas gestiones de especialistas que deberían y pueden ser muy integradas y más fácilmente en el camino de la excelencia.",0.0,63,23,11,2021
JORGE ALCOCER VARELA," Con mucho gusto lo vemos, de inmediato.",0.0,7,23,11,2021
