Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
FABIOLA ALANIS SAMANO," Con su permiso, presidente. Buenos días a todas y a todos, secretaria Rosa Icela, presidenta Nadine, Elizabeth.",0.0,17,03,11,2021
FABIOLA ALANIS SAMANO,"Por instrucción presidencial acudimos hoy a este ejercicio de rendición de cuentas sobre las acciones que está realizando la Secretaría de Gobernación a través de la Comisión Nacional para la Prevención y Erradicación de la Violencia contra las Mujeres, la Conavim, para mejorar las condiciones de vida y de seguridad de las mujeres en nuestro país.",0.0,56,03,11,2021
FABIOLA ALANIS SAMANO,"Si me pasan la primera lámina, por favor. Aquí podemos ver e informar que durante la administración del presidente Andrés Manuel López Obrador se han invertido poco más de 300 millones de pesos en los Centros de Justicia para las Mujeres, se trata de la mayor inversión que ha dedicado una administración federal para este tipo de centros.",0.0,58,03,11,2021
FABIOLA ALANIS SAMANO,"Gracias a la colaboración con las autoridades estatales, hoy contamos con 56 centros en todo el país. Este año simplemente se inauguró San Luis Potosí y Uruapan, Michoacán, y gracias a esta red, en lo que va del año, se han atendido a 174 mil mujeres, es decir, todos los días en promedio 580 mujeres acuden a recibir atención sicológica, asesoría legal, médica, a poner una denuncia, a capacitarse para el empleo, etcétera.",0.0,73,03,11,2021
FABIOLA ALANIS SAMANO,"Informar que están por concluirse los centros, como podemos observar, en Gómez Palacio, Durango; en Cuauhtémoc, Chihuahua; y en Piedras Negras, Coahuila; y además ya se están construyendo los centros en Escárcega, Campeche; en la Magdalena Contreras, en San Luis Río Colorado y en Tlaxcala, para dar un total de 63 Centros de Justicia para las Mujeres.",0.0,57,03,11,2021
FABIOLA ALANIS SAMANO,"Quiero aprovechar este importante espacio para decirles a las miles de mujeres que nos escuchan que se acerquen, que pidan ayuda, que acudan a los centros de justicia, que la violencia no es normal y que estamos obligadas a brindarles protección y seguridad.",0.0,43,03,11,2021
FABIOLA ALANIS SAMANO,"Por otra parte, podemos observar y decir, primero, que las alertas de violencia de género sirven, deben servir para que las autoridades federales, estatales y municipales hagamos lo que nos toca para mejorar la vida y la seguridad de las mujeres.",0.0,41,03,11,2021
FABIOLA ALANIS SAMANO,"En lo que va de la presente administración la Secretaría de Gobernación a través de la Conavim ha decretado siete alertas de violencia de género: Baja California, Guerrero, Chihuahua, Estado de México, Sonora, Puebla y Tlaxcala. Se trata del mayor número decretado en menos de tres años en coordinación con el Inmujeres y con la Comisión Nacional de los Derechos Humanos.",0.0,61,03,11,2021
FABIOLA ALANIS SAMANO,"Como puede apreciarse en la lámina, 22 estados tienen alerta de violencia de género, con lo que uno de cada cuatro municipios del país están obligados a cumplir con acciones de seguridad, prevención, acceso a la justicia y reparación del daño para las mujeres y las niñas.",0.0,47,03,11,2021
FABIOLA ALANIS SAMANO,"Informar que para atender las alertas de violencia de género la Secretaría de Gobernación, a través de la Conavim realizó una inversión de 121 millones de pesos en acciones orientadas a la prevención de los feminicidios, la atención al rezago en las carpetas de investigación y la atención especializada a niñas y mujeres en las comunidades indígenas y afromexicanas.",0.0,59,03,11,2021
FABIOLA ALANIS SAMANO,"Los recursos sirvieron para la contratación de 787 profesionistas: abogadas, psicólogas, médicas, antropólogas forenses, trabajadoras sociales, traductoras, etcétera, que elaboran en 34 instituciones locales, principalmente en las fiscalías especializadas, en las Comisiones Ejecutivas de Atención a Víctimas, en las áreas de seguridad pública en las entidades federativas y también en las secretarías e institutos de las mujeres en todo el país.",0.0,61,03,11,2021
FABIOLA ALANIS SAMANO,"Hay que decir con toda responsabilidad que, a diferencia del pasado, nosotras no ocultamos ni maquillamos las cifras. La violencia por razones de género, la que ocurre en contra de las mujeres y las niñas por el hecho de ser mujeres es grave y es inocultable, y estamos actuando en consecuencia, practicando la autocrítica y mejorando, entre otras cosas, las alertas de violencia de género.",0.0,65,03,11,2021
FABIOLA ALANIS SAMANO,"Por esa razón, bajo la conducción del secretario Adán Augusto López y del subsecretario Alejandro Encinas, estamos trabajando de la mano con las y los gobernadores. Por ejemplo, la gobernadora de Chihuahua, la de Tlaxcala y la propia jefa de Gobierno en la Ciudad de México encabezan personalmente esta tarea. Con los gobernadores de Jalisco, Nuevo León, Sinaloa y Sonora acordamos recientemente reforzar el mecanismo de alerta de violencia de género e involucrar a todos sus gabinetes en esta misión.",0.0,80,03,11,2021
FABIOLA ALANIS SAMANO,"Finalmente, informar que contamos con un sistema de monitoreo que nos permite, en coordinación con la Secretaría de Seguridad que encabeza la secretaria Rosa Icela y las fiscalías de los estados, identificar los casos de violencia contra las mujeres y las niñas.",0.0,42,03,11,2021
FABIOLA ALANIS SAMANO,"En lo que va del año, en la Conavim hemos atendido a 594 víctimas y sobrevivientes de violencia, más de la mitad por violencia sexual y física. Hemos atendido 34 casos de feminicidios y siete de tentativa de feminicidio.",0.0,39,03,11,2021
