Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
DELFINA GOMEZ ALVAREZ," Buenos días, señor presidente; buenos días, jefa de Gobierno, compañeros de gabinete, medios de comunicación y quien nos ve a través de esta transmisión.",0.0,24,30,11,2021
DELFINA GOMEZ ALVAREZ,"En lo que se refiere al regreso a clases presenciales de este ciclo, tenemos el informe del número de escuelas abiertas, ya contamos con 197 mil 429, que son los que ahorita se han aperturado, y eso nos da gusto porque va a la alza.",0.0,45,30,11,2021
DELFINA GOMEZ ALVAREZ,"Alumnos que han regresado a las aulas, al igual, son 23 millones 499 mil 19, también a la alza.",0.0,19,30,11,2021
DELFINA GOMEZ ALVAREZ,"Y trabajadores de la educación que han regresado a las aulas, es un millón 789 mil 957.",0.0,17,30,11,2021
DELFINA GOMEZ ALVAREZ,"Quiero comentarles que seguimos atendiendo a través precisamente el correo y a través de llamadas, tenemos ahorita atendidas 34 mil 524 llamadas… perdón, correos, y en lo que se refiere a llamadas hemos atendido 233 mil 275.",0.0,37,30,11,2021
DELFINA GOMEZ ALVAREZ,"Todo esto es gracias al esfuerzo, al trabajo, empezando por gobierno federal, así como los gobiernos de los diferentes estados y, sin duda alguna, también el apoyo y la participación de las autoridades educativas, padres de familia, alumnos y muy en especial a nuestros maestros. Lo único que ahorita nos resta es decirles que agradecemos mucho esa participación, ese apoyo.",0.0,60,30,11,2021
DELFINA GOMEZ ALVAREZ,"Seguimos recomendando el que se siga el protocolo que se señaló a través de lo que es la Secretaría de Salud junto con Educación. Afortunadamente, ha habido esa comunicación y ese trabajo en equipo; como lo ha mencionado nuestro presidente, seguimos trabajando en colaboración y eso ha permitido que tengamos este avance en lo que se refiere al regreso.",0.0,59,30,11,2021
DELFINA GOMEZ ALVAREZ,"Contamos nuevamente… Además, comento que seguimos con las formas de contacto, ahí están tanto lo que es a través de teléfonos como es correos y quedamos a sus órdenes.",0.0,29,30,11,2021
DELFINA GOMEZ ALVAREZ,"Pero, de verdad, muchas gracias a toda la comunidad escolar por este esfuerzo que está haciendo y muy en especial a nuestros pequeñitos, a nuestros maestros, a nuestros jóvenes. Y pues a seguirnos cuidando.",0.0,34,30,11,2021
DELFINA GOMEZ ALVAREZ,Muchísimas gracias.,0.0,2,30,11,2021
