Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
HUGO LOPEZ-GATELL RAMIREZ," Muchas gracias, señor presidente. Muchas gracias, muy bien día. Secretarias, secretarios, colegas muy buenos días tengan todos ustedes.",0.0,18,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Vamos a comentar sobre el Pulso de la Salud, la situación de la pandemia de COVID y el avance de la vacunación contra COVID-19.",0.0,24,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Como vemos en esta primera imagen, que es la curva epidémica de agregación semanal, abrimos la semana con una reducción de menos seis por ciento, en este momento es de menos cinco por ciento, y estamos en esta fase de estabilidad en la transmisión, no hay todavía una tendencia generalizada al alza y en algunas entidades federativas que, como saben ustedes, pasaron a semáforo amarillo hay cierta tendencia al alza, particularmente en la zona norte del país, pero el resto del país se mantiene todavía con tendencias a la baja, 0.4 por ciento son los casos activos.",0.0,97,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"En la hospitalización, lo que vemos es que permanece la tendencia a la reducción, se siguen vaciando las unidades COVID y esto atiende a que hay menos ingresos, menos pacientes enfermos nuevos que personas que salen en recuperación.",0.0,38,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Y un elemento que es especialmente importante que comentemos es el cierre del ciclo escolar, lo comentará la maestra Delfina, secretaria de Educación Pública. Pero en el monitoreo conjunto que hacemos, junto con la Secretaría de Educación Pública en todo el país podemos constatar que desde que se abrieron las aulas el 30 de agosto pasado hasta este momento no ha habido ninguna repercusión respecto a los contagios de COVID-19.",0.0,70,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"En algún momento esto fue una preocupación social que nos parece importante de atender y por eso lo hemos ido presentando cotidianamente, que no tenemos impacto negativo, es decir, la tendencia de reducción de casos también se presentó en la niñez y en la adolescencia, y, por lo tanto, las escuelas no fueron sitios de amplia propagación de COVID-19.",0.0,59,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"La siguiente nos muestra que solamente 0.13 por ciento de las escuelas tuvieron alguna afectación, la mayoría fueron afectaciones parciales, algún grupo que tuvo uno o dos casos, pero no se propagó al interior de la escuela ni en todo el Sistema Educativo Nacional.",0.0,44,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Vamos a pasar a la vacunación. Hemos recuperado un ritmo acelerado de vacunación con arriba de 500 mil dosis aplicadas; ayer en concreto, 548 mil 220 y esto atiende en buena medida a que abrimos puestos de alta eficiencia para la aplicación del refuerzo.",0.0,44,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Como presentamos el martes pasado, se ha incluido ya el refuerzo de vacuna para todas las personas de 60 años de edad en adelante.",0.0,24,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"La siguiente nos muestra que 137, casi 138 millones de dosis de vacunas han sido aplicadas a casi 81 millones de personas y la gran mayoría, 82 por ciento, con el esquema completo.",0.0,33,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"El restante, que está en espera de completar el esquema, es porque en el calendario de vacunación individual para cada persona estamos en espera que se completen los días necesarios para aplicar la segunda dosis.",0.0,35,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Y en la cobertura tenemos: ya 87 por ciento de la población ha sido cubierta, esta es la población elegible en su momento, que es la población adulta mayor de 18, y posteriormente se han incorporado, como sabe, las personas de 12 a 17 con comorbilidades y de 15 a 17 años.",0.0,52,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Aquí en algunas entidades federativas hemos tenido muy buen progreso, en especial destaco Chiapas. En esta diapositiva todavía aparece con el 61 por ciento, en realidad ya está en 65 por ciento y esto ha sido un trabajo muy minucioso de ir comunidad por comunidad ofreciendo la vacuna a cada rincón del país. Lo estamos haciendo para todo el país, pero hemos tenido un avance acelerado en este par de semanas recientes, particularmente en Chiapas.",0.0,75,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Y 185 millones de dosis, casi 186, han sido recibidas, seguramente terminaremos el año con 200 millones de dosis ya recibidas.",0.0,21,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Y la última nos muestra el calendario que, como hemos estado mencionando, Pfizer está en un abastecimiento de casi dos millones de dosis por semana y lo mismo AstraZeneca; tenemos una liberación de la vacuna que se envasa en México en cantidades importantes, seis millones de dosis de vacunas estarán siendo recibidas en esta semana.",0.0,55,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Y la última es un recordatorio. Cuando anunciamos la dosis de refuerzo indicamos que no se necesitaría registro previo; sin embargo, hemos identificado que es conveniente tener el registro previo. La razón fundamental es para facilitar los procesos de registro en personas adultas mayores.",0.0,44,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"No queremos que estén mucho tiempo en espera en los centros de vacunación, entonces si ya llegan con su papeleta de vacunación, que será válida como comprobante de vacunación, ya es mucho más fácil, solamente se agrega el lote y la fecha y ya tienen su comprobante.",0.0,47,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Entonces, es importante que se registren, la mecánica es muy simple y es, como lo hemos comentado, en el portal Mi vacuna, sólo se requieren algunos datos básicos: la CURP, la fecha de la última dosis y datos del domicilio. El propio sistema emite una papeleta, esa papeleta hay que conservarla, ya viene el nombre preimpreso y en el centro de vacunación se agregan los datos de la inmunización y ese es el comprobante que será válido.",0.0,77,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,Muchas gracias.,0.0,2,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ," Muchas gracias, presidente. Con mucho gusto comento sobre esto. Gracias, Liliana Noble, de Pulso Saludable.",0.0,15,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,Hoy en el Senado van a ocurrir dos cosas respecto a tabaco.,0.0,12,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Una es: llega al Senado como cámara revisora una iniciativa, una minuta ya aprobada por unanimidad en la Cámara de Diputados la semana pasada que propone una reforma a la Ley General de Control de Tabaco.",0.0,36,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Los dos elementos principales de esta reforma son establecer espacios 100 por ciento libres de humo, 100 por ciento libres de humo de tabaco; y lo segundo, regular de manera estricta la publicidad, propaganda y patrocinio de los productos del tabaco.",0.0,41,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Esta nos parece muy positiva, esta es muy positiva, tiene todos los elementos técnicos, estaba basada en el Convenio Marco para el Control del Tabaco, que es un tratado internacional vinculante para el Estado mexicano desde que se aprobó y es un elemento que nos permite actualizarnos en un rezago muy grande que tenemos, tiene México, con el control de trabajo porque durante el sexenio 2012-2018 prácticamente se abandonó todos los compromisos que este tratado internacional contempla. Insisto en que el Convenio Marco para el Control del Tabaco es un tratado internacional, es de cumplimiento obligatorio para el Estado mexicano, pero se abandonó durante el sexenio 2012-2018.",0.0,107,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,Con esta reforma a la ley nos ponemos más o menos al día y ojalá que en el Senado de la República exista el consenso para evitar cualquier distracción.,0.0,29,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Sabemos que hay una reserva que ha sido presentada por un senador y esa reserva surgió un poco mágicamente la semana pasada cuando sabemos que cabilderos de Philip Morris International estuvieron rondando el Senado, para decirlo con toda y absoluta claridad.",0.0,41,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Ahora, lo segundo y es los detalles a los que se refería el presidente, es otro truco, otro detalle. La ley general de impuestos, la Ley de Impuestos Generales de Importación y Exportación tiene que ser actualizada, es un proceso de armonización regulatoria internacional. No tenemos ningún inconveniente con ello, excepto que en la tabla de fracciones arancelarias se enlista la fracción que corresponde a los dispositivos electrónicos de consumo de tabaco, que son de tres clases: los vapeadores, los vapeadores sin nicotina y los cigarrillos electrónicos.",0.0,87,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Como ustedes conocen, el 19 de febrero de 2020 el presidente López Obrador, en uso de las atribuciones que le confiere el artículo 131 de la Constitución, estableció esa fracción arancelaria y la prohibición de importación de esos productos y sus aditamentos, sus cartuchos.",0.0,44,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"En julio, el 16 de julio se publicó un decreto en donde también hubo algunos ajustes inconvenientes que el presidente consideró debían ser reparados y el 22 de octubre se estableció un nuevo decreto que ratifica la prohibición de la importación de vapeadores y cigarrillos electrónicos y sus cartuchos. Ese decreto está vigente, 22 de octubre, es un decreto del presidente.",0.0,61,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Pero ahora en esta ley, en esta iniciativa de reforma a la Ley de Impuestos de Importación y Exportación aparece la palabra ‘excepto’, para excluir a los cigarrillos electrónicos en donde Phillip Morris International es el preponderante para que no sean prohibidos y sólo se prohíben vapeadores.",0.0,47,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Hay dos inconvenientes obvios, uno para la salud, los tres tipos de productos son muy dañinos a la salud. Más allá de ser productos del tabaco, por su naturaleza específica son adicionalmente muy dañinos a la salud y deben ser prohibidos por razones de salud.",0.0,45,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"El segundo inconveniente es de tipo comercial. Al prohibir los vapeadores y no prohibir los cigarrillos electrónicos, se establece obviamente una situación de discriminación que sería repudiada en tribunales por asuntos comerciales. Y consideramos que es un truco, porque precisamente eso es lo que se pretende: inducir un litigio estratégico por parte de la industria tabacalera para que se quite la prohibición en su conjunto.",0.0,65,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Entonces, en resumen, una iniciativa muy positiva de reforma a la Ley General de Control de Tabaco para establecer espacios libres de humo y control de la publicidad, y un truco en donde se intenta a través de la Ley de Impuestos Generales a la Exportación y la Importación quitar la prohibición, ya vigente desde el 22 de octubre, de los tres tipos de producto novedoso del tabaco.",0.0,68,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,Muchas gracias.,0.0,2,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ," Es el senador Fócil, así se apellida, él es el que ha presentado la reserva y hoy será discutido, es el primer punto de la agenda del Senado hoy día.",0.0,30,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ," Gracias, maestro. Con su permiso, presidente.",0.0,6,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Efectivamente, ayer atentos a la conferencia oímos la pregunta y siguiendo la instrucción del presidente queremos comentar al respecto.",0.0,19,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Los Centros de Integración Juvenil son una asociación civil que fue establecida hace 52 años, en 1969, durante un tiempo en donde el Estado mexicano, el gobierno mexicano, no tenía realmente un aparato institucional para enfrentar el problema en ese momento creciente o emergente de adicciones.",0.0,46,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"A lo largo de varios años los Centros de Integración Juvenil han hecho un trabajo importante de atención clínica, de investigación, de vinculación social, que ha contribuido a las capacidades del Estado mexicano. Sin embargo, a lo largo de posiblemente los últimos 12 o 15 años el problema ha sido tan amplio y tan rápidamente creciente que se ha requerido de otros mecanismos más comprensivos para la atención de las adicciones.",0.0,71,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"El establecimiento de la Comisión Nacional Contra las Adicciones, todavía existente, ha sido un pilar fundamental.",0.0,16,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Cuando aparecieron los Capas… Capas son los Centros Ambulatorios de Prevención de Adicciones, hay más de 350 en el país, se complementan con 45 Centros Integrales de Salud Mental y este es el aparato institucional que existe, además de las instituciones de seguridad social que tienen algunos recursos al respecto.",0.0,50,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,¿Qué está ocurriendo en este momento?,0.0,6,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,Estamos haciendo una revisión muy profunda de ese aparato institucional del papel que pudieran jugar las asociaciones civiles.,0.0,18,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"La Ley Orgánica de la Administración Pública contempla desde 1982 la sectorización de los Centros de Integración Juvenil y reciben presupuesto federal directamente, el Presupuesto de Egresos de la Federación establece el financiamiento, que es más de 800 millones de pesos para los Centros de Integración Juvenil.",0.0,47,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"En cambio, tenemos un presupuesto menor para la Comisión Nacional Contra las Adicciones y consideramos que existen algunos desbalances importantes respecto a la distribución, no sólo del presupuesto, sino de la capacidad operativa.",0.0,33,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Desde que empezó el sexenio, con el acuerdo del presidente y la instrucción del maestro Alcocer estamos configurando la Comisión Nacional de Salud Mental y Adicciones, que de manera integral incluye los servicios de atención siquiátrica, el Consejo Nacional de Salud Mental y la Comisión Nacional contra las Adicciones. Nuestro propósito es tener mayor eficiencia, es decir mayor capacidad operativa con menor gasto de dinero para que sea una inversión productiva en la salud de la población.",0.0,77,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Termino señalando que la Estrategia Nacional de Prevención contra las Adicciones o Prevención de las Adicciones Juntos por la Paz que presentamos aquí el 5 de julio de 2019 es muestra del éxito que tenemos cuando integramos a todas las instituciones, en este caso no sólo del sector salud, sino toda la administración pública en un propósito común. La estrategia, la ENPA ha tenido un desarrollo muy acelerado con una amplia cobertura cuando nos hemos enfocado a la prevención.",0.0,79,14,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Entonces, en su momento estaremos comentando detalles sobre las nuevas disposiciones que tengamos respecto a Centros de Integración Juvenil para optimizar también la participación de otro tipo de instituciones.",0.0,29,14,12,2021
