Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
LUISA MARIA ALCALDE LUJAN," Muchas gracias. Gracias, presidente.",0.0,4,02,12,2021
LUISA MARIA ALCALDE LUJAN,"Como bien acaba de informar el presidente, el día de ayer, en el seno de la Conasami, que es la Comisión Nacional de Salarios Mínimos, se llegó a un consenso, a un acuerdo por unanimidad del sector empresarial, el sector obrero y por supuesto el gobierno para decidir respecto al incremento que aplicará a partir del 1º de enero del próximo año en el salario mínimo.",0.0,66,02,12,2021
LUISA MARIA ALCALDE LUJAN,"El incremento será del 22 por ciento; esto, tanto para el salario mínimo general como para el salario mínimo en la Zona Libre de la Frontera Norte.",0.0,27,02,12,2021
LUISA MARIA ALCALDE LUJAN,¿Qué quiere decir para todas y todos los trabajadores que nos están escuchando?,0.0,13,02,12,2021
LUISA MARIA ALCALDE LUJAN,"Quiere decir que a partir del 1º de enero el salario mínimo pasará de 141 pesos diarios a 172 pesos diarios. Esto significa, si lo vemos en términos mensuales, un incremento de 948 pesos adicionales al mes. Con este, que es el cuarto incremento consecutivo, alcanzamos a recuperar el 71 por ciento del poder adquisitivo del salario mínimo.",0.0,58,02,12,2021
LUISA MARIA ALCALDE LUJAN,"En el caso de la Zona Libre de la Frontera Norte pasará de 213 pesos diarios a 260 pesos diarios. Con este incremento, en términos mensuales, es un incremento de mil 428 pesos adicionales. Es una recuperación, en el caso de la Zona Libre de la Frontera Norte, de 160 por ciento del poder adquisitivo del salario mínimo. Recordemos que, en este caso, a finales de 2018 se duplicó el salario mínimo y se ha venido incrementando año con año, por eso la diferencia, en este caso 160 por ciento de recuperación del poder adquisitivo del salario mínimo.",0.0,98,02,12,2021
LUISA MARIA ALCALDE LUJAN,Aquí lo podemos ver por kilos de tortilla. Estamos llegando actualmente a 10 kilos de tortilla. Alcanza o alcanzará en 2022 con el salario mínimo para adquirir 10 kilos de tortilla. Si lo comparamos con 2018 se puede comprar hoy en día 3.5 kilos de tortilla más que en este año.,0.0,51,02,12,2021
LUISA MARIA ALCALDE LUJAN,"Este incremento va a beneficiar de manera directa a 6.3 millones de trabajadoras y trabajadores que ganan el salario mínimo, por supuesto que también a millones de familias adicionales porque, al incrementar los ingresos, también se puede comprar más, se fortalece el poder de compra, entonces se puede comprar en los diferentes negocios, servicios y eso ayuda a fortalecer la economía local.",0.0,62,02,12,2021
LUISA MARIA ALCALDE LUJAN,"Para darnos una idea, este 6.3 millones de trabajadores representa el 30 por ciento de los trabajadores inscritos en el Instituto Mexicano del Seguro Social.",0.0,25,02,12,2021
LUISA MARIA ALCALDE LUJAN,"Aquí podemos ver un comparativo internacional. En 2010 nos encontrábamos en la posición número 80, ahora para 2022 vamos a ascender 13 posiciones comparativamente para llegar a la posición número 67, por encima ya de países como Colombia, Perú, Guinea Ecuatorial, Ucrania, entre otros.",0.0,44,02,12,2021
LUISA MARIA ALCALDE LUJAN,"Y esta trayectoria, que es muy interesante, se puede ver muy bien cómo empezó la caída del salario mínimo de manera muy brusca, después vino toda una etapa donde se mantuvo, no hubo incrementos, una política de contención al salario mínimo y posteriormente ya a partir de 2018 iniciamos con incrementos significativos; estamos llegando actualmente al poder de compra que se tenía en 1984.",0.0,64,02,12,2021
LUISA MARIA ALCALDE LUJAN,"Aquí se puede observar, está 1984 y cómo, a partir de 2022, vamos a alcanzar este poder adquisitivo. La idea por supuesto, presidente, es continuar con una política de recuperación sostenida durante los próximos años.",0.0,35,02,12,2021
LUISA MARIA ALCALDE LUJAN,"Entonces, lo importante, lo relevante a destacar es que todas y todos los trabajadores sepan que el salario mínimo incrementará este 22 por ciento y que esto aplicará a partir del 1º de enero del próximo año.",0.0,37,02,12,2021
LUISA MARIA ALCALDE LUJAN,"Por supuesto, reconocer, como ya aquí lo señaló el presidente, que haya acompañado el sector empresarial. Esto tiene que ver también con que el propio liderazgo del presidente ha venido ayudando a sensibilizar a los diferentes sectores de la necesidad de ir avanzando en la recuperación del poder adquisitivo del salario mínimo.",0.0,52,02,12,2021
LUISA MARIA ALCALDE LUJAN,"Es cuanto, presidente.",0.0,3,02,12,2021
