Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
OCTAVIO ROMERO OROPEZA," Buenos días, señor presidente; muy buenos días a todas y a todos.",0.0,12,28,12,2021
OCTAVIO ROMERO OROPEZA,"Vamos a hablar hoy de las 10 tareas de Petróleos Mexicanos, de Pemex, que nos van a permitir alcanzar la autosuficiencia energética y garantizar que los precios de los combustibles no se incrementen, no incrementen su precio en términos reales, entre otras cosas.",0.0,43,28,12,2021
OCTAVIO ROMERO OROPEZA,"Si me permite, presidente.",0.0,4,28,12,2021
OCTAVIO ROMERO OROPEZA,"La primera tarea, la primera tarea tiene que ver con las reservas de hidrocarburos. En esta lámina podemos observar cómo las reservas han venido… vinieron disminuyendo desde el 2012 de 13 mil 800 millones de barriles a siete mil millones al inicio de esta administración.",0.0,45,28,12,2021
OCTAVIO ROMERO OROPEZA,"Nosotros hemos alcanzado estos números en los dos primeros años y la idea es dejar el mismo número de barriles que encontramos, un poquito más, 7.1 millones de barriles. Esta es nuestra proyección en cuanto a reservas para el año 2024.",0.0,41,28,12,2021
OCTAVIO ROMERO OROPEZA,"La que sigue, por favor. En la producción de hidrocarburos es la siguiente. En noviembre del 18, un mes antes de iniciar esta administración, la producción era del orden de un millón 719 millones de… un millón 719 mil barriles. Vamos a… hoy estamos en un millón 756 y alcanzaremos en el 2024 los dos millones de barriles, que es el objetivo que nos ha planteado el señor presidente de la República.",0.0,72,28,12,2021
OCTAVIO ROMERO OROPEZA,"La que sigue, por favor. adelante. Esta gráfica habla del cambio de modelo al que se ha referido el presidente en diversas ocasiones. En estas barras podemos observar en el color marrón el número de barriles que se procesan en las refinerías en el Sistema Nacional de Refinación. Si ustedes observan, en noviembre del 18 se procesaban 506 mil barriles y se exportaba un millón 190, para el año 2021 ya estamos procesando 714 mil barriles y estamos exportando un millón 19 mil barriles.",0.0,84,28,12,2021
OCTAVIO ROMERO OROPEZA,"Para el 2022, es decir, el próximo año ya estaremos procesando un millón y medio de barriles en nuestras refinerías, sobre todo porque va a entrar la refinería de Deer Park y vamos a exportar el próximo año nada más 435 mil barriles.",0.0,43,28,12,2021
OCTAVIO ROMERO OROPEZA,"En el 22 va a incrementar el SNR con sus seis refinerías, Cadereyta, Madero, Minatitlán, Salamanca, Tula, Salina Cruz, van a incrementar su producción, va a entrar Deer Park y por eso nos vamos a un millón 500 y la exportación se reduce a 435.",0.0,45,28,12,2021
OCTAVIO ROMERO OROPEZA,"Pero ya para el 23 y para el 24 prácticamente toda la producción de Pemex se va a procesar, se va a refinar, porque va a entrar ya en operación la refinería de Dos Bocas y el proyecto de Cangrejera que también va a refinar más de 100 mil barriles, de manera que prácticamente el 100 por ciento del crudo mexicano se va a refinar en nuestro país para garantizar el abasto de combustibles.",0.0,74,28,12,2021
OCTAVIO ROMERO OROPEZA,"La que sigue, por favor. Esta gráfica lo único que pretende es manifestar los volúmenes del SNR de Dos Bocas y de Deer Park, es cómo se distribuirá el crudo mexicano.",0.0,31,28,12,2021
OCTAVIO ROMERO OROPEZA,Le cedería yo la palabra a la secretaria de Energía.,0.0,10,28,12,2021
