Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Buenos días.,0.0,2,28,12,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Vamos a tratar hoy martes lo relacionado con la salud, la pandemia, el comportamiento de la nueva variante, cómo va el programa de vacunación nacional.",0.0,25,28,12,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y también acordamos que se iban a dar a conocer los puntos básicos para la recuperación de Pemex, en el propósito de que se cuide el petróleo, que es de la nación, que es del pueblo, que se utilice para el consumo interno, que ya se continúe vendiendo petróleo crudo y comprando gasolinas, que se mantengan precios justos por los combustibles, que no haya gasolinazos, toda esta política que está en marcha y que ha implicado inversión desde el principio, mucho trabajo, mucho apoyo solidario de trabajadores, de técnicos y un trato también especial a Pemex, porque antes se le quitaban todos sus ingresos, ahora se les dejan recursos para que puedan operar.",0.0,113,28,12,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"En fin, vamos a informar sobre Pemex y comenzamos con la salud, son dos temas de interés general, de interés público. Vamos a pedirle al doctor Hugo López-Gatell que él inicie; luego, el general, para la distribución de vacunas, de medicamentos, todo el apoyo que hemos recibido de las Fuerzas Armadas para que lleguen las vacunas, que lleguen los medicamentos, que se esté atendiendo a la población hasta de las comunidades más apartadas, a todos los mexicanos; luego, Rocío Nahle y Octavio Romero, secretaria de Energía y director de Pemex, van a hablar sobre el tema del rescate de esta empresa de la nación.",0.0,104,28,12,2021
HUGO LOPEZ-GATELL RAMIREZ," Gracias, presidente. Con su permiso.",0.0,5,28,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Muy buenos días, secretarias, secretarios, director. Muy buenos días tengan todas y todos ustedes.",0.0,14,28,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Vamos a comentar, en el Pulso de la Salud, sobre la pandemia de COVID-19 y sobre el avance del programa de vacunación y cuáles son las prioridades.",0.0,27,28,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Vemos en nuestra gráfica acostumbrada la curva epidémica de agregación semanal cómo abrimos la semana, todavía con una reducción de casos estimados con respecto a la semana previa y en este caso abrimos con menos ocho por ciento, en este momento menos siete por ciento, terminaremos seguramente la semana con una reducción de, al menos, menos uno o menos dos por ciento.",0.0,62,28,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Y la tendencia se ve todavía presente en reducción para las hospitalizaciones, se siguen desocupando las unidades COVID en la medida en que existen menos hospitalizaciones que personas que egresan. La reducción absoluta, comparada con el punto máximo de la segunda ola es de menos 92 por ciento, solamente 11 por ciento de las camas COVID que están para terapia intensiva están ocupadas y 13 por ciento de las camas generales.",0.0,71,28,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Vemos también que hemos tenido una continuidad de la operación de la vacunación y tenemos las prioridades ya indicadas. Lo hemos planteado varias veces, estamos con los refuerzos —vamos a ver la siguiente, por favor— en personas adultas mayores de 60 años en forma generalizada en todo el país.",0.0,49,28,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"Estamos continuando con la expansión territorial de la cobertura en zonas apartadas, donde hay una complejidad operativa importante, pero no hemos dejado de llegar hasta los últimos poblados de menos de mil habitantes que están dispersos; particularmente retador en las zonas donde existe orografía muy complicada, hay montañas altas, hay que llegar hasta los últimos poblados.",0.0,56,28,12,2021
HUGO LOPEZ-GATELL RAMIREZ,"También iniciamos con la vacunación al personal de salud en algunas entidades federativas en donde estaba lista toda la capacidad logística, y esto ocurrió en siete estados en la semana recién terminada, pero continuaremos en toda la República.",0.0,38,28,12,2021
