Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PAMELA LOPEZ RUIZ," Con su permiso, señor presidente. Buen día, secretaria, secretarios, subsecretarios, compañeros de gabinete, medios y a todos los que nos siguen en transmisión.",0.0,23,30,12,2021
PAMELA LOPEZ RUIZ,"Agradezco y me honra formar parte de este presídium representando el programa La Escuela es Nuestra, uno de los programas prioritarios de esta administración.",0.0,24,30,12,2021
PAMELA LOPEZ RUIZ,"El programa La Escuela es Nuestra tiene como principios fundamentales la transparencia, autogestión comunitaria, toma de decisiones y trabajo colectivo, el fomento de la economía local y evitando así la intermediación en el manejo de los recursos.",0.0,37,30,12,2021
PAMELA LOPEZ RUIZ,"Debido a lo anterior, y como se señaló desde de los orígenes del programa, es importante apoyar de manera directa a la gente y entregar a las comunidades lo que les corresponde.",0.0,32,30,12,2021
PAMELA LOPEZ RUIZ,"Ese es el verdadero objetivo de este programa, destinar el presupuesto de manera directa a cada escuela para que madres y padres de familia en colectivo con los maestros mejoren sus espacios educativos.",0.0,33,30,12,2021
PAMELA LOPEZ RUIZ,"Como podemos apreciar en la siguiente diapositiva, en el 2021 se destinaron apoyos a 68 mil 670 escuelas que conformaron su comité escolar de administración participativa, distribuidos proporcionalmente a la cantidad de escuelas existentes en los diferentes estados de la república.",0.0,41,30,12,2021
PAMELA LOPEZ RUIZ,"La diapositiva también refleja el presupuesto ejercido total de 13 mil 590 millones 700 mil pesos ejercidos —ahí lo vemos en su distribución por entidad— teniendo como localidades prioritarias poblaciones con alto índice de marginación, comunidades indígenas y carencia de servicios básicos, sin dejar de lado el resto de la república.",0.0,51,30,12,2021
PAMELA LOPEZ RUIZ,"Tenemos el ejemplo de Veracruz, al que destinamos ocho mil 448 apoyos; también tenemos el caso de Chiapas, con 11 mil; el caso de Guerrero, que también está, con cinco mil 500, cerca; y Oaxaca, con ocho mil 870.",0.0,39,30,12,2021
PAMELA LOPEZ RUIZ,"Continuaremos con la encomienda de beneficiar a más planteles de acuerdo con el número de alumnos. Si es una escuela de uno a 50 alumnos, se otorgan 150 mil pesos; si la matrícula es de 51 a 150 alumnos, 200 mil pesos, y de 50 alumnos en adelante serán 500 mil pesos.",0.0,52,30,12,2021
PAMELA LOPEZ RUIZ,"Por otro lado, nos sumamos al esfuerzo ante el regreso a clases por la pandemia del COVID en el periodo comprendido entre septiembre a diciembre y se les recomendó a comités que el uso de los recursos del programa se utilizaran en obras que contribuyeran a mejorar los servicios básicos de saneamiento e higiene.",0.0,54,30,12,2021
PAMELA LOPEZ RUIZ,"Y como lo ha encomendado el presidente, vamos a atender a todos, vamos a escuchar a todos, vamos a respetar siempre a todos y le vamos a dar preferencia a los más vulnerables, en este caso es la atención que tenemos en La Escuela es Nuestra.",0.0,46,30,12,2021
PAMELA LOPEZ RUIZ,"Y es cuanto, señor presidente.",0.0,5,30,12,2021
