Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
GABRIEL CHAVEZ DE LA MORA," Señor presidente, Andrés Manuel López Obrador, y personalidades que nos acompañan y presiden esta celebración, ceremonia.",0.0,16,09,12,2021
GABRIEL CHAVEZ DE LA MORA,"En esta ceremonia, entre los que nos presiden, está también el ingeniero, don Francisco José Garaicochea, que también será galardonado junto conmigo.",0.0,22,09,12,2021
GABRIEL CHAVEZ DE LA MORA,"Agradezco al arquitecto Francisco Reygadas Valdez, presidente de la Academia Nacional de Arquitectura, el mostrar la presentación y semblanza que me hizo, con afecto y todo el respeto.",0.0,28,09,12,2021
GABRIEL CHAVEZ DE LA MORA,"Le agradezco, señor presidente, don Andrés Manuel López Obrador, que haya aceptado entregarme este reconocimiento nacional, que honra a nuestro gremio, la arquitectura, del Premio Nacional de Arquitectura 2020, galardón otorgado por conducto de la Asociación de Ingenieros y Arquitectos de México, que preside el arquitecto Ricardo Rodríguez Romero.",0.0,49,09,12,2021
GABRIEL CHAVEZ DE LA MORA,"Lo recibo como un estímulo para continuar con entusiasmo este servicio profesional de la arquitectura, que es mi ministerio y diaconía como religioso benedictino y presbítero.",0.0,26,09,12,2021
GABRIEL CHAVEZ DE LA MORA,"Mi actividad como arquitecto ha sido principalmente del género religioso, arquitectura de iglesias, de sus conjuntos y anexos y el arte sacro, artes y artesanías que integran a la arquitectura, arquitectura religiosa, litúrgica, en propuestas contemporáneas.",0.0,36,09,12,2021
GABRIEL CHAVEZ DE LA MORA,"Esta, mi labor, ha respondido a una etapa importante de cambios en la Iglesia católica, el Concilio Vaticano II, tanto en obras nuevas como en la adaptación de las obras anteriores.",0.0,31,09,12,2021
GABRIEL CHAVEZ DE LA MORA,"La Iglesia católica, hace ya más de 50 años en su Concilio Ecuménico Vaticano II revisó sus estructuras en un esfuerzo inspirador de adecuación a la época; por lo tanto, revisó su culto, su liturgia. Fue un retorno de las fuentes recuperando valores, retirando adiciones y, desde luego, en la lengua del lugar, propiciando la participación en las celebraciones. Esta renovación provocó en la arquitectura de las iglesias nuevas expresiones.",0.0,70,09,12,2021
GABRIEL CHAVEZ DE LA MORA,"Bien sabemos, la arquitectura es resultado-consecuencia de las actividades que alberga, la forma arquitectónica es consecuencia de lo que acude dentro de ella, lo que desempeñan sus moradores. Así, los cambios litúrgicos pidieron espacios nuevos.",0.0,35,09,12,2021
GABRIEL CHAVEZ DE LA MORA,La centralidad de la liturgia como cumbre y fuente de toda la actividad de la Iglesia provocó nuevas organizaciones pastorales y por eso nuevos espacios celebrativos con sus anexos y servicios.,0.0,31,09,12,2021
GABRIEL CHAVEZ DE LA MORA,"De estos conceptos, entre otras cosas, dirigí yo un programa arquitectónico para un centro parroquial, teólico ideal, pero modélico, Centro Pastoral Casa del Pueblo de Dios, haciendo guías y diagramas para facilitar su uso, su planeación y diseño.",0.0,38,09,12,2021
GABRIEL CHAVEZ DE LA MORA,"Con los nuevos materiales y nuevas técnicas constructivas son posibles nuevos espacios, conformes y adecuadas a las celebraciones renovadas.",0.0,19,09,12,2021
GABRIEL CHAVEZ DE LA MORA,"He preferido una arquitectura modesta, de austera sencillez, destacando la verdad en sus materiales, no ya las místicas formas y alturas del arte gótico ni los brillos y roleos del Barroco; formas nuevas de sencillez funcional, pero con la misma carga de poesía y de belleza y de mensaje inspirador.",0.0,50,09,12,2021
GABRIEL CHAVEZ DE LA MORA,"Considero que la arquitectura integra artes y artesanías, y así se manifiestan de manera muy importante en la arquitectura religiosa. Por eso he diseñado pinturas, esculturas, relieves, vitrales, mosaicos, mobiliario, equipamiento, el ajuar litúrgico, orfebrería, insignias, vestimentas, ornamentaciones, hasta artes gráficas; todo lo que complementa y se integra al diseño arquitectónico.",0.0,51,09,12,2021
GABRIEL CHAVEZ DE LA MORA,"Agradezco a las agrupaciones y asociaciones, instituciones que me han postulado a este premio. Lo asumo con responsabilidad y entusiasmo.",0.0,20,09,12,2021
GABRIEL CHAVEZ DE LA MORA,Agradezco este reconocimiento y lo comparto con mis profesores y compañeros de las primeras generaciones de nuestra Escuela de Arquitectura de la Universidad de Guadalajara.,0.0,25,09,12,2021
GABRIEL CHAVEZ DE LA MORA,"Agradezco a quienes, confiando en mis propuestas, me han encomendado tareas.",0.0,11,09,12,2021
GABRIEL CHAVEZ DE LA MORA,"Gratitud desde luego, a tantos que me han ayudado o colaborado conmigo: arquitectos, ingenieros, artistas, artesanos y trabajadores.",0.0,18,09,12,2021
GABRIEL CHAVEZ DE LA MORA,"Así también, agradezco a mi comunidad benedictina, monjes benedictinos de la Abadía del Tepeyac, que me han permitido asumir encomiendas como ministerio exterior.",0.0,23,09,12,2021
GABRIEL CHAVEZ DE LA MORA,¿Le hago una petición?,0.0,4,09,12,2021
GABRIEL CHAVEZ DE LA MORA," Que su gobierno no recorte presupuestos; al contrario, que los robustezca, los presupuestos destinados a las entidades que velan por la protección, restauro, reconstrucción o mantenimiento de tantos edificios del amplio patrimonio cultural de nuestra historia, edificios que han sufrido afectaciones por el tiempo, los años, el clima, la naturaleza y hasta por los sismos.",0.0,55,09,12,2021
GABRIEL CHAVEZ DE LA MORA,"Muchas gracias, muchas gracias.",0.0,4,09,12,2021
