Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA," Buenos días, presidente López Obrador. Gracias por recibirnos en el Palacio Nacional. Soy Rafael Matus, del diario La Nación, preguntando en nombre de todos los colegas argentinos, tengo una pregunta para usted y también para el presidente Alberto Fernández.",0.0,39,23,02,2021
PREGUNTA,"Presidente quería preguntarle, en aras de lo que está ocurriendo en Argentina ¿qué otras medidas tomará para evitar más privilegios en la distribución de las vacunas?",0.0,26,23,02,2021
PREGUNTA,¿Y aceptaría la interpelación en el Congreso del jefe de gabinete y la creación de una comisión investigadora parlamentaria sobre lo que se ha llamado el escándalo de las vacunas VIPS?,0.0,31,23,02,2021
PREGUNTA,"Y para el presidente López Obrador, usted criticó la vacunación secreta para los de arriba en otros países ¿Qué medidas toma su gobierno para que eso no pase aquí en México?",0.0,31,23,02,2021
PREGUNTA,¿Y cómo planean ambos mejorar la equidad en la vacunación en la región?,0.0,13,23,02,2021
PREGUNTA,Y si piensa llevar el tema que han planteado al G-20 o a la Asamblea General de las Naciones Unidas.,0.0,20,23,02,2021
PREGUNTA,Muchas gracias.,0.0,2,23,02,2021
PREGUNTA, (Inaudible) sobre la posible interpelación.,0.0,5,23,02,2021
PREGUNTA, (Inaudible).,0.0,1,23,02,2021
PREGUNTA," Hola, buenos días. Marcos González, de BBC.",0.0,7,23,02,2021
PREGUNTA,"Les quería preguntar, primero, sobre la gestión de la pandemia. Hemos visto estrategias diferentes en los dos países. Argentina ha tenido uno de los confinamientos más largos, unas cuarentenas más estrictas de la región y al día de hoy tiene probablemente mejores resultados que México, que sigue desgraciadamente con la cifra más alta de muertes por COVID de América Latina en proporción a su población total, muertos por cada millón de habitantes.",0.0,72,23,02,2021
PREGUNTA,"Entonces, al presidente López Obrador le quería preguntar si sigue creyendo que no cerrar el tráfico aéreo, no imponer restricciones a la entrada de turistas, por ejemplo, ser uno los pocos países del mundo que no pide una prueba negativa, por ejemplo, de COVID a los turistas que entran, sigue siendo una buena estrategia, como sí ha hecho, por ejemplo, Argentina.",0.0,61,23,02,2021
PREGUNTA,"Y al presidente Fernández le quería pregunta por su opinión de un gesto que ha sido… Porque se lo he preguntado muchas veces al presidente López Obrador, y es el hecho de que no porte cubrebocas, en sus eventos, en sus actos públicos, como hemos visto, de hecho, hace unos minutos en la recepción antes de esta conferencia, en el que usted si portaba cubrebocas, pero el señor López Obrador no lo llevaba, y el ejemplo que eso supone para millones de personas que nos ven.",0.0,86,23,02,2021
PREGUNTA,Si me permiten o después les puedo hacer otra pregunta a cada uno en nombre de mis compañeros. ¿Se le hago ahora o seguido?,0.0,24,23,02,2021
PREGUNTA," ¿Sí? Bueno, pues para el presidente López Obrador, le quería preguntar si nos pudiera hacer un comentario, una valoración acerca de la detención ayer en Estados Unidos de Emma Coronel, la esposa de Joaquín ‘el Chapo’ Guzmán.",0.0,37,23,02,2021
PREGUNTA,"Y para el presidente Fernández, realmente dos cuestiones. Por una parte, ¿cuándo espera que Argentina alcance un acuerdo con el FMI?, ya que el Financial Times publicaba que la vicepresidenta Kirchner quiere retrasarlo para después de que pasa la pandemia.",0.0,40,23,02,2021
PREGUNTA,"Y, por otro lado, al hilo de lo que ya nos ha comentado del escándalo de las vacunas VIP, veíamos una encuesta, un estudio de la consultora Management & Fit, que decía que el 71 por ciento de los argentinos cree que deberían renunciar todos los funcionarios implicados en ese escándalo.",0.0,51,23,02,2021
PREGUNTA,Le quería preguntar si cree que la respuesta por su parte ha sido suficiente al hilo de este sentir de la población o si podríamos esperar más renuncias de funcionarios en los próximos días.,0.0,34,23,02,2021
PREGUNTA,Gracias.,0.0,1,23,02,2021
PREGUNTA," No habló de Emma Coronel, presidente.",0.0,6,23,02,2021
PREGUNTA, El acuerdo con el FMI,0.0,5,23,02,2021
