Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ALEJANDRO GERTZ MANERO, Muy buenos días.,0.0,3,24,02,2021
ALEJANDRO GERTZ MANERO,"Primero, me gustaría, si ustedes me lo permiten, darles una explicación general, porque ya oyeron ustedes muchos números y no nos vayamos a hacer bolas con ellos; entonces, vamos establecer una información que sea mucho más completa para ratificar todo lo que la señora secretaria nos ha comunicado.",0.0,48,24,02,2021
ALEJANDRO GERTZ MANERO,"Miren, en materia de justicia hay dos sanciones fundamentales: la primera es el castigo al delincuente y la segunda es la reparación del daño.",0.0,24,24,02,2021
ALEJANDRO GERTZ MANERO,"Uno de los propósitos más claros de este gobierno y del presidente de la República ha sido que esa reparación del daño, que no es una negociación, es un derecho, se cumpla a cabalidad y todos los bienes que han sido sustraídos al Estado mexicano puedan regresar para los fines sociales que son indispensables.",0.0,54,24,02,2021
ALEJANDRO GERTZ MANERO,"Entonces, hay que ver esto muy claro, no es una negociación, es simple y sencillamente la aplicación estricta de la ley en la sanción al delincuente y en la reparación del daño.",0.0,32,24,02,2021
ALEJANDRO GERTZ MANERO,"Todos estos bienes, todo este numerario del que estamos hablando es la reparación del daño que ha sufrido la nación mexicana, y ese daño ha sido recuperado a través de una serie de propósitos, tanto del Ejecutivo como de la procuración y de impartición de justicia de una manera muy clara, que es la que estamos el día de hoy informando.",0.0,61,24,02,2021
ALEJANDRO GERTZ MANERO,¿Qué es lo que ocurre?,0.0,5,24,02,2021
ALEJANDRO GERTZ MANERO,"Tanto la Marina, el Ejército, como la policía ministerial, ejecutan de muchas maneras actos; ellos, de prevención, y nosotros de procuración de justicia. Eso nos ha permitido no solamente el castigo a los delincuentes, sino la recuperación del daño por las cantidades de las que se ha hablado el día de hoy.",0.0,52,24,02,2021
ALEJANDRO GERTZ MANERO,"Entonces, esa recuperación del daño tiene un procedimiento judicial muy claro. Cuando la Defensa o la Marina tienen, por ser primeros respondientes, la oportunidad de asegurar bienes, ellos tienen la obligación de entregarlo, todo el numerario o los bienes, a la investigación que está llevando a cabo la fiscalía, que a su vez se somete a los jueces para pedirles que esos bienes puedan reparar el daño a la nación y regresar a los fines sociales que la nación demanda.",0.0,80,24,02,2021
ALEJANDRO GERTZ MANERO,"Y de esa manera es como se ha hecho esta tarea, que nunca había estado coordinada de esta manera, como ya se explicó, y que nos está dando los resultados que ustedes escucharon, de ahí que las cantidades que nosotros hemos tenido que transmitir, todas ellas, sin excepción, tienen que estar sancionadas por los jueces con una transparencia procesal absoluta.",0.0,60,24,02,2021
