Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RICARDO SHEFFIELD PADILLA," Muchas gracias, señor presidente. Muy buenos días. Un gusto volverlo a ver y que ya esté totalmente recuperado. muy buenos días a todas, a todos ustedes.",0.0,26,08,02,2021
RICARDO SHEFFIELD PADILLA,"Quién es quién en el precio de las gasolinas. La gasolina más cara la encontramos de franquicia Pemex, en Mascota, Jalisco, con un precio al público de 22 pesos centavos por litro, un margen de tres pesos 22 centavos, en comparación con el margen de 21 centavos de Combustibles BP en Puebla, Puebla, con un precio al público de 17 pesos con 94 centavos por litro de gasolina regular.",0.0,69,08,02,2021
RICARDO SHEFFIELD PADILLA,"En la gasolina Premium, el precio más alto lo encontramos en Naucalpan, en el Estado de México, es de Shell, a 22 pesos 99 centavos por litro, con un margen de cuatro pesos; mientras que el más económico, con un margen de 15 centavos está en Veracruz, Veracruz, de franquicia Pemex, 18 pesos 20 centavos por litro. Ahí se puede ver claramente la relación entre el margen y el precio que le dan al consumidor.",0.0,75,08,02,2021
RICARDO SHEFFIELD PADILLA,"Para el diésel, el más caro, G500, 22 pesos con 17 centavos por litro en Múgica, Michoacán, con un margen de tres pesos 24 centavos; mientras que franquicia Pemex, en Veracruz, Veracruz, tiene el diésel a 18 pesos con 73 centavos por litro, con un margen de 15 centavos.",0.0,49,08,02,2021
RICARDO SHEFFIELD PADILLA,"Si lo vemos por marcas, en la semana que cerró, Redo, Chrevron y Corpo Gas son los tres más caros. Corpo Gas se nos subió ahora entre los más caros, no estaba, estaba a media tabla; y Exxon Mobil, que estaba entre los más caros, a veces a media tabla, ahora es de los tres más baratos junto con G500 y Orsan.",0.0,62,08,02,2021
RICARDO SHEFFIELD PADILLA,"Si nosotros vemos, con corte al 5 de febrero, la mezcla mexicana de petróleo en 55 dólares con 17 centavos.",0.0,20,08,02,2021
RICARDO SHEFFIELD PADILLA,"Ese mismo día, el diésel a 20 pesos con 29 centavos, la Premium a 20 pesos con 24 centavos por litro y la regular a 19 pesos con 76 centavos.",0.0,30,08,02,2021
RICARDO SHEFFIELD PADILLA,"Importante comentarles a los consumidores que la Secretaría de Hacienda con el incentivo fiscal a la gasolina regular, esta semana el incentivo es de 14 centavos. Se evalúa, se revisa cada semana y nosotros en Profeco estaremos cuidando que esos 14 centavos por litro de incentivo fiscal efectivamente vayan a la bolsa de los consumidores, que no se lo queden los distribuidores de gasolina. Este incentivo fiscal es debido al tipo cambiario y al precio del petróleo a nivel internacional.",0.0,80,08,02,2021
RICARDO SHEFFIELD PADILLA,"En verificaciones, atendimos 235 quejas presentadas a través de la app de Litro por Litro, donde ustedes pueden presentar todas las quejas y las atendemos en la misma semana a través de 149 visitas o verificaciones que hicimos en la semana.",0.0,41,08,02,2021
RICARDO SHEFFIELD PADILLA,"Dos gasolineras no se dejaron verificar. Es Serviavilas, de Angostura, Sinaloa, en la carretera 500; y Jesús Antonio Orantes Noriega, en Chiapa de Corzo, en Chiapas, en la carretera a Tuxtla-La Angustura. Esas son las dos gasolineras que no se dejaron verificar y que estaremos verificando muy pronto.",0.0,48,08,02,2021
RICARDO SHEFFIELD PADILLA,Cinco gasolineras presentaron problemas de las visitadas en esta semana.,0.0,10,08,02,2021
RICARDO SHEFFIELD PADILLA,"En la app de Litro por Litro, que no toma en cuenta el margen, la más barata es de Mobil, a 17 pesos 88 centavos por litro, y la encontramos en Morelia, Michoacán; mientras que en San Luis Potosí, San Luis Potosí, a 17 pesos 99 centavos por litro en TopFuel, también de las dos más económicas.",0.0,57,08,02,2021
