Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ALEJANDRO SVARCH PEREZ," Buenos días, señor presidente, lo escuchamos fuerte y claro.",0.0,9,16,03,2021
ALEJANDRO SVARCH PEREZ," Buenos días, señor presidente. ¿Me escucha?",0.0,6,16,03,2021
ALEJANDRO SVARCH PEREZ," Buenos días, señor presidente.",0.0,4,16,03,2021
ALEJANDRO SVARCH PEREZ," Buenos días, señor presidente.",0.0,4,16,03,2021
ALEJANDRO SVARCH PEREZ," Buenos días, señor presidente. ¿Me escucha?",0.0,6,16,03,2021
ALEJANDRO SVARCH PEREZ," Buenos días, señor presidente.",0.0,4,16,03,2021
ALEJANDRO SVARCH PEREZ," Buenos días, señor presidente. Nos encontramos en el Aeropuerto Internacional de la Ciudad de México ‘Benito Juárez’ atendiendo su instrucción.",0.0,20,16,03,2021
ALEJANDRO SVARCH PEREZ,"El día de hoy arriba el embarque número 11 de vacuna Pfizer, correspondiente a 667 mil 875 dosis.",0.0,18,16,03,2021
ALEJANDRO SVARCH PEREZ,"Me acompaña el doctor Víctor Hugo Borja, director médico del Insabi; el doctor Rodolfo Lehmann, de Servicios de Salud de Pemex; y la comisionada Olga Piña, de Operación Sanitaria, señor presidente.",0.0,31,16,03,2021
ALEJANDRO SVARCH PEREZ," Es correcto, señor presidente. Una operación que incluye a cuatro aeropuertos de nuestro país: Ciudad de México, Monterrey, Guadalajara y Querétaro.",0.0,21,16,03,2021
ALEJANDRO SVARCH PEREZ, Es correcto.,0.0,2,16,03,2021
ALEJANDRO SVARCH PEREZ," Señor presidente, si me permite.",0.0,5,16,03,2021
ALEJANDRO SVARCH PEREZ," Quisiera recordarle a la población que la vacunación en nuestro país es gratuita y todas las vacunas que hemos recibido son vacunas de calidad, seguras y eficaces. Hay que comunicar a la población que esté atenta, la vacuna no se vende y es gratuita.",0.0,44,16,03,2021
ALEJANDRO SVARCH PEREZ, Es correcto.,0.0,2,16,03,2021
ALEJANDRO SVARCH PEREZ," A la orden, señor.",0.0,4,16,03,2021
