Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
CUITLAHUAC GARCIA JIMENEZ," Buenos días. Muchas gracias, presidente. Bienvenido a la parte sur de Coatzacoalcos.",0.0,12,19,03,2021
CUITLAHUAC GARCIA JIMENEZ,"Primero, expresarle que el gobierno de Veracruz, un servidor, ha estado presente diariamente en la Mesa de Paz. Acá es una coordinación estatal para la construcción de la paz en la que intervienen todas las fuerzas federales, las representaciones de las fiscalías, la propia fiscal general del estado, el fiscal, el representante de la Fiscalía General de la República y hemos cubierto con ello el 100 por ciento de las sesiones que diariamente se llevan a cabo. Un servidor ha estado presente en el 90 por ciento, ese 10 por ciento ha sido por motivos en que he tenido que ir a la Ciudad de México a las reuniones con funcionarios del gobierno federal.",0.0,114,19,03,2021
CUITLAHUAC GARCIA JIMENEZ,"Decirle, presidente, que es precisamente esta coordinación entre los tres órdenes de gobierno la que ha logrado que bajemos el número de secuestros de manera drástica y el número de homicidios dolosos de manera también drástica.",0.0,36,19,03,2021
CUITLAHUAC GARCIA JIMENEZ,"En segundo término, decirle, presidente, que este gobierno se une y se suma al Acuerdo Nacional por la Democracia, que estaremos presentes en el día en que nos indique para suscribirlo.",0.0,31,19,03,2021
CUITLAHUAC GARCIA JIMENEZ,"Asimismo, decirle que a nivel estatal también se ha promovido un acuerdo con los tres poderes, con líderes políticos, representantes de partidos políticos y con las alcaldesas y presidentes municipales. Está en marcha la firma de este acuerdo, el día lunes estaremos firmando los tres poderes del gobierno del estado con el Poder Judicial y el Poder Legislativo.",0.0,58,19,03,2021
CUITLAHUAC GARCIA JIMENEZ,"También, por último, presidente, sabemos de la problemática internacional con respecto a la producción de vacunas, que ha existido un acaparamiento de muy pocos países de más del 80 por ciento de las vacunas. Por eso agradecemos mucho las gestiones que usted ha realizado a nivel internacional.",0.0,47,19,03,2021
CUITLAHUAC GARCIA JIMENEZ,"Hoy mismo nos da esta noticia, lo cual desde luego se debe a la voluntad de usted y por eso le agradecemos, aquí el pueblo de Veracruz porque, gracias a esa excelente gestión, a su Gabinete de Salud: al doctor Alcocer, a Juan Ferrer, del Insabi, al docto Hugo López-Gatell, a todo el comité de especialistas que tiene usted enfrentando la pandemia por coronavirus, se ha logrado que en Veracruz 45 municipios estén al 100 por ciento cubiertos, la totalidad de los adultos mayores, más 30 municipios que deben de estar por arriba del 90 por ciento, por lo tanto tendríamos 75 municipios que ya tienen a sus adultos mayores vacunados con Pfizer con la primera vacuna y con las otras que usted ha instruido.",0.0,125,19,03,2021
CUITLAHUAC GARCIA JIMENEZ,"Decirle que en esos se incluye la ciudad más grande, el puerto de Veracruz, que concluye también ya con el 100 por ciento de adultos mayores vacunados y que en unos días más estará también la segunda ciudad más importante, que es la capital, en tamaño de población, que estará también ya al 100 por ciento con adultos mayores.",0.0,59,19,03,2021
CUITLAHUAC GARCIA JIMENEZ,"Pero no solamente eso, sino que en dos semanas más tendríamos 91 municipios con la cobertura ya de todos sus adultos mayores.",0.0,22,19,03,2021
CUITLAHUAC GARCIA JIMENEZ,Le agradecemos todo esto y seguiremos trabajando de la mano con usted. Muchas gracias.,0.0,14,19,03,2021
CUITLAHUAC GARCIA JIMENEZ," No, son 138.",0.0,3,19,03,2021
