Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ROSA ICELA RODRIGUEZ VELAZQUEZ," Con su permiso, señor presidente de México, licenciado Andrés Manuel López Obrador.",0.0,12,19,03,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Agradecer muy cordialmente al gobernador Cuitláhuac García Jiménez y a su equipo de trabajo por recibirnos en este bello estado; así como al ingeniero Manuel Carranza, presidente municipal de Coatzacoalcos. Muchas gracias.",0.0,32,19,03,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Pues no es -muy buenos días- nos es muy grato participar hoy junto a nuestro presidente en esta conferencia, sobre todo después de haber sesionado en la Mesa de Construcción de Paz y Seguridad en Veracruz.",0.0,36,19,03,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Saludo con mucho respeto a los integrantes hoy que nos acompañan en esta mañanera: al general Luis Cresencio Sandoval González, secretario de la Defensa Nacional; al almirante Eduardo Redondo Arámburo, subsecretario de Marina; también al general Luis Rodríguez Bucio, comandante de la Guardia Nacional.",0.0,44,19,03,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Decir que, como sabemos, vivir en paz y tranquilidad es una de las exigencias más sentidas de la población. Por ello, la Estrategia Nacional de Seguridad planteada por nuestro presidente es una herramienta fundamental para trabajar coordinadamente y dar resultados.",0.0,40,19,03,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Cada día por la mañana evaluamos y revisamos los hechos relevantes en el país con el único objetivo de lograr avances en todas las regiones y en todas las entidades. La estrategia es integral, alinea todos los esfuerzos para enfrentar óptimamente los desafíos, garantizando una adecuada coordinación entre las diversas instancias municipales, estatales y federales.",0.0,55,19,03,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Estoy convencida de que la coordinación y la constancia son indispensables para hacer frente a la delincuencia y alcanzar la paz. Por ello, resulta fundamental el trabajo que realizan en las mesas estatales y cada una de las 260 regiones del país.",0.0,42,19,03,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Reconocemos la labor el día de hoy y el trabajo de todas y todos los integrantes de la Mesa de Construcción de Paz en Veracruz, donde los resultados son el reflejo de la constancia y dedicación.",0.0,36,19,03,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Esto nos llena de orgullo, porque nos demuestra que trabajando cotidianamente se pueden lograr mejores y mayores resultados.",0.0,18,19,03,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"En especial el día de hoy reconocer a gobernador, quien de manera permanente acude todos los días a las Mesas de Construcción de Paz, lo que habla del compromiso con sus paisanos veracruzanos.",0.0,33,19,03,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Es importante destacar lo que aquí dijo el subsecretario de Marina, el almirante Redondo, la disminución que en Veracruz ha tenido la incidencia delictiva para diversos delitos de alto impacto en los últimos 12 meses con respecto al mismo periodo del año anterior.",0.0,43,19,03,2021
