Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
SURIT BERENICE ROMERO DOMINGUEZ,: Con su permiso. Buenos días a todas y a todos.,0.0,11,22,03,2021
SURIT BERENICE ROMERO DOMINGUEZ,"La estación de servicio con el indicador de ganancia más alto respecto a la gasolina regular la encontramos con la marca Arco, nuevamente en Sonora, en el municipio de Magdalena, en tres pesos con 53 centavos y un precio al público de 22 pesos con nueve centavos por litro.",0.0,49,22,03,2021
SURIT BERENICE ROMERO DOMINGUEZ,"El indicador de ganancia más bajo se registró en la franquicia Pemex en Veracruz, Veracruz, en 21 centavos, y un precio de 18 pesos con 56 centavos por litro.",0.0,29,22,03,2021
SURIT BERENICE ROMERO DOMINGUEZ,"Respecto a la gasolina Premium, el margen más alto nuevamente se registró en Escárcega, Campeche, pero ahora con la franquicia BP en tres pesos con un centavo y un precio de 23 pesos con 12 centavos por litro.",0.0,38,22,03,2021
SURIT BERENICE ROMERO DOMINGUEZ,"El indicador de ganancia más bajo se registró en la franquicia Pemex en Veracruz, Veracruz, en 15 centavos por litro y un precio al público de 20 pesos con dos centavos.",0.0,31,22,03,2021
SURIT BERENICE ROMERO DOMINGUEZ,"Respecto al diésel, combustibles BP, también en Escárcega, Campeche, tuvo el margen más alto, en tres pesos con nueve centavos y un precio al público de 23 pesos con nueve centavos por litro.",0.0,33,22,03,2021
SURIT BERENICE ROMERO DOMINGUEZ,"En indicador de ganancia más bajo lo encontramos en la franquicia Pemex en Úrsulo Galván, Veracruz, con un precio al público de 20 pesos con 20 centavos por litro y un margen de 15 centavos.",0.0,35,22,03,2021
SURIT BERENICE ROMERO DOMINGUEZ,"Respecto a los indicadores de ganancia semanales por marca se mantienen dentro de las más caras Redco, Chevron y nuevamente aparece Corpogas; mientras que las más económicas son Orsan, G500 y vuelve a aparecer Rendichicas.",0.0,35,22,03,2021
SURIT BERENICE ROMERO DOMINGUEZ,"En cuanto al precio de la mezcla mexicana de petróleo, con un corte al 19 de marzo, vemos un descenso respecto a la semana previa, al promediar 59 dólares con 55 centavos por barril.",0.0,34,22,03,2021
SURIT BERENICE ROMERO DOMINGUEZ,"En el caso de los precios promedio diarios por combustible, también con corte al 19 de marzo, fueron los siguientes: para la gasolina Premium, 21 pesos con 85 centavos, para el diésel 21 pesos con 45 centavos; y para la regular, 20 pesos con 37 centavos.",0.0,46,22,03,2021
SURIT BERENICE ROMERO DOMINGUEZ,"Respecto a las acciones de verificación a las estaciones de servicio de gasolina y diésel, se atendieron 186 denuncias presentadas a través de la app Litro por Litro, realizamos 128 visitas.",0.0,31,22,03,2021
SURIT BERENICE ROMERO DOMINGUEZ,"En cinco gasolineras verificadas se identificaron irregularidades por no dar litro de a litro, dos de ellas se encontraron en el estado de Querétaro, dos más en Quintana Roo y otra más en Coahuila; una más interrumpió la visita de verificación cuando los visitadores procedían a hacer las verificaciones de los dispensarios. A las seis gasolineras se les va a volver a visitar, pero ahora con el apoyo de la Guardia Nacional.",0.0,72,22,03,2021
SURIT BERENICE ROMERO DOMINGUEZ,"La gasolina regular más barata a través de la app Litro por Litro la encontramos en Querétaro, Querétaro, por G500 en 18 pesos con 49 centavos, y en Veracruz, Veracruz, por la franquicia Pemex en 18 pesos con 55 centavos.",0.0,40,22,03,2021
SURIT BERENICE ROMERO DOMINGUEZ,"Respecto a la más cara, en Magdalena, Sonora, por Arco en 22 pesos con 19 centavos, y en Santa Ana, Sonora, por Chevron en el mismo precio con 22 pesos con 19 centavos.",0.0,33,22,03,2021
SURIT BERENICE ROMERO DOMINGUEZ,"En la Premium la más barata la encontramos en Puerto Vallarta Jalisco, en 19 pesos con 45 centavos, por Arco, y en Veracruz, Veracruz, en 20 pesos con 15 centavos Repsol.",0.0,31,22,03,2021
SURIT BERENICE ROMERO DOMINGUEZ,"La más cara en Culiacán, Sinaloa, en 24 pesos con 99 centavos por Soriana, y en Guasave, Sinaloa, por la franquicia Pemex en 24 pesos con 65 centavos por litro.",0.0,30,22,03,2021
SURIT BERENICE ROMERO DOMINGUEZ,"Respecto al diésel, el más barato se vendió en Tampico, Tamaulipas, por G500 en 19 pesos con 45 centavos y en Veracruz, Veracruz, por Repsol, en 20 pesos y 19 centavos por litro.",0.0,33,22,03,2021
SURIT BERENICE ROMERO DOMINGUEZ,"El más caro en Taxco, Guerrero, por la franquicia Pemex, en 23 pesos con 69 centavos y en Múgica, Michoacán, por G500 en 23 pesos con 27 centavos.",0.0,28,22,03,2021
SURIT BERENICE ROMERO DOMINGUEZ,Seguimos monitoreando las condiciones de los servicios sanitarios de las estaciones de servicio.,0.0,13,22,03,2021
SURIT BERENICE ROMERO DOMINGUEZ,"Respecto al quién es el quién en los precios del gas LP, el gas LP estacionario tuvo el indicador de ganancia más alto con Tomza, en Puerto Morelos, Quintana Roo, en seis pesos con 13 centavos por litro y un precio al público de 14 pesos con 24 centavos.",0.0,49,22,03,2021
