Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
MIGUEL SANTIAGO REYES HERNANDEZ, Muy buenos días a todos. Buenos días señor presidente. Buenos días director general de la CFE.,0.0,16,26,03,2021
MIGUEL SANTIAGO REYES HERNANDEZ,"Vamos a presentar, tenemos una presentación…",0.0,6,26,03,2021
MIGUEL SANTIAGO REYES HERNANDEZ," Mi nombre es Miguel Reyes, a sus órdenes, director general de CFEnergía, una de las filiales de la Comisión Federal de Electricidad.",0.0,22,26,03,2021
MIGUEL SANTIAGO REYES HERNANDEZ,"Vamos a presentar datos precisamente vinculados a lo que acaba de comentar el licenciado Bartlett, y me voy a mover un poco para que pueda explicar la presentación que traemos.",0.0,30,26,03,2021
MIGUEL SANTIAGO REYES HERNANDEZ,"Tal y como comentó el licenciado Bartlett, pues todas las series de reformas regresivas a la ley, a la Constitución, comenzadas desde 1992 culminadas con la reforma energética de 2013, dieron lugar a que proporcionalmente pagaran cada vez más a imagen y semejanza de lo que ya el mismo presidente de la República ha expuesto del pago de los impuestos, que las familias de clase media y baja, es decir, la mayor parte de los mexicanos pagaran proporcionalmente más que empresas que pertenecen a grandes corporativos.",0.0,86,26,03,2021
MIGUEL SANTIAGO REYES HERNANDEZ,Esta reforma a la ley de la industria eléctrica que envió el presidente de la República y aprobó el Congreso de la Unión en 2021 tiene por objeto revertir los aspectos más dañinos en contra del pueblo de México de esta privatización del sector eléctrico.,0.0,45,26,03,2021
MIGUEL SANTIAGO REYES HERNANDEZ,¿Fundamentalmente hacia dónde y en qué sentido?,0.0,7,26,03,2021
MIGUEL SANTIAGO REYES HERNANDEZ,Eliminando los subsidios a las grandes corporaciones y garantizando a la población que no se va a aumentar la tarifa de electricidad.,0.0,22,26,03,2021
MIGUEL SANTIAGO REYES HERNANDEZ,"Existen diversos mecanismos, los ha comentado aquí el director de la Comisión Federal de Electricidad, de esta privatización del sector eléctrico que generan y reproducen un trato inequitativo y desigual a los mexicanos.",0.0,33,26,03,2021
MIGUEL SANTIAGO REYES HERNANDEZ,"Este trato inequitativo, en lugar de que pueda distribuir mejor la riqueza o los recursos a favor de quien menos tiene, pues es al revés, es a favor de una minoría, de un grupo minoritario de la población y es en contra de la mayor parte de los mexicanos, del pueblo de México.",0.0,53,26,03,2021
MIGUEL SANTIAGO REYES HERNANDEZ,"El director de la Comisión Federal de Electricidad mencionó uno de los casos, que es el de las sociedades de autoabasto. Y lo sacamos a colación porque en días recientes se ha planteado mucho el tema de las tarifas de electricidad que pagaría un hogar de clase media, un hogar, digamos, en una situación popular, es decir, con pocos recursos o escasos recursos, una tienda del Oxxo, una tienda de abarrotes, una tienda de las que llaman de conveniencia o grandes corporativos como las tiendas Walmart o como la empresa Bimbo, y hay muchas otras.",0.0,95,26,03,2021
MIGUEL SANTIAGO REYES HERNANDEZ,"Estas sociedades de autoabasto, que parecería como…. Nosotros conocemos el caso de los campesinos cuando hay una situación de autoconsumo, es decir, produces para el autonconsumo, el maíz o el frijol, pues parecería que era una cosa así, producías la electricidad para ti mismo, era una de las figuras iniciales de la privatización para entrar, para quitar digamos de alguna manera inicialmente a la Comisión Federal de Electricidad.",0.0,68,26,03,2021
