Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
VOZ DE HOMBRE, Tren Maya reporte de avances. Semana 32 de 157.,0.0,9,29,03,2021
VOZ DE HOMBRE,"En el tramo 1, continúan los trabajos de suministro, compactación y afine de capa de terraplén. Progresamos en los trabajos de rescata de flora y fauna.",0.0,26,29,03,2021
VOZ DE HOMBRE,"En el tramo 2 seguimos con los trabajos de despalme, excavación y acarreo de material, así como con la formación de terraplén, pedraplén y el desmontaje de vía.",0.0,28,29,03,2021
VOZ DE HOMBRE,"En el tramo 3, avanzamos en el despalme, la formación de terraplén y el desmontaje de vía. Continuamos con la colocación de tuberías prefabricadas y la construcción de pasos vehiculares.",0.0,30,29,03,2021
VOZ DE HOMBRE,"En el tramo 4, realizamos el colado de muros y conformación de broches en distintos pasos ganaderos y progresamos en las labores de excavación, terraplén, demolición de carpeta asfáltica, subyacente y subrasante.",0.0,32,29,03,2021
VOZ DE HOMBRE,"En el tramo 1, se intensifican los trabajos de acuerdo al plan de incremento de producción. Para eficientar los traslados y tiempo de la obra se rehabilita el antiguo puente de Chacamax para dar paso a personal y maquinaria.",0.0,39,29,03,2021
VOZ DE HOMBRE,Con la colocación de una zapata continúan los trabajos para las estructuras de pasos vehiculares superiores para mantener la conectividad en la zona.,0.0,23,29,03,2021
VOZ DE HOMBRE,"En Tenosique se realiza un censo forestal para identificar especies e individuos en el derecho de vía y posteriormente implementar medidas de reforestación, también se ejecutan trabajos de actualización de estudios topográficos.",0.0,32,29,03,2021
VOZ DE HOMBRE,"Para ejecutar trabajos de terracerías las 24 horas del día se implementaron tres turnos rotativos, lo que incrementa las contrataciones en la zona.",0.0,23,29,03,2021
VOZ DE HOMBRE,Al día de hoy los empleos generadores en los cuatro tramos ascienden 42 mil 574.,0.0,15,29,03,2021
VOZ DE HOMBRE,El Tren Maya avanza.,0.0,4,29,03,2021
