Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
FABIOLA ALANIS SAMANO," Con su permiso, presidente. Muy buenos días a todas y a todos.",0.0,12,08,03,2021
FABIOLA ALANIS SAMANO,"Mientras ponen la presentación yo quisiera hacer una breve reflexión. Decir que, a partir de esta administración, administración que encabeza el presidente Andrés Manuel López Obrador, se han dado pasos importantes para acortar las brechas de la desigualdad entre hombres y mujeres; y si logramos acortar las brechas de la desigualdad esto va a impactar positivamente en los niveles de violencia que se ejercen todos los días en contra de las mujeres.",0.0,72,08,03,2021
FABIOLA ALANIS SAMANO,"Los programas prioritarios son sin duda una oportunidad para acortar esas brechas. Hay una dispersión monetaria mayor, hay mayores recursos en las familias, sobre todo en las familias más pobres. Las becas ‘Benito Juárez’, el programa Sembrando Vida, las Tandas para el Bienestar, los proyectos para el fortalecimiento de las microempresas impactan positivamente en la vida de las mujeres.",0.0,59,08,03,2021
FABIOLA ALANIS SAMANO,"Contener la inflación y el incremento de los precios impacta positivamente en la vida cotidiana de las mujeres. El incremento al salario real, por primera vez en décadas, impacta también en la vida de las mujeres y les da la posibilidad de sortear de mejor manera las condiciones de violencia que se viven en los hogares.",0.0,56,08,03,2021
FABIOLA ALANIS SAMANO,"Y en ese sentido, reiterar que nuestra apuesta, la apuesta de las mujeres en la Cuarta Transformación es el cambio de régimen y el cambio de régimen es lo que nos va a dar precisamente la posibilidad de acortar los niveles de violencia que son estructurales, que son históricos, que son culturales, que viven las mujeres.",0.0,56,08,03,2021
FABIOLA ALANIS SAMANO,"Y en ese sentido, voy a ser muy breve -creo que me voy a quitar esto porque, si no, voy a poder hablar bien- para señalar que todos los días, todos los días y todas las horas, esa es la indicación que hemos recibido del señor presidente, estamos trabajando para disminuir los índices de violencia en contra de las mujeres.",0.0,60,08,03,2021
FABIOLA ALANIS SAMANO,"Señalar que hay un mecanismo, que es el único a nivel internacional que está establecido en la Ley General de Acceso a las Mujeres a una Vida Libre de Violencia, es la Alerta de Violencia de Género. La Alerta de Violencia de Género está, se ha echado andar como mecanismo en 18 entidades de la República y hay 21 alertas porque tenemos dos alertas, en el estado de Veracruz y dos en el Estado de México por desaparición forzada, y hay cinco grupos de trabajo revisando la posibilidad de decretar igual número de alertas, Sonora, Chihuahua y otras entidades.",0.0,99,08,03,2021
FABIOLA ALANIS SAMANO,"Y bueno, de estas alertas hay medidas específicas que se han orientado para ser implementadas en los municipios, y se les ha dicho a 610 presidentas y presidentes municipales que es importante reforzar algunas medidas:",0.0,35,08,03,2021
FABIOLA ALANIS SAMANO,"Una que es fundamental, que es protocolo de atención y reacción policial. Esto quiero decirle, comentarle, presidente, también, que hemos reforzado esta medida con la nueva estrategia que dio a conocer la secretaria Rosa Icela Rodríguez.",0.0,36,08,03,2021
FABIOLA ALANIS SAMANO,¿Por qué es importante esta medida?,0.0,6,08,03,2021
