Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
MARIA ELENA ALVAREZ-BUYLLA ROCES," Buenos días. Muchas gracias. Con su permiso, señor presidente.",0.0,9,13,04,2021
MARIA ELENA ALVAREZ-BUYLLA ROCES,"Saludo con mucho gusto a todos los presentes, a todo el pueblo de México, secretarios, subsecretarios y saludo con muchísimo gusto y agradecimiento al doctor Bernardo Lozano, director General de Avimex, ellos son participantes muy importantes, cruciales diría yo del desarrollo del cual les voy a informar.",0.0,47,13,04,2021
MARIA ELENA ALVAREZ-BUYLLA ROCES,"Y también saludo con mucho gusto, en representación del Comité Nacional de Ciencia, Tecnología e innovación que coordinamos desde Conacyt, al doctor Arturo Reyes Sandoval, hoy de regreso felizmente a nuestro país y actual director general del Politécnico, pero también, o aunque también un destacadísimo experto en el desarrollo de la vacunas.",0.0,52,13,04,2021
MARIA ELENA ALVAREZ-BUYLLA ROCES,"Con el claro mandato del señor presidente y también del Plan Nacional de Desarrollo de dedicarnos como la cabeza del sector científico, tecnológico e innovación a recuperar la ciencia de frontera, el desarrollo tecnológico y con esto la soberanía de nuestro país muy pronto, cuando supimos esta terrible pandemia que ha estado atacando a todo el mundo, empezamos a articular las capacidades científicas, de investigación clínica y también de innovación con empresas.",0.0,72,13,04,2021
MARIA ELENA ALVAREZ-BUYLLA ROCES,"Y en este caso destaca el laboratorio Avimex, con una larga trayectoria de prestigio en la producción de biológicos y desde luego coordinados de manera muy estrecha con Salud, estableciendo una agenda del Estado para eventualmente poder rescatar la empresa productiva del Estado, Birmex, y recuperar con esto nuestra soberanía en la producción de vacunas.",0.0,55,13,04,2021
MARIA ELENA ALVAREZ-BUYLLA ROCES,"En este caso para esta vacuna, nombrada por el señor presidente de la República, Patria, tenemos la participación de científicos de altísimo nivel, de universidades tanto nacionales como internacionales, como decía, de manera destacada de la empresa Avimex y también de los institutos nacionales de salud pública en México y del Instituto Mexicano del Seguro Social para la parte de investigación clínica.",0.0,62,13,04,2021
MARIA ELENA ALVAREZ-BUYLLA ROCES,"Este desarrollo está sustentado por algunos de los científicos más reconocidos y no solamente en México, sino a nivel mundial en este campo. No voy a poder nombrar a todos, pero estamos haciendo un tablero de información accesible para todo mundo, en donde van a estar los currículos detallados.",0.0,49,13,04,2021
MARIA ELENA ALVAREZ-BUYLLA ROCES,Pero tenemos aquí algunos ejemplos destacados:,0.0,6,13,04,2021
MARIA ELENA ALVAREZ-BUYLLA ROCES,"El doctor Constantino López Macías, él es investigador inmunología por la UNAM, se doctoró en la Universidad de Zúrich, es especialista en inmunología y también en diseño molecular.",0.0,28,13,04,2021
MARIA ELENA ALVAREZ-BUYLLA ROCES,"El doctor Peter Palese, químico, microbiólogo, de la Universidad de Viena, muy importante en el diseño molecular de la plataforma que sustenta el desarrollo que hemos venido coordinando.",0.0,28,13,04,2021
