Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
BERENICE ROMERO DOMINGUEZ, Buenos días a todos y a todas.,0.0,7,26,04,2021
BERENICE ROMERO DOMINGUEZ,"Los precios de los combustibles con corte al 23 de abril, tenemos que la gasolina regular registró un precio promedio nacional de 20 pesos con 44 centavos por litro; la Premium, de 22 pesos con siete centavos y el diésel de 21 pesos con 55 centavos.",0.0,46,26,04,2021
BERENICE ROMERO DOMINGUEZ,"El precio de la mezcla mexicana de petróleo, también con corte al 23 de abril, fue de 59 dólares con 89 centavos por barril.",0.0,24,26,04,2021
BERENICE ROMERO DOMINGUEZ,"En los indicadores de ganancia semanales por marca, tenemos a Redco, Chevron y Arco, en los más bajos se registraron en G500, Total y Orsan.",0.0,25,26,04,2021
BERENICE ROMERO DOMINGUEZ,"El indicador de ganancia más alto en la gasolina regular se registró con tres pesos con un centavo en la marca Shell, en Moloacán, Veracruz, con un precio promedio al público de 21 pesos con 76 centavos por litro; mientras que el indicador de ganancia más bajo, con 17 centavos, lo tuvo la franquicia Pemex en Isidro Montes de Oca, Guerrero, con un precio promedio al público de 18 pesos con 89 centavos por litro.",0.0,75,26,04,2021
BERENICE ROMERO DOMINGUEZ,"Por lo que hace a la gasolina Premium, el margen más alto, con tres pesos con 17 centavos, lo tuvo la marca BP en Escárcega, Campeche, con un precio promedio al público de 23 pesos con 25 centavos por litro.",0.0,40,26,04,2021
BERENICE ROMERO DOMINGUEZ,"El más bajo lo registró, con 22 centavos, la franquicia Pemex en La Paz, Baja California Sur, con un precio promedio al público de 21 pesos por litro.",0.0,28,26,04,2021
BERENICE ROMERO DOMINGUEZ,"El margen más alto en el diésel, con tres pesos con 43 centavos, se registró en la estación de servicio de la marca Arco, en Hermosillo, Sonora, con un precio promedio al público de 22 pesos con 89 centavos por litro.",0.0,41,26,04,2021
BERENICE ROMERO DOMINGUEZ,"El margen más bajo, con 15 centavos, lo tuvo la marca Circle K, en Chihuahua, Chihuahua, con un precio promedio al público de 21 pesos con 47 centavos por litro.",0.0,30,26,04,2021
BERENICE ROMERO DOMINGUEZ,Seguimos invitando a los consumidores a que consulten la app Litro por Litro.,0.0,13,26,04,2021
BERENICE ROMERO DOMINGUEZ,"En cualquier ciudad van a encontrar gasolina y diésel a buen precio. El día de ayer hicimos un ejercicio en la misma colonia, hay una diferencia de más de 50 centavos por litro y en la colonia aledaña pueden encontrar una diferencia de hasta un peso con 20 centavos por litro.",0.0,51,26,04,2021
BERENICE ROMERO DOMINGUEZ,"Respecto a las acciones de verificación realizadas a las estaciones de servicio de gasolina y diésel con corte al 22 de abril, atendimos 325 denuncias a través de la app Litro por Litro.",0.0,33,26,04,2021
BERENICE ROMERO DOMINGUEZ,Se inmovilizaron nueve bombas por no dar litros de a litro y en esta ocasión ninguna estación se negó a ser verificada.,0.0,22,26,04,2021
BERENICE ROMERO DOMINGUEZ,A través de la app Litro por litro se identificaron los precios siguientes:,0.0,13,26,04,2021
BERENICE ROMERO DOMINGUEZ,"En la gasolina regular, las más baratas se vendieron en Veracruz, Veracruz, por la franquicia Pemex en 18 pesos con 69 centavos, y en San Mateo Atenco, Estado de México por G-500 en 18 pesos con 77 centavos.",0.0,38,26,04,2021
BERENICE ROMERO DOMINGUEZ,"Mientras que las más caras se registraron en La Paz, Baja California Sur, con Chevron en 21 pesos con 95 centavos, y en Moloacán, Veracruz, con Shell en 21 pesos con 89 centavos.",0.0,33,26,04,2021
BERENICE ROMERO DOMINGUEZ,"En lo referente a la gasolina Premium, las más baratas se vendieron en Boca del Río, Veracruz, por la franquicia Pemex en 20 pesos con 24 centavos, y en Kanasín, Yucatán por G-500 en 20 pesos con 49 centavos.",0.0,39,26,04,2021
BERENICE ROMERO DOMINGUEZ,"Las más caras se vendieron en Guadalajara, Jalisco, por Akron en 23 pesos con 39 centavos, y en Escárcega, Campeche, por BP en 23 pesos con 19 centavos.",0.0,28,26,04,2021
BERENICE ROMERO DOMINGUEZ,"Por lo que hace al diésel, los más baratos se vendieron en Querétaro, Querétaro, en 19 pesos con nueve centavos en Charcas; San Luis Potosí en 19 pesos con 85 centavos; los más caros, en Iguala de la Independencia, Guerrero, en 23 pesos con 20 centavos y en Santa María Tonameca, Oaxaca, en 23 pesos con un centavo.",0.0,58,26,04,2021
BERENICE ROMERO DOMINGUEZ,Continuamos monitoreando las condiciones en las que se encuentran los servicios sanitarios en las estaciones de servicio.,0.0,17,26,04,2021
BERENICE ROMERO DOMINGUEZ,"Respecto al gas LP estacionario, se registró el margen más alto con cinco pesos con 72 centavos con Lomas Gas, en Azcapotzalco, Ciudad de México, con un precio promedio al público de 15 pesos con cinco centavos por litro.",0.0,39,26,04,2021
BERENICE ROMERO DOMINGUEZ,"El más bajo, con un peso con 16 centavos, lo encontramos en Santa Catarina, Nuevo León, con la marca Sultana, en un precio promedio al público de 11 pesos con 15 centavos por litro.",0.0,34,26,04,2021
BERENICE ROMERO DOMINGUEZ,"El gas LP por cilindro, el indicador de ganancia más alto, con 10 pesos con 10 centavos, lo tuvo Lomas Gas, en Cuajimalpa, Ciudad de México con un precio promedio al público de 28 pesos por kilo; mientras que el más barato, con un margen de tres pesos con 47 centavos lo tuvo Regio Gas Lerdo, en El Oro, Durango, con un precio promedio al público de 21 pesos con 82 centavos por kilo.",0.0,74,26,04,2021
BERENICE ROMERO DOMINGUEZ,"En los precios promedios diarios del gas LP al 21 de abril, tenemos que el gas en cilindro promedió 22 pesos con 99 centavos por kilo, mientras que el gas estacionario registró un precio promedio de 12 pesos con 13 centavos por litro.",0.0,43,26,04,2021
BERENICE ROMERO DOMINGUEZ,"En las acciones de verificación se realizaron 127 verificaciones, identificando infracciones en siete casos.",0.0,14,26,04,2021
BERENICE ROMERO DOMINGUEZ,"De 621 cilindros revisados, seis de ellos fueron inmovilizados por encontrarse en mal estado.",0.0,14,26,04,2021
BERENICE ROMERO DOMINGUEZ,"Recomendamos a los consumidores que consulten la app AmiGas LP. Es una aplicación de la Comisión Reguladora de Energía, en la que van a poder localizar a los distribuidores de gas LP que dan servicio en sus localidades y zonas aledañas, además de comparar precios y evaluaciones de calidad realizadas por otros usuarios.",0.0,53,26,04,2021
BERENICE ROMERO DOMINGUEZ,"Es cuanto, señor presidente.",0.0,4,26,04,2021
