Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JORGE ALCOCER VARELA," Con su permiso, señor presidente.",0.0,5,06,04,2021
JORGE ALCOCER VARELA,"Muy buenos días a todas, a todos ustedes nos escuchan por vía remota.",0.0,13,06,04,2021
JORGE ALCOCER VARELA,"Cumplimos, como ustedes saben, 10 semanas en México y en varios países del mundo en que la pandemia, el número de casos activos, las desafortunadas defunciones, la ocupación de camas generales y de aquellas que requieren ventilador para casos graves están disminuyendo; sin embargo, aprovecho la ocasión nuevamente para hacer un llamado a la población a no confiarse, a no bajar la guardia, mantener las medidas sanitarias para evitar que haya una tercera ola de contagios.",0.0,76,06,04,2021
JORGE ALCOCER VARELA,"A 14 semanas de haber iniciado la campaña de vacunación, hemos avanzado en los dos primeros grupos prioritarios para la vacunación: el personal médico que ha estado y sigue al frente de la atención de enfermos COVID y a los adultos mayores.",0.0,42,06,04,2021
JORGE ALCOCER VARELA,"Repito, no hay que confiarnos, pues ya habíamos pasado la primera ola y se pensaba que ya estaba bajo control, que ya el contagio había disminuido y se vino otra ola, afectando, como ustedes saben, no sólo a nuestro país.",0.0,40,06,04,2021
JORGE ALCOCER VARELA,"Nuestro gobierno ha estado a la vanguardia en la lucha contra la pandemia del COVID-19 en muchos aspectos, sólo resalto algunos, por ejemplo, las pruebas epidemiológicas, las pruebas de inmunología, que han sido pilares entre otras muy importantes para conocer el daño que está causando y seguirá espero que por menos tiempo el virus SARS-CoV-2, para valorar el efecto de las vacunas también se están empleando como una herramienta muy importante.",0.0,71,06,04,2021
JORGE ALCOCER VARELA,"Han acompañado esta acción muchos médicos, muchos especialistas, muchos profesionistas se han movido física y científicamente a la vanguardia de la lucha contra el COVID-19 realizando diagnósticos, realizando ensayos, investigaciones de los mecanismos fundamentales que todavía en mucho desconocemos de este virus y, desde luego, aportando agentes diagnósticos y terapéuticos.",0.0,50,06,04,2021
JORGE ALCOCER VARELA,"En el Pulso de la Salud hoy actualizaremos el informe técnico de la pandemia en nuestro país con mayor detalle de aquellos que están en condiciones de mayor riesgo, que son unos cuantos, en voz del doctor Hugo López Gatell, quien también nos comunicará si se asoma algún estado en donde se vea peligro de un repunte y en qué forma el gobierno apoyará para prevenirlo, y desde luego evitar que esto se vuelva una ola.",0.0,76,06,04,2021
JORGE ALCOCER VARELA,"También en la última semana, quiero señalar, ustedes están conscientes de ello, que hemos tenido cuatro días muy productivos en la vacunación. Trabajamos para lograr lo programado en vacunado.",0.0,29,06,04,2021
JORGE ALCOCER VARELA,"Tendremos información sobre las variables que explican la velocidad de la vacunación, cuándo se inició la vacunación en ciudades capitales y las ciudades grandes, cuántas llegarán en los próximos días de este arsenal de vacunas que se ha logrado comprometer y pagar y cómo está la distribución en los grupos prioritarios ya mencionados.",0.0,53,06,04,2021
JORGE ALCOCER VARELA,"Se sigue trabajando, el Grupo Asesor Científico en conjunto con la Secretaría de Educación Pública afinando la estrategia de apertura de las escuelas. Tenemos la responsabilidad de minimizar la exposición a infecciones para aquellos mexicanos, niñas, niños, que no pueden controlar su propio entorno.",0.0,44,06,04,2021
JORGE ALCOCER VARELA,"Lo que parece muy claro es que, aunque si el éxito del lanzamiento de la vacuna debe celebrarse, qué bueno, lo estamos haciendo, no podemos confiar sólo en la vacuna. Volver a la nueva normalidad, como lo dije hace unos días, es lo que todos queremos; recuperarse de la pandemia, también he dicho, será tan desafiante como la propia pandemia.",0.0,60,06,04,2021
JORGE ALCOCER VARELA,"Y para ello, el canciller nos actualizará el seguimiento importante del acceso y de contar, de disponer de vacunas; el general Luis Cresencio Sandoval, como ya lo anunció el señor presidente, en una acción importantísima nos presentará el operativo de la distribución de las vacunas a nivel nacional.",0.0,48,06,04,2021
JORGE ALCOCER VARELA,Muchas gracias.,0.0,2,06,04,2021
JORGE ALCOCER VARELA,"Hugo, por favor.",0.0,3,06,04,2021
JORGE ALCOCER VARELA," El País. Muchas gracias, señor presidente.",0.0,6,06,04,2021
JORGE ALCOCER VARELA," No, esto da oportunidad a señalar que ese camino fuerte en tiempo y en acciones, y decisiones y con una completa clara dirección del señor presidente, una estrategia que hemos seguido mucho, lo hemos completado con algunas cuestiones técnicas, ese da tranquilidad. Y da tranquilidad porque lo que recibirá el señor presidente o que yo tuve la oportunidad hace ocho días de recibirlo es lo mismo que reciben los mexicanos, todos los mexicanos. Me tocó una vacuna, me hubiera tocado otra, no me tocó la yo quería.",0.0,87,06,04,2021
JORGE ALCOCER VARELA,Antes de decir…,0.0,3,06,04,2021
JORGE ALCOCER VARELA," Ya cayeron rápido en el gambito. Yo hubiera deseado que me tocara la vacuna Patria, esa vacuna que los mexicanos tenemos la oportunidad, los biotecnólogos, los inmunólogos, de hacerla, esa hubiera sido mi selección.",0.0,34,06,04,2021
JORGE ALCOCER VARELA,"No se da por cuestiones obviamente reales y la que me tocó, porque así lo anunciamos, hay vacunas para todos, te toca y la que le tocará al señor presidente, también sin ninguna selección, sino la que le toca, fue la de AstraZeneca.",0.0,43,06,04,2021
JORGE ALCOCER VARELA,"Y esta vacuna, igual que todas, estaba yo recordando que de las vacunas que tenemos, que se están aplicando a los mexicanos y lo pueden usted checar, todas han sido aceptadas al menos en cinco países a nivel mundial y algunas de ellas destacadas, de las que estamos poniendo, por más de 40 países se están ya aceptando y desde luego con toda una serie de elementos que hacen que también en otros países, igual que aquí, tengamos retraso, tengamos situaciones que no nos permiten dar un seguimiento puntual de fechas, ni siquiera a países como Alemania, que tienen toda esa trayectoria y ese prestigio de ser muy continuos y muy exactos en todo lo que realizan, o al menos eso es lo que se lee y lo que se vive en muchos aspectos, ellos también han tenido que frenar, cambiar, no la estrategia, sino la táctica.",0.0,147,06,04,2021
JORGE ALCOCER VARELA,"Y entrando a lo que dice el presidente, efectivamente, en el camino de esta pandemia aprendemos todos los días y también desde luego consideramos todas las opiniones. Algunas, hoy vimos una de las últimas que ayer apareció en la mayor parte de los diarios, de la vacunación fantasma, de la persona que aplicó una vacuna donde nada más metió la jeringa y la sacó. Eso definitivamente está ya aclarado, esto no fue así como se cuenta, pero bueno, ese no es el turno…. Digo, no es el momento para ello.",0.0,90,06,04,2021
JORGE ALCOCER VARELA,"Pero sí, en la aplicación de estas vacunas se han descrito muchos elementos que no son descuidos como este, sino son situaciones que no se conocen, que las estamos aprendiendo, que el virus nos está enseñando.",0.0,36,06,04,2021
JORGE ALCOCER VARELA,"A veces el virus -parece que estoy jugando en ciencia ficción- reta al sistema inmune y a veces en ocasiones este reto es visto por lo poco que podemos ver. El sistema inmune está totalmente identificado por elementos que no son medibles más que en investigación y cuyos resultados pueden durar semanas, meses o años para tener una -entre comillas- verdad.",0.0,61,06,04,2021
JORGE ALCOCER VARELA,"Lo que vemos son los anticuerpos, que son moléculas que todos tenemos, que son parte de nuestro reportorio, pero es lo que se ve y que más rápidamente se puede identificar, pero no es la único, que esas moléculas son producidas por células y ahí abrimos el repertorio, pero superior al de Guerra y paz, ese gran libro donde participan muchos elementos de todo tipo de la defensa de nuestro sistema inmune.",0.0,72,06,04,2021
JORGE ALCOCER VARELA,"Y ese sistema inmune lo empezamos a desarrollar dentro del desarrollo de un ser humano a través de la codificación, o sea las instrucciones, los elementos, los materiales que da la mitad del padre y la mitad la madre. Esa inmunidad, esa inmunidad que se llama innata es complicado medirla.",0.0,50,06,04,2021
JORGE ALCOCER VARELA,"Y la segunda parte, que es la inmunidad, o sea, la respuesta del sistema que tenemos, que se encarga exclusivamente de vigilar y de identificar cuando entra millones y millones de sustancias extrañas, ahora sí ya puedo decir antígenos, porque antes, si lo hubiera dicho hace un año ustedes hubieran dicho ‘¿Qué?’, ahora ustedes lo señalan: ‘Me aplicaron el antígeno’, una señora que conozco y que visito en los mercados, dice: ‘Oiga, doctor, ¿a usted ya le aplicaron el antígeno?’, dije, ¿a dónde vine? si es un mercado sobre ruedas. Pero el conocimiento que nos deja esa inmunidad nosotros no la podemos medir con la exactitud que quisiéramos.",0.0,108,06,04,2021
JORGE ALCOCER VARELA,"Cuando viene el COVID en una persona se recogen estos anticuerpos producto de esa batalla de nuestro sistema inmune de nuestras células, que son millones de células que se encargan precisamente de eso, y lo hacen con una especificidad directa; o sea, si hay un germen, una bacteria, la respuesta, o sea, el equipo, y aquí un está símil tremendamente igual que es el que conduce el general Cresencio, idéntico, tiene gente que identifica que tipo de antígeno, que tipo de bacteria, de parásito, de virus y de los diferentes miles y miles de diferentes antígenos animales y vegetales también que pueden hacer esta respuesta, lo identifica y ahí empieza a fabricarse toda una serie de moléculas.",0.0,117,06,04,2021
JORGE ALCOCER VARELA,"Una de ellas -para ya no salirme de esto, porque es muy fascinante, al menos para mí- es el que tengamos anticuerpos, proteínas para identificar y sacar afuera el efecto, no el virus.",0.0,33,06,04,2021
JORGE ALCOCER VARELA,"Muchas veces, muchas veces el virus… Tenemos muchas enfermedades, más de una veintena de enfermedades que tienen… El individuo que tuvo una infección, muere el resto de su vida bien, pero vive bien, pero siempre tuvo un resto de un virus y de ahí se genera posiblemente el desarrollo de cáncer, entre otras enfermedades y muchas otras.",0.0,57,06,04,2021
JORGE ALCOCER VARELA,"Pero tenemos esa identificación. Después del virus SARS-CoV-2, identificamos inmunoglobulinas y nos dice: ‘tuvo inmunidad’, en este caso inducida por el virus.",0.0,22,06,04,2021
JORGE ALCOCER VARELA,"La vacuna va a hacer lo mismo, pero inducida por una parte del virus modificada, atenuada, conducida con diferentes tecnologías para despertar, favorecer eso que para algunos, los que no han tenido o que no tuvimos -afortunadamente yo estoy dentro de ellos, yo no tuve esa infección del virus- no generamos anticuerpos.",0.0,52,06,04,2021
JORGE ALCOCER VARELA,"El señor presidente tuvo el virus, generó anticuerpos, pero ahí juega parte importante, cómo se generan y en qué cantidad. La gente más sana genera desde luego progresivamente mejores y más cantidad de anticuerpos.",0.0,34,06,04,2021
