Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JOSE IGNACIO SANTOS PRECIADO," Con su permiso, señor presidente.",0.0,5,07,04,2021
JOSE IGNACIO SANTOS PRECIADO,Buenos días tengan todas y todos.,0.0,6,07,04,2021
JOSE IGNACIO SANTOS PRECIADO,"Licenciado Andrés Manuel López Obrador, presidente de la República; doctor Jorge Carlos Alcocer Varela, presidente del Consejo de Salubridad General y secretario de Salud; distinguidos miembros del presídium, doctora, distinguidos recipiendarios de los Premios al Mérito 2021, señoras y señores.",0.0,40,07,04,2021
JOSE IGNACIO SANTOS PRECIADO,"Celebramos hoy el Día Mundial de la Salud, marco idóneo para entregar los Premios al Mérito que otorga el Consejo de Salubridad General, en cumplimiento a lo dispuesto por decreto presidencial por el que se establecen los criterios para el otorgamiento y condecoración en materia de salud pública.",0.0,48,07,04,2021
JOSE IGNACIO SANTOS PRECIADO,"Se convocó a las instituciones de salud, de educación superior, academias, sociedades y científicas, consejos, agrupaciones profesionales, académicos del área de la salud en general, a presentar a los candidatos y candidatas a quienes a su juicio se hayan destacado por sus méritos a favor de la salud en nuestro país.",0.0,51,07,04,2021
JOSE IGNACIO SANTOS PRECIADO,"Se trata de la condecoración ‘Doctor Eduardo Liceaga’, máxima presea que otorga el Consejo de Salubridad General, como reconocimiento al mérito a quien haya contribuido con notables avances en las ciencias médicas y administración sanitaria asistencial, y de 12 Premios al Mérito en diferentes campos de la salud y la investigación médica que lleva el nombre de distinguidos médicos y enfermeras de México.",0.0,63,07,04,2021
JOSE IGNACIO SANTOS PRECIADO,"La convocatoria inició el 13 de enero y concluyó el 2 de marzo de este mismo año, y tuvo una gran respuesta pues se recibieron cerca de 250 postulaciones a los distintos premios.",0.0,33,07,04,2021
JOSE IGNACIO SANTOS PRECIADO,"Se constituyeron jurados para cada distinción formados por eminentes médicos y médicas y enfermeras con reconocimiento nacional para analizar las propuestas y dictaminar los ganadores, lo cual agradezco mucho su participación.",0.0,31,07,04,2021
JOSE IGNACIO SANTOS PRECIADO,"Por segundo año consecutivo el premio ‘Doctor Guillermo Soberón Acevedo’, que se otorga a quien se haya distinguido en forma sobresaliente en desarrollo de instituciones de salud fue declarado desierto.",0.0,30,07,04,2021
JOSE IGNACIO SANTOS PRECIADO,"Hoy la condecoración ‘Doctor Eduardo Liceaga’ se entrega al doctor Guillermo Miguel Ruiz Palacios y Santos, destacado mexicano graduado en la Facultad de Medicina de la UNAM, realizó la especialidad de Medicina Interna en el Instituto Nacional de Ciencias Médicas y Nutrición y un posgrado en Infectología y Microbiología Clínica en la Universidad de Texas.",0.0,55,07,04,2021
JOSE IGNACIO SANTOS PRECIADO,En 1978 transformó el Laboratorio de Microbiología Clínica y Parasitología establecido en 1947 por el doctor José Ruiloba Benítez en un departamento de infectología con un concepto moderno de la especialidad.,0.0,31,07,04,2021
JOSE IGNACIO SANTOS PRECIADO,Modificó el plan de estudios de infectología de la UNAM y ha formado una escuela de infectólogos y microbiólogos a lo largo y ancho de nuestro país y en América Latina.,0.0,31,07,04,2021
JOSE IGNACIO SANTOS PRECIADO,"Tiene una larga trayectoria de investigación innovadora y ha contribuido al conocimiento básico de la fisiopatología de numerosos agentes infecciosos, entre otras contribuciones, por el doctor Ruiz Palacios.",0.0,28,07,04,2021
JOSE IGNACIO SANTOS PRECIADO,"Sin duda alguna todas y todos quienes hoy reciben estos premios han contribuido a construir un mundo más justo, un mundo más saludable coincidiendo con el tema, el lema del día de hoy del Día Mundial de la Salud.",0.0,39,07,04,2021
JOSE IGNACIO SANTOS PRECIADO,"Como se establece en nuestra Constitución, toda persona tiene derecho a la salud, entendiendo como el disfrute del más alto nivel de bienestar físico, mental y social.",0.0,27,07,04,2021
JOSE IGNACIO SANTOS PRECIADO,"La salud es un bien público de carácter progresivo que no puede disminuir ni retroceder, es decir, el avance debe de garantizar siempre la calidad de la atención médica y el propiciar un estado saludable de nuestra población.",0.0,38,07,04,2021
JOSE IGNACIO SANTOS PRECIADO,"El Consejo de Salubridad General, como autoridad sanitaria, tiene la responsabilidad de identificar, analizar y tomar decisiones y evaluaciones en seguimiento a las políticas nacionales del Estado dentro del sector salud, informando la mejor evidencia técnica y científica.",0.0,38,07,04,2021
JOSE IGNACIO SANTOS PRECIADO,"Confluyen en el consejo instituciones públicas y organizaciones gubernamentales y no gubernamentales, y con toda responsabilidad emiten disposiciones y acuerdos en favor de la salud de la sociedad mexicana porque en la constitución de una buena salud participa todo el gobierno de la mano con la sociedad.",0.0,47,07,04,2021
JOSE IGNACIO SANTOS PRECIADO,"Es por ello que reconocer a quienes se entregan a cabalidad el desempeño de su profesión, en contribuir a la construcción de una nueva mejor ciudadanía comprometida socialmente con las instituciones, con su comunidad y con su país.",0.0,38,07,04,2021
JOSE IGNACIO SANTOS PRECIADO,Agradeciendo. Muchísimas gracias.,0.0,3,07,04,2021
