Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
OLGA SANCHEZ CORDERO," Muy buenos días. Con su venia, señor presidente.",0.0,8,12,05,2021
OLGA SANCHEZ CORDERO,"En cumplimiento a la instrucción y como parte de las acciones que se llevan a cabo en beneficio y promoción de la gobernabilidad en nuestro país, la Secretaría de Gobernación, en coordinación con otras secretarías de Estado, concretamente con la Secretaría del Trabajo y la Secretaría de Economía, y también con los gobiernos locales, ha servido la Secretaría de Gobernación como facilitador del diálogo para la atención de seis conflictos mineros en los estados de Sinaloa, Baja California, Guerrero, Zacatecas y Querétaro.",0.0,82,12,05,2021
OLGA SANCHEZ CORDERO,Con esta intervención se han escuchado las voces de los interesados y se ha logrado generar acuerdos consensuados en beneficio de todas las partes interesadas.,0.0,25,12,05,2021
OLGA SANCHEZ CORDERO,¿Pueden pedir que vayan pasando la segunda diapositiva?,0.0,8,12,05,2021
OLGA SANCHEZ CORDERO,"En el tema de la mina de San Rafael, en Cosalá, se ha dado un seguimiento puntual y me permitiré exponer algunas de las acciones realizadas para su atención.",0.0,29,12,05,2021
OLGA SANCHEZ CORDERO,"La situación que concierne a la mina de Cosalá desde enero del 2020 se ha fundado en la exigencia de los trabajadores por la aplicación de un contrato colectivo de trabajo, así como las medidas referentes al medio ambiente y a la salud. Asimismo, existía una disputa entre organizaciones sindicales por la titularidad del Contrato Colectivo de Trabajo.",0.0,58,12,05,2021
OLGA SANCHEZ CORDERO,En febrero y agosto del 2020 se realizaron diversas acciones tendientes a acercar las posiciones y a buscar entablar un diálogo entre las partes.,0.0,24,12,05,2021
OLGA SANCHEZ CORDERO,El 17 de septiembre la Junta Federal de Conciliación y Arbitraje llevó a cabo un recuento para definir la titularidad del contrato colectivo.,0.0,23,12,05,2021
OLGA SANCHEZ CORDERO,"Para el 20 de septiembre, la Junta Federal de Conciliación y Arbitraje reconoció al Sindicato Nacional de Trabajadores Mineros, Metalúrgicos, Siderúrgicos y Similares de la República Mexicana como el titular del contrato colectivo, y como consecuencia de lo anterior -que aquí es importante decirlo- se presentaron dos juicios de amparo, por lo que la titularidad del Contrato Colectivo de Trabajo está aún en tribunales.",0.0,64,12,05,2021
OLGA SANCHEZ CORDERO,"Y también hacer un llamado muy respetuoso a los tribunales que tienen estos dos juicios de amparo para que pudieran resolver a la brevedad posible y nosotros en las negociaciones tener la certeza ya sobre la resolución que emitan, en base a la resolución que emitan.",0.0,46,12,05,2021
OLGA SANCHEZ CORDERO,"En diciembre del 2020, el señor presidente de la República instruyó a las titulares de las secretarías de Gobernación, de Trabajo y de Economía encargarse de la conciliación del conflicto. Durante ese mismo mes fueron retomadas las negociaciones con la intención de reanudar las operaciones de la mina, conciliar las diferencias entre la empresa y el sindicato.",0.0,57,12,05,2021
OLGA SANCHEZ CORDERO,"En marzo del año en curso se llevaron a cabo diversas reuniones para la discusión y negociación de un nuevo acuerdo. Paralelamente, se trabajó en una carta compromiso con el detalle de los alcances de la reapertura de la mina, el ingreso de los trabajadores y la realización de una visita de inspección en materia de seguridad e higiene por parte de la Secretaría del Trabajo y Previsión Social.",0.0,69,12,05,2021
OLGA SANCHEZ CORDERO,"El 26 de abril, una comisión de servidores públicos de las secretarías de Gobernación, Trabajo y Economía, hace apenas escasos días llevó a cabo diversas reuniones en Culiacán, Sinaloa, con trabajadores de la Mina de Cosalá, quienes coincidieron en que la reactivación de la mina es una prioridad.",0.0,48,12,05,2021
OLGA SANCHEZ CORDERO,"Actualmente, las partes se encuentran en pláticas sobre los términos de la reapertura de la mina y el ingreso de los trabajadores. Y aquí hacemos un llamado tanto a la empresa minera como a los trabajadores a avanzar en las diversas posiciones que se tienen de recontratación de algún grupo de trabajadores para que ya podamos avanzar en la reapertura de la mina.",0.0,63,12,05,2021
OLGA SANCHEZ CORDERO,"Esto sería cuanto, señor presidente. Muchas gracias.",0.0,7,12,05,2021
OLGA SANCHEZ CORDERO," El día de ayer se tuvo ya el consejo general y ya se estableció que algunas de ellas van a reelegirse y otras van, se está sacando la convocatoria para renovar algunas otras plazas de este consejo, pero fue muy bueno el consejo.",0.0,43,12,05,2021
OLGA SANCHEZ CORDERO,"La verdad es que todo se llevó a cabo muy bien, hubo mucha respuesta por parte de las consejeras y fue un consejo bastante, bastante productivo y fructífero. Yo lo único que puedo decir es que ya se va a sacar la convocatoria y ahí estarán las bases para las nuevas integrantes del Consejo Consultivo de Inmujeres.",0.0,57,12,05,2021
