Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JESUS RAMIREZ CUEVAS, Salieron otros contratos.,0.0,3,19,05,2021
JESUS RAMIREZ CUEVAS, Que salieron otros contratos.,0.0,4,19,05,2021
JESUS RAMIREZ CUEVAS, Un contrato del Tribunal Electoral del Poder Judicial de la Federación con Nexos.,0.0,13,19,05,2021
JESUS RAMIREZ CUEVAS, Es publicidad y lo del asunto de la Corte son artículos de la Corte que se publican en esa sección. Esos artículos están publicados.,0.0,24,19,05,2021
JESUS RAMIREZ CUEVAS, Son artículos.,0.0,2,19,05,2021
JESUS RAMIREZ CUEVAS, En la revista Nexos y en el sitio (inaudible),0.0,9,19,05,2021
JESUS RAMIREZ CUEVAS," Están como opinión, pero…",0.0,4,19,05,2021
JESUS RAMIREZ CUEVAS, Más o menos.,0.0,3,19,05,2021
JESUS RAMIREZ CUEVAS, Son 63 mil por cada artículo.,0.0,6,19,05,2021
JESUS RAMIREZ CUEVAS," Tenemos un enlace en el aeropuerto, está el canciller.",0.0,9,19,05,2021
