Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ARTURO REYES SANDOVAL," Buenos días, señor presidente.",0.0,4,04,05,2021
ARTURO REYES SANDOVAL,"Estamos transmitiendo aquí desde su casa, el Instituto Politécnico Nacional, desde el centro de vacunación ‘Jaime Torres Bodet’, mejor conocido como ‘el Queso’.",0.0,23,04,05,2021
ARTURO REYES SANDOVAL,"Y, bueno, el Instituto Politécnico Nacional, refrendando su compromiso social y con esta excelente relación con la jefa de Gobierno, la doctora Claudia Sheinbaum.",0.0,24,04,05,2021
ARTURO REYES SANDOVAL,"Le informo, señor presidente, que aquí en ‘el Queso’, en el área del Auditorio ‘Jaime Torres Bodet’ el día de ayer se vacunaron seis mil 503 personas y aquí al lado, en la Escuela Nacional de Ciencias Biológicas, tres mil 244 personas.",0.0,42,04,05,2021
ARTURO REYES SANDOVAL,"Y aunque el número es variable, cada día esperamos prácticamente la misma cantidad. Vamos a estar aquí de lunes a viernes vacunando a las personas de 50 a 59 años.",0.0,30,04,05,2021
ARTURO REYES SANDOVAL,"Le comento también, señor presidente, que tenemos siete mil metros cuadrados de carpas, mil 300 personas aquí en este punto de vacunación, con 90 células de vacunación, y están a cargo del IMSS.",0.0,33,04,05,2021
ARTURO REYES SANDOVAL,"Participan en este esfuerzo conjunto Semovi, la Secretaría de Cultura, Protección Civil, Seguridad Ciudadana, la alcaldía Gustavo A. Madero, servidores de la nación, Sedena y por supuesto el gobierno de la Ciudad de México, señor presidente.",0.0,36,04,05,2021
ARTURO REYES SANDOVAL," Así es, señor presidente, iniciamos el día de ayer este proceso de 50 a 59 y vamos a estar hasta el día viernes de 7:00 de la mañana a 4:00 de la tarde, y ahora se están preparando para vacunar a una persona, señor presidente.",0.0,45,04,05,2021
ARTURO REYES SANDOVAL, La Gustavo A. Madero.,0.0,4,04,05,2021
ARTURO REYES SANDOVAL," Así es, señor presidente. En estos momentos han aplicado una de las primeras vacunas del día de hoy aquí en Zacatenco.",0.0,21,04,05,2021
ARTURO REYES SANDOVAL, Soy químico bacteriólogo y parasitólogo del Instituto Politécnico Nacional.,0.0,9,04,05,2021
ARTURO REYES SANDOVAL," Exactamente, sí, y con un doctorado en Biomedicina Molecular, en el cual nos especializamos en vacunas y con prácticamente 20 años de experiencia en el desarrollo de vacunas de nueva generación, como estas que se están aplicando actualmente, señor presidente.",0.0,40,04,05,2021
ARTURO REYES SANDOVAL," Una felicitación a todos los que están trabajando aquí y colaborando en esta gran labor. Gracias, señor presidente.",0.0,18,04,05,2021
