Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
LUCIANO CONCHEIRO BORQUEZ," Qué tal, buenos días, querido presidente, querida jefa de Gobierno. Un saludo solidario a los habitantes de Tláhuac.",0.0,18,04,05,2021
LUCIANO CONCHEIRO BORQUEZ,"Estamos hoy aquí en el municipio de Yecapixtla, Morelos, iniciando la vacunación en seis nuevas entidades federativas. Es muy importante porque ya 11 han terminado y estas 11 representan casi un millón de vacunadas y vacunados.",0.0,36,04,05,2021
LUCIANO CONCHEIRO BORQUEZ,"Esta es una gran jornada de una conciencia que podríamos decir con usted, la revolución de las consciencias en términos de la actitud hacia la educación y de esto.",0.0,29,04,05,2021
LUCIANO CONCHEIRO BORQUEZ,"Hoy, junto con Guanajuato, como ya se mencionó, tenemos a Colima, a Durango, Michoacán, San Luis Potosí y aquí Morelos.",0.0,20,04,05,2021
LUCIANO CONCHEIRO BORQUEZ,"Agradecemos toda la colaboración que se ha dado en este trabajo, como usted lo mencionaba, de solidaridad, de trabajo en equipo.",0.0,21,04,05,2021
LUCIANO CONCHEIRO BORQUEZ,Me permito pasarle el micrófono a nuestro secretario de Salud del estado de Morelos.,0.0,14,04,05,2021
LUCIANO CONCHEIRO BORQUEZ," ¿Cómo se siente?, tranquila.",0.0,4,04,05,2021
LUCIANO CONCHEIRO BORQUEZ, Perfecto.,0.0,1,04,05,2021
LUCIANO CONCHEIRO BORQUEZ,"Pues el sector educativo debe de estar hoy iniciando toda la vacunación precisamente aquí en Cuautla y esto es con la finalidad de que nuestras y nuestros maestros estén bien protegidos, y posteriormente toda la población. Adelante, por favor.",0.0,39,04,05,2021
LUCIANO CONCHEIRO BORQUEZ,"Bueno, le han aplicado. ¿Cómo se siente maestra?",0.0,8,04,05,2021
LUCIANO CONCHEIRO BORQUEZ,"Pues muchísimas gracias, señor presidente. Es así como se ha aplicado a la maestra María la primera vacuna aquí en el estado de Morelos para el sector educativo.",0.0,28,04,05,2021
LUCIANO CONCHEIRO BORQUEZ,Que tenga usted y todo su equipo excelente día.,0.0,9,04,05,2021
