Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
LAURA VELAZQUEZ ALZUA," Muy buen día, buen día, presidente. ¿Nos escuchan?",0.0,8,11,06,2021
LAURA VELAZQUEZ ALZUA," Claro que sí, presidente. Muy buen día.",0.0,7,11,06,2021
LAURA VELAZQUEZ ALZUA,"Espero que nos escuchen, la señal por acá falla un poquito. Seremos muy breves y concretas en nuestra información. Muchas gracias.",0.0,21,11,06,2021
LAURA VELAZQUEZ ALZUA,"Muy buen día a usted, a la secretaria Rosa Icela y al secretario Luis Cresencio Sandoval, a todos muy buen día.",0.0,21,11,06,2021
LAURA VELAZQUEZ ALZUA,"Exactamente, señor presidente, llegamos el día sábado 5 de junio, a las 2:00 de la mañana estábamos aquí en Múzquiz, seguimos aquí, señor.",0.0,23,11,06,2021
LAURA VELAZQUEZ ALZUA,Hemos estado trabajando de manera ininterrumpida durante 150 horas para lograr el objetivo principal (falla de transmisión) de rescatar a los siete trabajadores en la mina,0.0,26,11,06,2021
LAURA VELAZQUEZ ALZUA,"estaban, la cual se colapsó por (falla de transmisión), esta fue la causa del accidente en la mina carbonera ‘Micarán’, que está ubicada en Rancherías, es el ejido de Rancherías, es el municipio de Múzquiz del estado de Coahuila.",0.0,39,11,06,2021
LAURA VELAZQUEZ ALZUA,"Como bien lo menciona, señor presidente, por sus instrucciones nos trasladamos a Múzquiz desde el viernes en la tarde-noche. A las 12:50 de la mañana del día viernes fue anunciado a Protección Civil del estado de este accidente en la mina ‘Micarán’. De inmediato nosotros hicimos toda la comunicación con Protección Civil municipal de Múzquiz, en el estado de Coahuila, para el arribo de todos los esfuerzos necesarios y empezar el rescate.",0.0,72,11,06,2021
LAURA VELAZQUEZ ALZUA,"Desde el primer minuto, señor, llegó la Guardia Nacional y Sedena. Estuvieron aquí más de 150 horas trabajando, repito, de manera ininterrumpida un total de (falla de transmisión) elementos de los tres órdenes de gobierno y un total de (falla de transmisión) unidades.",0.0,43,11,06,2021
LAURA VELAZQUEZ ALZUA,"Fueron siete días de intenso trabajo, en donde estuvimos de una manera muy organizada, en una unidad absoluta con el objetivo de rescatar a los siete mineros.",0.0,27,11,06,2021
LAURA VELAZQUEZ ALZUA,"Ayer, señor, a las 21:58 horas de la noche rescatamos al último trabajador minero con el nombre de Juan Carlos, que en estos momentos ya se encuentra con su familia.",0.0,30,11,06,2021
LAURA VELAZQUEZ ALZUA,"Nosotros, señor, hemos hecho una labor de mucha cercanía, que ahorita nos presentará la licenciada Luisa María Alcalde, secretaria del Trabajo, una cercanía con las familias, con los trabajadores.",0.0,29,11,06,2021
LAURA VELAZQUEZ ALZUA,"Resaltar que los guías, quienes encabezaron el rescate de los siete trabajadores fueron los propios mineros. Ellos que conocen su mina (falla de transmisión) de otras minas aledañas estaban al frente y acompañados todo el tiempo de la Guardia Nacional, de la Sedena y de todo el gobierno del estado de Coahuila.",0.0,52,11,06,2021
LAURA VELAZQUEZ ALZUA,"Si me lo permite, quisiera hacer mención de todas las instancias que estuvimos participando. Del gobierno federal estuvo Sedena, Guardia Nacional, la Secretaría del Trabajo y Prevención Social, la Secretaría de Economía, Conagua, IMSS y el Insabi; del gobierno del estado, la secretaría de Gobierno del estado, el propio gobernador estuvo acompañándonos, el ingeniero Riquelme, la Secretaría del Trabajo del estado, la Subsecretaría de Protección de Coahuila.",0.0,67,11,06,2021
LAURA VELAZQUEZ ALZUA,"También resaltar la labor tan importante y acompañamiento de Protección Civil de Nuevo León, de Protección Civil de Coahuila, de Múzquiz; por supuesto, de la Coordinación Nacional de Protección Nacional.",0.0,30,11,06,2021
LAURA VELAZQUEZ ALZUA,"Estuvimos también acompañados por Protección Civil del municipio, de obras públicas, de la policía municipal, del DIF municipal.",0.0,18,11,06,2021
LAURA VELAZQUEZ ALZUA,"Agradecer a las empresas mineras que nos acompañaron no solamente haciendo presencia, sino permitiendo que sus trabajadores, los mineros, fueran nuestra guía para poder rescatar a nuestros trabajadores mineros.",0.0,29,11,06,2021
LAURA VELAZQUEZ ALZUA," Gracias, gracias de todo corazón.",0.0,5,11,06,2021
LAURA VELAZQUEZ ALZUA,Buen día.,0.0,2,11,06,2021
