Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ROSA ICELA RODRIGUEZ VELAZQUEZ," Nada más voy a hacer una introducción. Muchas gracias, con su permiso, señor presidente.",0.0,14,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Nos toca, como cada mes, dar el informe mensual sobre los resultados de la estrategia nacional de seguridad, instruida por el presidente de México, Andrés Manuel López Obrador. Esto articula las acciones del Gobierno de México para dar tranquilidad y paz a los mexicanos.",0.0,44,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Decirles, recordarles que todos los días desde muy temprano el señor presidente de México encabeza las labores del Gabinete de Seguridad.",0.0,21,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,Con la misma persistencia las Mesas de Paz y Seguridad sesionan y llegan a acuerdos en cada una de las 32 entidades federativas y 266 regiones donde se coordinan las acciones del Gobierno de México con las autoridades de los estados y municipios en materia de construcción de paz y seguridad.,0.0,51,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Este informe que se va a dar a continuación es resultado del trabajo de las instituciones integrantes del Gabinete de Seguridad como la Secretaría de Gobernación, la Secretaría de la Defensa Nacional, la Secretaría de Marina, la Consejería Jurídica de la Presidencia de México, el Centro Nacional de Inteligencia y también la Secretaría de Seguridad y Protección Ciudadana junto con la Guardia Nacional con la representación del general Bucio, que es el comandante de la Guardia Nacional, a quien le cedo el uso el palabra.",0.0,85,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ," Con su permiso, señor presidente.",0.0,5,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Todas las acciones que se han hecho por los tres órdenes de gobierno, tanto por el gobierno federal, el Gabinete de Seguridad, los gobiernos estatales y municipales, presentamos a continuación las cifras.",0.0,32,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"En la incidencia delictiva del fuero federal, los delitos han disminuido 27.2 por ciento, en enero a mayo de 2021 respecto al mismo periodo de 2019, lo que representa una tendencia a la baja desde el inicio de la administración.",0.0,40,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,En la incidencia delictiva del fuero federal tenemos a continuación el comparativo de enero a mayo 2021 contra el mismo periodo del 2020.,0.0,23,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"En delitos fiscales, 27 por ciento menos.",0.0,7,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"En delitos financieros, menos 21.3 por ciento.",0.0,7,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Delitos de la delincuencia organizada, menos 19.7 por ciento.",0.0,9,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Delitos relacionados con arma de fuego y explosivos, menos 5.5 por ciento.",0.0,12,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Delitos patrimoniales, menos 5.2 por ciento.",0.0,6,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Delitos cometidos por servidores públicos, es más 8.1 por ciento.",0.0,10,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"En delitos contra la salud, ocho por ciento más.",0.0,9,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Y los delitos electorales por el, digamos, periodo electoral, subieron a 137 por ciento con respecto al 2020, cuando no había proceso electoral.",0.0,23,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"En cuanto a los homicidios dolosos, se sigue conteniendo la tendencia al alza del homicidio doloso durante la presenta administración y de enero a mayo de 2021 disminuyó 2.9 por ciento respecto al mismo periodo del año anterior.",0.0,38,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"En cuanto al homicidio doloso por entidad federativa hay que decir que en el acumulado de enero a mayo de 2021 seis entidades concentran el 50 por ciento de las víctimas de homicidio doloso en el país, ellos son Guanajuato, Baja California, Jalisco, Estado de México, Michoacán y Chihuahua.",0.0,49,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"También hay que decir -adelante, por favor- que, aunque Guanajuato es el primer lugar de los homicidios dolosos de las 32 entidades, continúa el trabajo y los reforzamientos que han hecho los operativos de la Secretaría de la Defensa y Guardia Nacional instruido por el presidente, ha permitido contener este delito y estamos yendo hacia la baja.",0.0,57,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Adelante, por favor. En cuanto a los homicidios dolosos en los 15 municipios de atención prioritaria, en los primeros cinco meses del 2021 se registró una baja de 6.1 por ciento en homicidios dolosos respecto al mismo periodo del año pasado.",0.0,41,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Hay que decir que en los 15 municipios prioritarios se concentra el 27 por ciento de los homicidios del país, también que en nueve municipios se observa una disminución de 16.6 por ciento en promedio, en tanto que en seis municipios se incrementó este delito 19.6 por ciento en promedio.",0.0,50,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"De los municipios que se incrementan, estos seis municipios que incrementan está León Guanajuato; Cajeme, Sonora; Acapulco, Guadalajara, Chihuahua y Morelia.",0.0,21,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"En tanto que los municipios que han venido a la baja están Tijuana, Ciudad Juárez, Celaya, Culiacán, Benito Juárez en Quintana Roo, San Pedro Tlaquepaque, Irapuato e Iztapalapa junto con Salamanca.",0.0,31,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Como ha sido, por ejemplo, el caso de Irapuato y Salamanca e Iztapalapa, cambiaremos el próximo mes dándoles prioridad a otros municipios que van al alza.",0.0,26,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"En los robos totales, de enero a mayo de 2021 se registró una disminución de 5.8 por ciento respecto al mismo periodo del 2020.",0.0,24,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Del inicio de la administración a la fecha los robos en general han disminuido 22.7 por ciento, ello contempla el robo a casa habitación, de vehículo, transportista, transporte, en fin, todos los robos que se van a dar a continuación.",0.0,40,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,En el caso de robo de vehículo automotor se redujo 14.7 en comparación con los primeros cinco meses de 2020 y con esa misma tendencia se ha reducido el 34.3 respecto a 2019 y se ha logrado mantener la tendencia a la baja en lo que va de la administración de robo de vehículos.,0.0,54,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Aquí la incidencia delictiva de los delitos del fuero común, enero-mayo 2021 respecto a enero-mayo 2020.",0.0,16,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Como decíamos, robo de vehículo, menos 14.7.",0.0,7,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Robo de ganado, menos 13.1 por ciento.",0.0,7,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Robo a negocio, menos 10.6 por ciento.",0.0,7,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,Robo a transportista menos 10 por ciento.,0.0,7,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Robo a casa habitación, menos 6.8 por ciento.",0.0,8,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,También empieza a contenerse el robo en transporte público colectivo.,0.0,10,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"En cuanto a los delitos de robo transeúnte, tenemos un alza del 6.4 por ciento, así como el robo en transporte individual, 19.3, y también en los taxis se ve un alza de 26.5 por ciento y en la violación de 30 por ciento, y de la trata de personas 47 por ciento y feminicidios siete por ciento al alza.",0.0,60,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,Decir que los delitos de robo continuaron con un 5.8 por ciento a la baja en los cinco meses.,0.0,19,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"En el secuestro, los primeros cinco meses del 2021, el secuestro sigue disminuyendo con 28.8 por ciento respecto al mismo periodo del 2020, continuamos con una baja del 60.4 en mayo de este año comparado con diciembre de 2018, es decir, la baja del 60 por ciento en lo que va de esta administración respecto al delito de secuestro.",0.0,59,21,06,2021
ROSA ICELA RODRIGUEZ VELAZQUEZ,"En cuanto al robo de hidrocarburos, la desviación de miles de barriles al día por mercado ilícito de combustible, en el mes de junio se tuvo un promedio de 4.7 miles de barriles.",0.0,33,21,06,2021
