Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Bueno, vamos a iniciar la semana. Este lunes comenzamos aquí en Villahermosa, Tabasco, esta conferencia porque hemos decidido llevar a cabo las reuniones de seguridad y las conferencias en todas las entidades del país, en todos los estados y estamos iniciando esta nueva etapa aquí en Villahermosa.",0.0,47,12,07,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"El orden del día va a ser el mismo, vamos a informar primero sobre seguridad y posteriormente, como lo hacemos todos los lunes, se va a dar a conocer el Quién es quién en los precios de los combustibles y también vamos a presentar los avances de obras, se van a transmitir los videos de los lunes.",0.0,57,12,07,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Nos da muchísimo gusto estar aquí en nuestra tierra, en nuestra agua, por eso hasta estamos comenzando más temprano. Aquí hay más sol, hay más claridad, esto es el trópico.",0.0,30,12,07,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"De modo que iniciamos agradeciendo la hospitalidad del ciudadano gobernador de Tabasco, Adán Augusto López Hernández y él va a dar la introducción; luego, el general secretario Luis Cresencio Sandoval va a informar sobre la situación de seguridad en el estado y en una segunda etapa, el Quién es quién en los precios, los videos y luego abrimos para preguntas y respuestas.",0.0,62,12,07,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Adán.,0.0,1,12,07,2021
ADAN AUGUSTO LOPEZ HERNANDEZ," Muy buenos días, señor presidente. Bienvenido nuevamente a Tabasco. Señores funcionarios, bienvenidos.",0.0,12,12,07,2021
ADAN AUGUSTO LOPEZ HERNANDEZ,"Muchas gracias por estar aquí, señor presidente, y por inaugurar esta nueva etapa de las reuniones de seguridad y de las conferencias de prensa.",0.0,24,12,07,2021
ADAN AUGUSTO LOPEZ HERNANDEZ,"Informarle que tal y como se presentó en la reunión anterior, en Tabasco se está avanzando en el combate a la inseguridad. En términos generales pasamos de estar en el lugar siete de incidencia delictiva general al lugar 11 nacional, con énfasis en la reducción de delitos como el secuestro, como la extorsión, el homicidio doloso.",0.0,56,12,07,2021
ADAN AUGUSTO LOPEZ HERNANDEZ,"Y ratificar nuestro compromiso para garantizar la seguridad de los tabasqueños. A diferencia de algunos otros, nosotros asumimos como propio este combate a de la delincuencia, porque son delitos mayoritariamente del fuero común, pero trabajamos de manera coordinada con las autoridades federales y eso nos ha permitido pues avanzar en el combate a la delincuencia.",0.0,55,12,07,2021
ADAN AUGUSTO LOPEZ HERNANDEZ,"Decirle que los grandes proyectos nacionales avanzan sin contratiempos: la parte que corresponde a Tabasco del Tren Maya en tres municipios, Zapata, Balancán y Tenosique, así como la construcción de la refinería.",0.0,32,12,07,2021
LUIS CRESENCIO SANDOVAL GONZALEZ," Con su permiso, señor presidente.",0.0,5,12,07,2021
LUIS CRESENCIO SANDOVAL GONZALEZ,"Vamos a informar sobre el ámbito de la seguridad. Adelante, por favor, con la presentación.",0.0,15,12,07,2021
LUIS CRESENCIO SANDOVAL GONZALEZ,"Aquí vamos a ver la incidencia delictiva en el estado. Pueden ver en la pantalla los diferentes eventos delictivos, el robo a transeúntes, lo que es homicidio doloso, el secuestro, el feminicidio, el robo a casa habitación, el robo a vehículos. El total de los delitos de alto impacto, todos están hacia la baja, a pesar de que tienen una representación importante, tomando en cuenta la parte nacional, pero todos los delitos van a la baja; a excepción del robo a transportistas, que tiene un incremento y ahorita lo vamos a ver en las gráficas.",0.0,95,12,07,2021
LUIS CRESENCIO SANDOVAL GONZALEZ,"Este incremento no es tan alto, pero bueno, como han venido trabajando a través de esta administración las Fuerzas Federales y las fuerzas estatales, han logrado reducciones importantes y cualquier incremento, aunque sea menor, se observa como en este caso.",0.0,40,12,07,2021
LUIS CRESENCIO SANDOVAL GONZALEZ,"El robo a transeúntes, ustedes pueden observar en la lámina, aquí tenemos cuál es la tendencia que lleva este delito y ustedes pueden observar en el acumulado anual que en el 2020 se tuvieron tres mil 771 eventos delictivos de esta naturaleza y en lo que va del año, que vamos a mitad del año, 629 únicamente. Entonces, la reducción ha sido importante.",0.0,63,12,07,2021
LUIS CRESENCIO SANDOVAL GONZALEZ,"En cuando a homicidios dolosos, de igual manera, el trabajo coordinado que se realiza en el estado, fuerzas federales, fuerzas estatales, también ha logrado su efecto positivo. En el 2020, 508 eventos y en lo que va de este primer semestre del año únicamente 191, entonces hay una reducción o una proyección a final del año que sea una baja considerable.",0.0,61,12,07,2021
LUIS CRESENCIO SANDOVAL GONZALEZ,"En cuanto a secuestros, también, como ya son de los delitos que mencionó el señor gobernador, también va a la baja. En el 2020 tuvieron 32, en el 19 habían tenido 40, en el 18, 103, pero este este año únicamente 10 secuestros.",0.0,43,12,07,2021
LUIS CRESENCIO SANDOVAL GONZALEZ,"En feminicidios también en el 2020 15, y en lo que va del presente año únicamente tres.",0.0,17,12,07,2021
