Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días.,0.0,2,21,07,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pues hoy vamos a informar sobre seguridad. Ustedes saben que todos los días 20 de cada mes corresponde informar al pueblo sobre la seguridad pública. No lo hicimos ayer, 20, porque era el día de la salud, el martes que dedicamos al Pulso de la Salud y por eso se va a informar el día de hoy sobre la situación de la seguridad pública en México.",0.0,66,21,07,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"También hoy corresponde, como todos los miércoles, informar sobre Quién es quién en las mentiras de la semana.",0.0,18,21,07,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y vamos de la misma manera a informar sobre esta noticia de espionaje, de Pegasus, este equipo o aparato de espionaje que se aplicó en los gobiernos de Calderón y de Peña Nieto, y se va a explicar sobre el dinero que costó, que es lo que más debería de preocuparnos, porque el que espíen es un delito, pero además cuesta mucho, se usaba mucho dinero del presupuesto con esos propósitos, entonces, el titular de la Unidad de Inteligencia Financiera, Santiago Nieto, va a informar sobre cuánto dinero se movió en estos contratos.",0.0,93,21,07,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Toda esta información va a la Fiscalía General de la República, que ayer nos solicitó que se enviara información de todas las dependencias del gobierno sobre este asunto; en respuesta, se va a entregar esta información y contratos que se encuentran en los archivos de la secretaría del Ejecutivo federal.",0.0,50,21,07,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, vamos a iniciar con seguridad.",0.0,6,21,07,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Uno y luego atrás, tú, tú, y tú, cuatro, cinco. A ver.",0.0,12,21,07,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Bueno, todo esto tiene que ver con el antiguo régimen, eran las prácticas para tener el control, para intimidar, manipular, para imponerse.",0.0,22,21,07,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Esto fue un distintivo durante todo el periodo neoliberal, prácticamente todos los gobiernos, incluso desde antes, pero se fue perfeccionando el espionaje a partir de una etapa nueva que se inicia con Carlos Salinas, con el Cisen.",0.0,37,21,07,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Baste saber quiénes fueron los directores del Cisen: un señor Del Villar, en la época de Salinas, Tello, Wilfrido Robledo, ahí se formó García Luna, es muy probable que de ahí hayan salido muchos otros, fue toda una escuela.",0.0,39,21,07,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y no sólo era una práctica que se llevaba a cabo desde el gobierno federal, sino también en los estados, como lo mencionas. Todo esto, pues debe de desaparecer, eso es lo más importante, la no repetición, el que ya no se espíe a nadie. Por eso es importante la investigación que se hizo a nivel mundial.",0.0,57,21,07,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y también por eso fue importante lo de WikiLeaks en su momento, que Assange debe de ser liberado, porque está injustamente en la cárcel, tratado con saña, por dar a conocer algo parecido, que yo creo que hasta de más alcance.",0.0,41,21,07,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Porque nadie debe de ser espiado, se debe de respetar a opositores y los sistemas de inteligencia pues tienen que estar orientados a la defensa y a la protección de la seguridad de los Estados, la seguridad nacional, para garantizar la paz, la tranquilidad, enfrentar la delincuencia organizada; pero no puede utilizarse el espionaje con propósitos políticos, que era lo que predominaba. Entonces, tenemos que cambiar.",0.0,66,21,07,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Qué bien la fiscalía ha iniciado una investigación. Que se profundice, que se presenten más elementos, que se ventile todo este asunto, sobre todo, insisto, el costo, porque era un jugoso negocio tanto de las empresas como de los funcionarios.",0.0,40,21,07,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Imagínese un contrato… ¿Cuánto fue el de Pegasus?,0.0,8,21,07,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Treinta y dos millones de dólares, de inicio. Se destinaba mucho dinero a espiar.",0.0,14,21,07,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y que todo eso desaparezca, que haya garantías para que actuemos con libertad, que podamos hablar por teléfono y no estar pensando que nos están escuchando o desarrollar toda una tecnología para que no puedan escuchar.",0.0,36,21,07,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Yo recuerdo que me llamó la atención, primero, una entrevista en los tiempos que fui opositor, hace algún tiempo, cuando el Éxodo por la Democracia, que tuve tratos con Gutiérrez Barrios y fui a su oficina en Gobernación, y tenía como dos o tres cosas:",0.0,45,21,07,2021
