Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ANA ELIZABETH GARCIA VILCHIS," Con su permiso, señor presidente. Buenos días a todas y a todos.",0.0,12,11,08,2021
ANA ELIZABETH GARCIA VILCHIS,"El gobierno que encabeza el presidente de la República, Andrés Manuel López Obrador, garantiza la libertad de expresión y está comprometido con la protección de los periodistas que ven vulnerados sus derechos.",0.0,32,11,08,2021
ANA ELIZABETH GARCIA VILCHIS,"Desde este espacio, en el Quién es Quién en las Mentiras de la Semana nos solidarizamos con los periodistas amenazados por el crimen organizado con cualquier amenaza o acto de intimidación. El Gobierno de México está comprometido con la libertad y el derecho a la información. Ya no hay censura ni compra de consciencias por parte del gobierno y se toman medidas para proteger a los periodistas que se encuentren en situación de riesgo como consecuencia de su ejercicio, de su profesión.",0.0,82,11,08,2021
ANA ELIZABETH GARCIA VILCHIS,"Bueno, ahora vamos a pasar a nuestra sección Quién es Quién en las Mentiras de la Semana. La primera nota es:",0.0,21,11,08,2021
ANA ELIZABETH GARCIA VILCHIS,"Reforma publica mentira en primera plana: ‘Dejan sin recursos a centros científicos’. Este lunes 9 de agosto el periódico Reforma publicó en su portada la nota ‘Dejan sin recursos a centros científicos’. Además del titular amarillista, la nota contiene datos falsos y tergiversaciones que intentan engañar a los lectores.",0.0,49,11,08,2021
ANA ELIZABETH GARCIA VILCHIS,"La nota dice que el gobierno no ha cumplido su promesa de respaldar el gasto de los centros de investigación una vez que comenzó la eliminación de sus fideicomisos. Según Reforma, ya sin los fideicomisos que financiaban la actividad de estos centros, los recursos provendrían del presupuesto federal; pero dice: ‘Actualmente la mayoría de los centros de investigación acarrean retrasos presupuestales que ascenderían a tres mil 909 millones de pesos.’",0.0,70,11,08,2021
ANA ELIZABETH GARCIA VILCHIS,"Esta información es completamente falsa. El gobierno federal ha cumplido a cabalidad la entrega de recursos a los centros públicos de investigación, no ha habido retraso alguno; por el contrario, los recursos que antes iban a fideicomisos ahora se encuentran en las tesorerías de los mismos centros públicos de investigación, conforme al calendario presupuestal del PEF 2021.",0.0,57,11,08,2021
ANA ELIZABETH GARCIA VILCHIS,"El artículo de Reforma expone con dramatismo que los centros de investigación apenas tienen para pagar la luz y el agua, y que no hay dinero para nuevos equipos. Esto también es falso. Conacyt publica cada año una convocatoria para renovar equipos, en 2021 se destinaron 300 millones para la adquisición de equipos de cómputo y laboratorio.",0.0,57,11,08,2021
ANA ELIZABETH GARCIA VILCHIS,"Más adelante se afirma que los investigadores ahora dependen de convocatorias internacionales y que deben dedicar más tiempo al proceso de fondeo que de investigación. Esta información también es falsa. Por un lado, se ignora que el hecho de que la mayor parte del financiamiento a proyectos de investigación científica procede de convocatorias públicas nacionales y no internacionales, y que son suficientes, amplias y diversas. No ha habido ningún cambio que haga suponer que hay menos opciones, ni factores que obliguen a los investigadores a invertir mayor tiempo que antes en la búsqueda de financiamiento.",0.0,95,11,08,2021
ANA ELIZABETH GARCIA VILCHIS,"Como dato adicional, compartimos que el Conacyt ha destinado más de dos mil millones de pesos para financiar investigación de frontera e infraestructura científica; en cambio, en el sexenio pasado, de Enrique Peña Nieto, ese apoyo fue de cero pesos y no hubo primeras planas de este periódico reclamando la situación.",0.0,51,11,08,2021
ANA ELIZABETH GARCIA VILCHIS,"Vamos con la siguiente nota. Falso que se recortó 75 por ciento de los recursos de mantenimiento del Templo Mayor. En la columna publicada por el periódico El Universal, firmada por Héctor de Mauleón del 9 de agosto pasado, afirma que desde el 2019 se cancelaron los recursos para el mantenimiento del Templo Mayor y que los monumentos del patrimonio hoy están a merced de los desastres naturales, poniendo como ejemplo el colapso de la techumbre que cubre una parte del Templo Mayor, La Casa de las Águilas, debido a una tormenta de granizo ocurrida el pasado 18 de abril de 2021. Esta información es falsa. El presupuesto de mantenimiento del Templo Mayor no ha disminuido.",0.0,116,11,08,2021
ANA ELIZABETH GARCIA VILCHIS,"Los números son muy ilustrativos. En este sentido, basta mirar el presupuesto ejercido por el museo y la zona arqueológica del Templo Mayor, que en números redondos en 2020 fue de 53 millones. Evidentemente la reducción del 75 por ciento no existió.",0.0,42,11,08,2021
ANA ELIZABETH GARCIA VILCHIS,"Vamos a la siguiente nota. Esta es una, dice: ‘Mentiras de las redes sociales que son usadas en la prensa nacional para desprestigiar’. En el periódico El Universal el señor Mario Maldonado publica una noticia falsa que proviene de las redes sociales y que presenta como una revelación de supuestos empresarios de Houston, Texas, para desprestigiar a la familia del presidente.",0.0,61,11,08,2021
ANA ELIZABETH GARCIA VILCHIS,"Mario Maldonado, editorialista de El Universal, publica un texto titulado: ‘Los empresarios detrás del gas Bienestar’, del 6 de agosto de 2021, en la que pretende vincular a la empresa estatal Gas Bienestar Pemex que el gobierno echará a andar para suministrar gas a la población a precios justos con la empresa Cava Energy, en la que supuestamente participa Carolyn Adams, esposa de José Ramón López Beltrán, hijo del presidente López Obrador.",0.0,72,11,08,2021
ANA ELIZABETH GARCIA VILCHIS,"Esa empresa presuntamente firmaría contratos con Pemex para suministrar el gas LP que requiere Gas Bienestar. Falso. Gas Bienestar es una filial de Pemex y distribuirá gas LP que produce la paraestatal, además de combustible importado directamente por las filiales de Pemex sin intermediarios. Se trata de un rumor y una noticia falsa que circuló en las redes sociales y que Maldonado le dio forma de noticia, trascendido en su columna de El Universal.",0.0,74,11,08,2021
ANA ELIZABETH GARCIA VILCHIS,"La información fue difundida hace aproximadamente dos semanas a través de mensajería instantánea, por WhatsApp, por una cuenta de Facebook y posteriormente por Twitter, donde se aseguraba que la información privilegiada provenía de fuentes cercanas al vocero de la Presidencia. Todo ello es más falso que un billete de dos mil pesos.",0.0,52,11,08,2021
ANA ELIZABETH GARCIA VILCHIS,"Para quienes nos están viendo y nos están escuchando, queremos compartirles la información que sobre esta nota falsa envía Pemex. Pemex y su filial MGS niegan rotundamente la relación con la empresa Cava Energy, misma que no figura en su padrón de proveedores y tampoco se ha dado acercamiento alguno con fines comerciales.",0.0,53,11,08,2021
ANA ELIZABETH GARCIA VILCHIS,"Bueno, hasta aquí nuestra aclaración y nuestra sección.",0.0,8,11,08,2021
ANA ELIZABETH GARCIA VILCHIS,"Muchas gracias. Gracias, señor presidente.",0.0,5,11,08,2021
