Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
DELFINA GOMEZ ALVAREZ," Qué amable, gracias, presidente. Buenos días, presidente; buenos días compañeros que nos acompañan, compañeros de prensa.",0.0,16,19,08,2021
DELFINA GOMEZ ALVAREZ,"En atención a los trabajos que se han realizado precisamente para este regreso a nuestras escuelas, regreso a clases presenciales que hemos realizado a través de estos tiempos, quiero informar que, si bien se tiene ya el proceso de trabajo con maestros, con maestras, con padres de familia, los cuales quiero agradecer su participación en todas las acciones que a cada uno compete, así como también el trabajo con los gobiernos estatales, con algunos gobiernos municipales y creo que hay una muy buena… No creo, hay una muy buena disposición de todos ellos, insisto, y una buena actitud hacia esta necesidad que tenemos y que es de verdad muy importante y prioritario ese regreso para nuestros niños, niñas, jóvenes y adolescentes.",0.0,121,19,08,2021
DELFINA GOMEZ ALVAREZ,"En atención a ello, también tenemos otro aspecto, que es precisamente el que se reflexione y se reconozca el porqué es importante que nuestros pequeños y nuestras pequeñas, nuestros jóvenes y adolescentes regresen precisamente a lo que es la institución, lo que es la escuela.",0.0,45,19,08,2021
DELFINA GOMEZ ALVAREZ,"Si bien lo hemos comentado en varias ocasiones aquí en este espacio, que no solamente es una situación de aprendizaje, que es lo que por cuestión de sistema educativo nos interesa, pues junto con ello lleva también la situación de afectación de salud, la afectación de… problema de sociabilización y de cuestión sicológica, de la misma cuestión física.",0.0,58,19,08,2021
DELFINA GOMEZ ALVAREZ,"Y quién más que precisamente compañeros, que han hecho estudios muy profesionales, con una visión quizá más amplia en lo que se refiere a lo que es el pequeño o adolescente como ser humano, que son precisamente las instituciones que ahorita nos acompañan.",0.0,43,19,08,2021
DELFINA GOMEZ ALVAREZ,"Yo quiero agradecer, porque ellos precisamente permitirán el emitir algunas opiniones, no solamente a la SEP, sino también a los padres de familia, a la sociedad en general nos van a dar oportunidad de precisamente reflexionar acerca de esta situación que tenemos que tener como prioridad, que es el atender precisamente a nuestra comunidad educativa.",0.0,55,19,08,2021
DELFINA GOMEZ ALVAREZ,"Por ello, agradezco al compañero Luis Fernando Carrera Castro, representante de la Unicef en México. De verdad, muchas gracias.",0.0,19,19,08,2021
DELFINA GOMEZ ALVAREZ,"Ya tuvimos unas reuniones con él, vamos a trabajar de la mano y eso va a ser muy importante, precisamente, para fortalecer algunos aspectos que si bien los hemos estado desarrollando podemos todavía darle mayor atención y mayor cobertura a las acciones que podemos realizar.",0.0,45,19,08,2021
DELFINA GOMEZ ALVAREZ,"Así también, agradezco mucho a nuestro compañero Alejandro Encinas, subsecretario de Gobernación, muchas gracias. Él también ahorita nos va a compartir la información que, creo, es muy relevante e importante en lo que se refiere a la importancia de nuestros pequeños.",0.0,41,19,08,2021
DELFINA GOMEZ ALVAREZ,"Y Nashieli Ramírez Hernández, que es precisamente también nuestra presidenta de la Comisión de Derechos Humanos de la Ciudad de México, y ella hizo una consulta muy interesante sobre precisamente la cuestión infantil a través de lo que le llamó Caminito de la Escuela y que nos ha precisamente servido de referencia a nosotros como secretaría para dar algunas alternativas de acciones tendientes precisamente a esa atención a nuestra comunidad escolar.",0.0,71,19,08,2021
DELFINA GOMEZ ALVAREZ,"Por ello agradezco mucho y voy a ceder, sin otro preámbulo, la palabra para que nos puedan compartir su experiencia, nos puedan compartir información que para nosotros y para la sociedad en general es muy valiosa.",0.0,36,19,08,2021
DELFINA GOMEZ ALVAREZ,Muchas gracias.,0.0,2,19,08,2021
DELFINA GOMEZ ALVAREZ," Sí, muchas gracias por las preguntas.",0.0,6,19,08,2021
DELFINA GOMEZ ALVAREZ,"En lo que se refiere a la primera de las pruebas a los pequeños, nosotros estaremos, como secretaría estaremos atentos a las indicaciones que nos dé la Secretaría de Salud; si lo consideran pertinente, bueno, ellos nos harán precisamente esa notificación.",0.0,41,19,08,2021
DELFINA GOMEZ ALVAREZ,"Como un comentario muy personal, yo creo que el hecho de una prueba así se tiene que hacer con mucho cuidado, sobre todo porque el hecho de poner, por ejemplo, el cotonete en la nariz del pequeñito sí se me hace, bueno, si a los adultos nos molesta o se nos hace medio molesto, yo creo que sí tendríamos que tener unas actividades previas precisamente para que al pequeño no se la haga un efecto medio complicado o difícil de momento en lo que se refiere a la molestia que puede provocar esta prueba. Pero estamos sujetos a lo que comente la secretaría, la recomendación que haga.",0.0,107,19,08,2021
DELFINA GOMEZ ALVAREZ,"En lo que a la carta se refiere, sí, efectivamente, la que emite este periódico es falsa, efectivamente no es oficial.",0.0,21,19,08,2021
DELFINA GOMEZ ALVAREZ,"Este documento efectivamente nosotros lo utilizamos como un documento de análisis para, precisamente, cuando tuvimos la reunión con los secretarios de los diferentes estados que, si ustedes recuerdan, fue precisamente el jueves y el viernes pasado.",0.0,36,19,08,2021
DELFINA GOMEZ ALVAREZ,"Emiten esta información el día jueves. Nosotros, se envía efectivamente la aclaración a este periódico diciendo que, primera, no es el documento, totalmente falso, tiene algunas alteraciones y no es incluso algo que emitiéramos de manera oficial.",0.0,37,19,08,2021
DELFINA GOMEZ ALVAREZ,"Y segundo, es un documento, insisto, que sí lo tomamos como una situación de… Si ustedes recuerdan, el año pasado había una guía en donde precisamente estaba una propuesta o alternativa de un documento que les daba a los padres de familia y que, si ustedes lo analizan bien o si le dan lectura, en ningún momento se trata de quitar la responsabilidad, ni al gobierno ni a la secretaría. Como secretaría nos queda muy clara la responsabilidad que tenemos precisamente, y el compromiso sobre todo con nuestros pequeños.",0.0,89,19,08,2021
DELFINA GOMEZ ALVAREZ,"Segundo, no había ninguna situación de que fuera condicionada o condicionante para que no estuvieran en clase. Lo que a nosotros nos interesa, y coincido totalmente con el presidente, y nos lo ha dicho muchas veces, lo que menos queremos es precisamente hacer esa situación burocrática que no permita que el pequeño acceda a lo que por derecho le corresponde, que es la educación.",0.0,64,19,08,2021
DELFINA GOMEZ ALVAREZ,"Si analizamos esos puntos, que además aumentaron uno más por ahí ellos, si analizáramos esos puntos de esa carta del año pasado, establecían nada más lo que se hace en el primer protocolo de lo que era precisamente el filtro.",0.0,40,19,08,2021
DELFINA GOMEZ ALVAREZ,"Un primer filtro recordemos que en casa, que obviamente el papá, aunque no vaya a la escuela su niño lo primero que hace es precisamente ver si el niño no tiene temperatura, si no tiene catarrito, si no tiene tos, si no presenta dolor de cabeza.",0.0,46,19,08,2021
DELFINA GOMEZ ALVAREZ,"Eso se hace independientemente al menos de manera práctica. Todos los días, cuando tenemos clases, los padres de familia están atentos precisamente a la situación de sus pequeños.",0.0,28,19,08,2021
DELFINA GOMEZ ALVAREZ,"Y la segunda era mandarlo precisamente con cubreboca. Y yo les comentaba en esa ocasión que tuvimos la entrevista, que era una de las situaciones que teníamos que considerar, el uso de cubreboca.",0.0,33,19,08,2021
DELFINA GOMEZ ALVAREZ,"Cuando se hace el análisis con los secretarios de Educación de los diferentes estados, que fue el viernes, yo recuerdo que les enseñé aquí el acuerdo y les dije: Nada más por respeto no lo presentamos porque todavía está en proceso precisamente de análisis y en proceso de terminar algunas situaciones, que, por cierto, sí hubo cambios.",0.0,57,19,08,2021
DELFINA GOMEZ ALVAREZ,"Una de ellas fue, fíjense, esa. Muchos secretarios de los estados nos decían y nos comentaban: ‘Oiga, secretaria, está saliendo esto en las notas, yo creo que están confundiendo la intención, sí valdría la pena analizarlo’. Si esto nos puede causar alguna situación de limitante, pues lo quitamos, no nos afecta en nada porque, insisto, son sugerencias o son situaciones, o prácticas, eso que hacen los padres de familia.",0.0,69,19,08,2021
DELFINA GOMEZ ALVAREZ,"Finalmente, dentro de los acuerdos que tomamos hicimos una minuta y, efectivamente, el día viernes se estableció de que, bueno, sí se iba a considerar una carta siempre y cuando se analizara que no fuera precisamente una limitante o que no fuera un condicionamiento que pudiera producir en los padres de familia, por un lado, desconfianza y, por otro lado, a lo mejor el inhibir su asistencia.",0.0,67,19,08,2021
DELFINA GOMEZ ALVAREZ,"Y, bueno, ya aquí nuestro presidente fue muy claro, yo estoy totalmente de acuerdo. La carta no existe, se elimina, lo que menos queremos, insisto, como Secretaría de Educación Pública es precisamente es que todos anhelamos como sociedad, que es que se regrese a las clases y eliminar prácticas precisamente que son burocráticas y que, lejos a veces de ayudar, llegan a entorpecer.",0.0,63,19,08,2021
DELFINA GOMEZ ALVAREZ," El documento que salió -nada más… para eso aclaro- el documento que salió fue precisamente con la finalidad de aclarar que, en comparación con el que había dado el medio de comunicación, que era… que no era oficial, insisto, sino era un documento para trabajo y para análisis, era muy diferente al que tenía el medio.",0.0,56,19,08,2021
DELFINA GOMEZ ALVAREZ,"Y yo los invitaría. De verdad, creo que es algo… Qué bueno que se aclara. Pero yo sí pediría que nos dieran también oportunidad de a lo mejor nos apoyaran ustedes como medios de comunicación a trabajar temas que realmente de verdad son importantes.",0.0,44,19,08,2021
DELFINA GOMEZ ALVAREZ,"Si el hecho de la carta o no la carta, yo he visto los medios y, de verdad, ocupan un espacio tan grande para eso, de que si la carta o no la carta; bueno, pues yo aquí lo expreso: no es necesaria la carta, no es obligatoria e insisto, lo que podamos eliminar y que pueda ser sujeto para que precisamente nuestros niños estén en las escuelas lo vamos a hacer con mucho gusto, pero ayúdennos mejor precisamente a hacer esa comunicación de lo que nuestros niños quieren escuchar.",0.0,90,19,08,2021
DELFINA GOMEZ ALVAREZ,"Y yo coincido con la compañera Nashieli, de verdad los niños quieren regresar.",0.0,13,19,08,2021
DELFINA GOMEZ ALVAREZ,"Hubo una entrevista que me ha parecido muy interesante, y yo digo: Los niños son sabios. A un niño le preguntaron que si quería regresar a clases y el niño dijo: ‘Sí, sí quiero regresar, lo único que a lo mejor me puede detener es que tengo precisamente asma y estoy investigando qué tanto es posible que me afecte o no’.",0.0,61,19,08,2021
DELFINA GOMEZ ALVAREZ,"Si nosotros como adultos le decimos a un niño: ¿Sabes qué, hijo?, no debes de tirar la basura cuando vayas en el carro, y ustedes como papás lo han visto y los que nos están viendo lo han visto, el primero que nos señala nuestro error es el niño y cuando vamos en la calle y tiramos un papel el niño nos dice: ‘Mamá, no tires ese papel o no tires la basura’.",0.0,73,19,08,2021
DELFINA GOMEZ ALVAREZ,"Pero si nosotros como adultos no fortalecemos esas prácticas que ahorita vienen siendo, no de higiene solamente, sino de cuidados de salud, obviamente no estamos apoyando a nuestra formación de nuestros pequeños.",0.0,32,19,08,2021
DELFINA GOMEZ ALVAREZ,"Entonces, yo creo que esto de la carta yo espero que quede concluido con esta aclaración. Sí, efectivamente, fue un formato de trabajo, no se llevó a cabo, se eliminó, y en atención también a lo que nuestro presidente nos ha dicho y que estoy totalmente de acuerdo, es cierto, no queremos burocracia, queremos que, si eso crea problema o alguna situación de incertidumbre, tan fácil como eliminarlo.",0.0,68,19,08,2021
DELFINA GOMEZ ALVAREZ,Muchas gracias.,0.0,2,19,08,2021
