Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
DELFINA GOMEZ ALVAREZ," Hola, buenos días, señor presidente, y a todos los que nos escuchan y nos ven a través de este medio.",0.0,20,30,08,2021
DELFINA GOMEZ ALVAREZ,"Yo informarle que estoy aquí en la Secundaria Técnica Industrial número 3, de Xalapa, Veracruz, acompañada de nuestro gobernador Cuitláhuac García, así como de nuestro secretario de Educación de aquí, de Veracruz, el doctor Zenyazen; nuestra directora, que nos ha hecho el favor de recibirnos, aquí la compañera Ernestina; así como dos compañeros en representación de todos los chicos que están ya en clase, aquí nuestro compañero que está aquí con nosotros, y Diana, a quien agradezco mucho.",0.0,78,30,08,2021
DELFINA GOMEZ ALVAREZ,"Informarle que, gracias a la colaboración y el trabajo en equipo que usted siempre nos ha solicitado que se haga, estamos viendo precisamente coronado este trabajo de todos los padres de familia, de las madres de familia, de los maestros, de los compañeros maestros, de los mismos niños que han ido a sus escuelas a hacer tequios con la finalidad de recibir lo más sano y seguro a los compañeros.",0.0,70,30,08,2021
DELFINA GOMEZ ALVAREZ,"Le quiero informar que efectivamente vamos a hacer el procedimiento del trabajo de sembrar un árbol, que ya aquí lo tenemos, así como también hacerle el informe de que se están cubriendo lo que son la entrega de libros de texto, que ya está.",0.0,44,30,08,2021
DELFINA GOMEZ ALVAREZ,"Y también quiero agradecer mucho a Conacyt, que nos ha hecho favor de precisamente entregar lo que es gel en las escuelas en donde todavía no se tiene agua por diferentes causas, así como también cubrebocas a Insabi.",0.0,38,30,08,2021
DELFINA GOMEZ ALVAREZ,Yo resalto mucho que la actitud que tienen nuestros maestros ante este regreso ha sido de verdad muy reconocida.,0.0,19,30,08,2021
DELFINA GOMEZ ALVAREZ,"Yo agradezco a todos esos maestros que tienen esa vocación y que, como usted decía, el objetivo esencial de un maestro es precisamente sus alumnos.",0.0,25,30,08,2021
DELFINA GOMEZ ALVAREZ,"Ya recorrimos algunos salones y nos da mucho gusto escuchar a los jóvenes expresando que ya necesitaban estar aquí en clases, que vienen con todos los deseos y el ánimo de seguir con esa formación.",0.0,35,30,08,2021
DELFINA GOMEZ ALVAREZ,"Y, por otro lado, nada más aprovecho para invitar a la comunidad, a los padres de familia, alumnos y maestros llevar a cabo lo que son los protocolos de seguridad, porque eso nos va a ayudar junto con la participación de los comités participativos de salud.",0.0,46,30,08,2021
DELFINA GOMEZ ALVAREZ,"Con la Secretaría de Salud hemos seguido teniendo comunicación, ya tenemos ubicados todos los centros cercanos acá a la escuela, por lo tanto, estamos preparados y seguiremos trabajando en este gran esfuerzo que está haciendo gobierno federal junto con Secretaría de Educación Pública, Secretaría de Salud y todas las secretarías que nos han hecho favor de apoyar.",0.0,57,30,08,2021
DELFINA GOMEZ ALVAREZ,Muchísimas gracias.,0.0,2,30,08,2021
DELFINA GOMEZ ALVAREZ,"Y hablo a nombre con título como maestra, estoy muy contenta, muy agradecida con los compañeros maestros quienes han manifestado esa vocación, y sobre todo con nuestros padres de familia.",0.0,30,30,08,2021
DELFINA GOMEZ ALVAREZ,"Y cedo el micrófono a nuestro gobernador Cuitláhuac García, a quien agradezco, señor presidente. Le informo que ha dado una muestra de ese trabajo y ese interés que tiene para la educación, ha estado de manera presente en las escuelas trabajando codo a codo con los padres de familia, con el secretario de Educación y ese es precisamente un trabajo en equipo.",0.0,62,30,08,2021
DELFINA GOMEZ ALVAREZ,"Muchísimas gracias, gobernador, y cedo la palabra.",0.0,7,30,08,2021
DELFINA GOMEZ ALVAREZ,Gracias.,0.0,1,30,08,2021
