Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
VOZ DE MUJER," Construcción del Tren Interurbano México-Toluca, reporte semanal.",0.0,7,30,08,2021
VOZ DE MUJER,"Tramo 1, 36 kilómetros. Avance a la fecha: 100 por ciento.",0.0,11,30,08,2021
VOZ DE MUJER,Continúa el colado de concreto en los plintos centrales. La elevación del concreto fresco se realiza por medio de grúas y contenedores especiales con sistema de vaciado.,0.0,27,30,08,2021
VOZ DE MUJER,"Se concluyó la construcción del último camino de servicio que beneficiará a los paseantes del parque nacional La Marquesa y a los habitantes de la zona, brindando un paso seguro para vehículos, jinetes, ganado y fauna local.",0.0,37,30,08,2021
VOZ DE MUJER,Se continúa la construcción de los cuartos técnicos para alojar los equipos de control y operación del tren en el portal México del Bi-túnel.,0.0,24,30,08,2021
VOZ DE MUJER,Al interior del túnel izquierdo se continúa con la instalación de vía y el colado de plintos de concreto.,0.0,19,30,08,2021
VOZ DE MUJER,"Tramo 3, 17 kilómetros. Avance a la fecha: 53 por ciento.",0.0,11,30,08,2021
VOZ DE MUJER,Continúa la construcción de diafragmas de concreto que unen las trabes prefabricadas para su adecuado comportamiento estructural.,0.0,17,30,08,2021
VOZ DE MUJER,Se instalaron las vigas metálicas auxiliares para la próxima maniobra de izaje de trabes y retiro de la superestructura del puente en desuso.,0.0,23,30,08,2021
VOZ DE MUJER,"A un costado de la autopista México-Toluca se realizan trabajos de alineamiento de piezas y soldadura para la unión de los primeros elementos metálicos de este viaducto, se tiene programado iniciar los montajes la próxima semana en horario nocturno.",0.0,39,30,08,2021
VOZ DE MUJER,Se colocan los topes sísmicos en los apoyos faltantes para recibir las siguientes trabes de concreto correspondientes a estos claros.,0.0,20,30,08,2021
VOZ DE MUJER,Se continúan los trabajos de excavación del corte necesario para permitir el paso del tren bajo la vialidad sin afectar el tránsito local.,0.0,23,30,08,2021
VOZ DE MUJER,Se realizan trabajos de soldadura en los cabezales metálicos que se colocarán posteriormente sobre las columnas de concreto.,0.0,18,30,08,2021
VOZ DE MUJER,"Se realizan demoliciones de algunas instalaciones militares en desuso. El espacio liberado se requiere para la construcción de la nueva estación que dará servicio al pueblo de Santa Fe, a los estudiantes de la Universidad de la Salud y al personal militar de la zona.",0.0,45,30,08,2021
VOZ DE MUJER,"Se iniciaron las perforaciones para la cimentación necesaria para el armado de la primera lanzadora de dovelas, este equipo se utilizará en la construcción del viaducto elevado sobre la zona boscosa de la cuenca del Río Tacubaya.",0.0,37,30,08,2021
VOZ DE MUJER,Secretaría de Comunicaciones y Transportes.,0.0,5,30,08,2021
